用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
4K大视界	6364463658	JdSZM8ufU	#中国飒爽女兵图鉴#兵姐姐变装秀可甜可咸，我看太爱飒姐姐了#4K视界# （cr：新华网）L4K大视界的微博视频 ​	2020年08月01日 12:58	2	1	46	https://weibo.com/6364463658/JdSZM8ufU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSZM8ufU?uid=6364463658&rl=1
女神惊灵聆	1832340233	JdSZLd1MJ	英姿飒飒飒~~~爽就冲那句整齐响亮的“为人民服务”和那步伐一致的节拍动作，女兵威武～#中国飒爽女兵图鉴# L灵聆是女神惊的微博视频 ​	2020年08月01日 12:58	34	18	209	https://weibo.com/1832340233/JdSZLd1MJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSZLd1MJ?uid=1832340233&rl=1
纪录片好好看	6431234428	JdSYDw3od	#中国飒爽女兵图鉴#一身戎装，英姿飒爽，你的青春和军装很配！还不来军营和小姐姐们一起乘风破浪！ L东风快递的微博视频 ​​​	2020年08月01日 12:56			1	https://weibo.com/6431234428/JdSYDw3od?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSYDw3od?uid=6431234428&rl=1
纪录片好好看	6431234428	JdSYlaLe5	#中国飒爽女兵图鉴#一身戎装，英姿飒爽，你的青春和军装很配！还不来军营和小姐姐们一起乘风破浪！ L东风快递的微博视频 ​​​	2020年08月01日 12:55		评论		https://weibo.com/6431234428/JdSYlaLe5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSYlaLe5?uid=6431234428&rl=1
咪咕纪录片	6367852360	JdSXEl2Tz	#中国飒爽女兵图鉴# 英姿飒爽、铿锵玫瑰这些词都不足以形容小纪看完纪录片的激动小纪再带大家看一波解放军仪仗队的女兵！每一帧画面都是极致享受L极度舒适！解放军仪仗队女兵英姿飒爽的视觉盛宴！ ​	2020年08月01日 12:53	11	6	82	https://weibo.com/6367852360/JdSXEl2Tz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSXEl2Tz?uid=6367852360&rl=1
WhaleSea-L	6800064046	JdSXjl85I	#中国飒爽女兵图鉴# 英姿飒爽军中花木兰👍 ​	2020年08月01日 12:52		评论		https://weibo.com/6800064046/JdSXjl85I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSXjl85I?uid=6800064046&rl=1
芯芯向Young	5095431665	JdSWNsuiK	#中国飒爽女兵图鉴#  余旭 ​	2020年08月01日 12:51		评论		https://weibo.com/5095431665/JdSWNsuiK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSWNsuiK?uid=5095431665&rl=1
重庆巴南法院	3929121882	JdSWNro2w	#新闻# 【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 12:51	1	5	4	https://weibo.com/3929121882/JdSWNro2w?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSWNro2w?uid=3929121882&rl=1
大庆市中级人民法院	3876342106	JdSWsFNlB	#新闻# 【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 12:50	8	17	11	https://weibo.com/3876342106/JdSWsFNlB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSWsFNlB?uid=3876342106&rl=1
心慌的尊者	6332596374	JdSWlAkRL	#中国飒爽女兵图鉴#帅炸了！中国飒爽女兵！不爱红装爱武装，她们是现实版的“军中花木兰”#八一建军节#（cr:央视频快看） L心慌的尊者的微博视频 ​	2020年08月01日 12:50	1		5	https://weibo.com/6332596374/JdSWlAkRL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSWlAkRL?uid=6332596374&rl=1
手揽星河的梦	5799894505	JdSWcwgz8	#中国飒爽女兵图鉴#乘风破浪，豪迈铿锵 ​	2020年08月01日 12:50			1	https://weibo.com/5799894505/JdSWcwgz8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSWcwgz8?uid=5799894505&rl=1
品质新东乡	3312740193	JdSV2qkXO	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 12:47	1		6	https://weibo.com/3312740193/JdSV2qkXO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSV2qkXO?uid=3312740193&rl=1
沫颜蘭	5273800065	JdSUR9p9E	#致敬中国军人##中国飒爽女兵图鉴# 英姿飒爽的军中花木兰反手就是10086个赞👍👍  L沫颜蘭的微博视频 2温州 ​	2020年08月01日 12:46	14	31	112	https://weibo.com/5273800065/JdSUR9p9E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSUR9p9E?uid=5273800065&rl=1
西安检察	5878527193	JdSUwthnw	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！（央视网快看）  L央视网快看的微博视频 ​	2020年08月01日 12:46		8	8	https://weibo.com/5878527193/JdSUwthnw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSUwthnw?uid=5878527193&rl=1
鸭蛋卷卷卷	7069184392	JdSUu9Pk3	#中国飒爽女兵图鉴#好棒 ​	2020年08月01日 12:45		评论		https://weibo.com/7069184392/JdSUu9Pk3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSUu9Pk3?uid=7069184392&rl=1
吉林共青团	2762892110	JdSTxjlVb	【#中国飒爽女兵图鉴#】帅炸了！中国飒爽女兵！不爱红装爱武装，她们是现实版的“军中花木兰”#八一建军节# L吉林共青团的微博视频 ​	2020年08月01日 12:43			9	https://weibo.com/2762892110/JdSTxjlVb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSTxjlVb?uid=2762892110&rl=1
蚌埠市教育局	3174535722	JdSTm3yNH	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​ 2蚌埠 ​	2020年08月01日 12:43			3	https://weibo.com/3174535722/JdSTm3yNH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSTm3yNH?uid=3174535722&rl=1
张云龒	5974550036	JdSTiwLjh	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。今天是#八一建军节#，看帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 12:43		2	2	https://weibo.com/5974550036/JdSTiwLjh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSTiwLjh?uid=5974550036&rl=1
泸州发布	2815494720	JdST8eA9T	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。 L央视网快看的微博视频 ​	2020年08月01日 12:42			2	https://weibo.com/2815494720/JdST8eA9T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdST8eA9T?uid=2815494720&rl=1
多空涨跌	1265429457	JdSSSeZ2t	日线看，以太坊似乎到山顶了。月线看，才刚刚从底部突破，上升空间还大着呢！和#中国飒爽女兵图鉴# 一样英姿飒爽 ​	2020年08月01日 12:41			3	https://weibo.com/1265429457/JdSSSeZ2t?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSSSeZ2t?uid=1265429457&rl=1
乌兰浩特政法	6579033207	JdSRXwZNZ	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 12:39	2	3	5	https://weibo.com/6579033207/JdSRXwZNZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSRXwZNZ?uid=6579033207&rl=1
宝鸡团市委	2318471704	JdSR7sclp	那些凭实力可咸可甜的飒爽女兵！你们的青春最美丽～#中国飒爽女兵图鉴# L一期士官的微博视频 ​	2020年08月01日 12:37	1		8	https://weibo.com/2318471704/JdSR7sclp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSR7sclp?uid=2318471704&rl=1
动物源园长Fox	5637553081	JdSQvpyOJ	#中国飒爽女兵图鉴#手机里珍藏已久的照片，飒 ​	2020年08月01日 12:36	23	56	795	https://weibo.com/5637553081/JdSQvpyOJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSQvpyOJ?uid=5637553081&rl=1
我在西安上学	5283926940	JdSPTxSl8	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 12:34	1		3	https://weibo.com/5283926940/JdSPTxSl8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSPTxSl8?uid=5283926940&rl=1
广西师范大学团委	2663345911	JdSNavuOI	#独秀之声# 【#中国飒爽女兵图鉴#】        阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#，看↓帅炸了的飒爽女兵！致敬最可爱的人！  （via.@央视网快看 ）L央视网快看的微博视频 ​	2020年08月01日 12:27	2		7	https://weibo.com/2663345911/JdSNavuOI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSNavuOI?uid=2663345911&rl=1
抚顺妇女	1824692883	JdSLcsaxZ	【帅炸了！#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​ ​​​	2020年08月01日 12:23	1		2	https://weibo.com/1824692883/JdSLcsaxZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSLcsaxZ?uid=1824692883&rl=1
北疆女声	5888410717	JdSIfxvJW	#小北知心话# 【帅炸了！#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​ ​​​	2020年08月01日 12:15	1	评论		https://weibo.com/5888410717/JdSIfxvJW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSIfxvJW?uid=5888410717&rl=1
中国妇女报	2606218210	JdSGfvypZ	【帅炸了！#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​ ​​​	2020年08月01日 12:10	81	27	472	https://weibo.com/2606218210/JdSGfvypZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSGfvypZ?uid=2606218210&rl=1
半月谈	2318265821	JdSgafLFJ	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 11:06	92	35	461	https://weibo.com/2318265821/JdSgafLFJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdSgafLFJ?uid=2318265821&rl=1
南昌进贤发布	2673596451	JdS4ZhPCD	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#看帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​	2020年08月01日 10:39		评论		https://weibo.com/2673596451/JdS4ZhPCD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdS4ZhPCD?uid=2673596451&rl=1
蓉青清风	5091726884	JdRPagUxK	#八一建军节#【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！L央视网快看的微博视频 ​	2020年08月01日 10:00			3	https://weibo.com/5091726884/JdRPagUxK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdRPagUxK?uid=5091726884&rl=1
丽水网警巡查执法	3205153202	JdRlmjNab	【#中国飒爽女兵图鉴#】        阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看！帅炸了的飒爽女兵！致敬最可爱的人！L央视网快看的微博视频 ​​​ L央视网快看的微博视频 ​	2020年08月01日 08:46			1	https://weibo.com/3205153202/JdRlmjNab?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdRlmjNab?uid=3205153202&rl=1
安徽日报	3120845115	JdNjuuG2S	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！L央视网快看的微博视频 ​	2020年07月31日 22:31	1	1	2	https://weibo.com/3120845115/JdNjuuG2S?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdNjuuG2S?uid=3120845115&rl=1
河北共青团	2427989561	JdMZBrCQ1	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！L央视网快看的微博视频 ​	2020年07月31日 21:42		1	2	https://weibo.com/2427989561/JdMZBrCQ1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdMZBrCQ1?uid=2427989561&rl=1
江宁发布	1910380137	JdMJu3gdD	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！L央视网快看的微博视频 via.央视网 ​​​ ​​​​	2020年07月31日 21:02	2	1	1	https://weibo.com/1910380137/JdMJu3gdD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdMJu3gdD?uid=1910380137&rl=1
南昌青云谱发布	2673596491	JdMD1mWXG	【#中国飒爽女兵图鉴#】阅兵现场，她们铿锵豪迈、毫厘不差；野外孤漠，她们驾驶战车、驰骋沙场；不爱红装爱武装，她们是现实版的“军中花木兰”。#八一建军节#将至，看↓帅炸了的飒爽女兵！致敬最可爱的人！  L央视网快看的微博视频 ​​​	2020年07月31日 20:46	8	7	3	https://weibo.com/2673596491/JdMD1mWXG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdMD1mWXG?uid=2673596491&rl=1
