用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
自贡共青团	2119083587	JcqgcipfQ	【别人家的老师！#书法老师送毕业生每人一枚印章#】河南一初中老师给毕业生每人手工制作一枚印章，耗时110天！这份礼物，情谊无价 L青年湖南的微博视频 ​​​	2020年07月22日 21:59		评论		https://weibo.com/2119083587/JcqgcipfQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqgcipfQ?uid=2119083587&rl=1
成毅bot	6598726071	JcqfPw0xE	#书法老师送毕业生每人一枚印章#我在等我的书法老师给我送啊 ​	2020年07月22日 21:58		评论		https://weibo.com/6598726071/JcqfPw0xE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqfPw0xE?uid=6598726071&rl=1
共青团大邑县委	2703487521	Jcqee0HLN	【别人家的老师！#书法老师送毕业生每人一枚印章#】河南一初中老师给毕业生每人手工制作一枚印章，耗时110天！这份礼物，情谊无价 L青年湖南的微博视频 ​​​	2020年07月22日 21:54	1		5	https://weibo.com/2703487521/Jcqee0HLN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqee0HLN?uid=2703487521&rl=1
安徽反邪教	5964184998	Jcqb1o6v1	【全手工制作！#书法老师送毕业生每人一枚印章#：耗时110天手工镌刻而成】7月21日，河南郑州一中学给191名初三毕业生每人送了一枚印章，这些印章全部是书法老师冯舒昌耗时110天手工制作完成。冯老师称，印面处手工镌刻有学生的姓名，印钮是竹子的形状，寄托着学校对学生美好的祝愿。 ​  展开全文c	2020年07月22日 21:46	54	56	64	https://weibo.com/5964184998/Jcqb1o6v1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqb1o6v1?uid=5964184998&rl=1
遇见汶川	6365931899	Jcq9XvroC	【全手工制作！#书法老师送毕业生每人一枚印章#：耗时110天手工镌刻而成】7月21日，河南郑州一中学给191名初三毕业生每人送了一枚印章，这些印章全部是书法老师冯舒昌耗时110天手工制作完成。冯老师称，印面处手工镌刻有学生的姓名，印钮是竹子的形状，寄托着学校对学生美好的祝愿。 ​  展开全文c	2020年07月22日 21:44		1	5	https://weibo.com/6365931899/Jcq9XvroC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9XvroC?uid=6365931899&rl=1
青年湖南	2178873290	Jcq9Cvyxh	【别人家的老师！#书法老师送毕业生每人一枚印章#】河南一初中老师给毕业生每人手工制作一枚印章，耗时110天！这份礼物，情谊无价 （河南省教育厅）L青年湖南的微博视频 ​	2020年07月22日 21:43	1	2	30	https://weibo.com/2178873290/Jcq9Cvyxh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9Cvyxh?uid=2178873290&rl=1
媛崽是我	3846115577	Jcq9schbc	#书法老师送毕业生每人一枚印章#突然觉得自己的专业仪式感满满的 ​	2020年07月22日 21:42		2	5	https://weibo.com/3846115577/Jcq9schbc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9schbc?uid=3846115577&rl=1
福州校园	1948654380	Jcq8TCOEi	#书法老师送毕业生每人一枚印章#【初中老师毕业前送礼物】小粥有话说：怎么样才能让大学老师看到这条新闻#毕业季# L一手video的秒拍视频 ​	2020年07月22日 21:41			1	https://weibo.com/1948654380/Jcq8TCOEi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq8TCOEi?uid=1948654380&rl=1
公益时报	1881124713	Jcq8kbtPM	【全手工制作！#书法老师送毕业生每人一枚印章#：耗时110天手工镌刻而成】7月21日，河南郑州一中学给191名初三毕业生每人送了一枚印章，这些印章全部是书法老师冯舒昌耗时110天手工制作完成。冯老师称，印面处手工镌刻有学生的姓名，印钮是竹子的形状，寄托着学校对学生美好的祝愿。 ​  展开全文c	2020年07月22日 21:40			2	https://weibo.com/1881124713/Jcq8kbtPM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq8kbtPM?uid=1881124713&rl=1
武侯共青团	3241571192	Jcq6leRQO	#书法老师送毕业生每人一枚印章#，全手工制作，耗时110天手工镌刻而成！L一手video的秒拍视频 ​	2020年07月22日 21:35		评论		https://weibo.com/3241571192/Jcq6leRQO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq6leRQO?uid=3241571192&rl=1
边玩边学英语bot	6395663162	Jcq65fh91	英语#书法老师送毕业生每人一枚印章# 有这种老师也太幸福了吧！这是可以留一辈子的礼物 同学们知道“印章”用英语怎么说嘛 ​	2020年07月22日 21:34	2		156	https://weibo.com/6395663162/Jcq65fh91?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq65fh91?uid=6395663162&rl=1
0806芋泥啵啵	3913388483	Jcq5PiW24	#书法老师送毕业生每人一枚印章#老师太用心了！ ​	2020年07月22日 21:33		评论		https://weibo.com/3913388483/Jcq5PiW24?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq5PiW24?uid=3913388483&rl=1
