用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
CNR三农中国	2722314023	Jc34L05wo	【#北京连续14天零新增# 新发地重启！】北京新发地市场分析师谢磊：目前新发地正在紧锣密鼓开展分期复市，市场开始做各项准备工作，并且取得了初步成效。7月20日，市场将会在苹果梨交易区成立水果蔬菜交易区，用一种全新方式，通过线上线下交易的模式呈现。市场将先开发一个区域作为适应区，为以后整体 ​  展开全文c	2020年07月20日 10:58	1	评论		https://weibo.com/2722314023/Jc34L05wo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc34L05wo?uid=2722314023&rl=1
边玩边学英语bot	6395663162	Jc34nAWpL	#北京连续14天零新增# 振奋人心的好消息~我们就快战胜疫情了！北京这座英勇的城市，怎么用英语介绍呢？(cr:温斯顿英语) L边玩边学英语bot的微博视频 ​	2020年07月20日 10:57		评论		https://weibo.com/6395663162/Jc34nAWpL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc34nAWpL?uid=6395663162&rl=1
乱世佳人苑庄	7323059293	Jc3498rtx	#北京连续14天零新增#继续加油 ​	2020年07月20日 10:56		评论		https://weibo.com/7323059293/Jc3498rtx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc3498rtx?uid=7323059293&rl=1
西部网	1650414555	Jc3455LXG	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 10:56			2	https://weibo.com/1650414555/Jc3455LXG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc3455LXG?uid=1650414555&rl=1
洲坑里的狮子	5883698208	Jc33V0LEi	#北京连续14天零新增#加油，继续 ​	2020年07月20日 10:56			12	https://weibo.com/5883698208/Jc33V0LEi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc33V0LEi?uid=5883698208&rl=1
马甲不要被扒qq	7040214264	Jc32Kh1xJ	#北京连续14天零新增#yeah,炸酱面挺过来了 ​	2020年07月20日 10:53		评论		https://weibo.com/7040214264/Jc32Kh1xJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc32Kh1xJ?uid=7040214264&rl=1
西望成都	5786536759	Jc31Bo4M0	越来越好～【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例 ​  展开全文c	2020年07月20日 10:50		评论		https://weibo.com/5786536759/Jc31Bo4M0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc31Bo4M0?uid=5786536759&rl=1
热事我在看	6605419152	Jc2ZS53I1	#北京连续14天零新增#一切都会好起来的，现在为新疆加油，会过去的 L头条新闻快递的微博视频 ​	2020年07月20日 10:46	1	评论		https://weibo.com/6605419152/Jc2ZS53I1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2ZS53I1?uid=6605419152&rl=1
猎奇研究所	6249072639	Jc2Zt3Ba5	#北京连续14天零新增#不慌，因为我们能控制住，有经验了，该干嘛干嘛去 L猎奇研究所的微博视频 ​	2020年07月20日 10:45			2	https://weibo.com/6249072639/Jc2Zt3Ba5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2Zt3Ba5?uid=6249072639&rl=1
安徽故事广播	2318468380	Jc2Ywd7HZ	【#北京连续14天零新增#】据@首都健康 ，7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。#新冠肺炎最新动态#6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在 ​  展开全文c	2020年07月20日 10:42		评论		https://weibo.com/2318468380/Jc2Ywd7HZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2Ywd7HZ?uid=2318468380&rl=1
北京商报	1988645095	Jc2Y2CSp7	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 10:41		1	1	https://weibo.com/1988645095/Jc2Y2CSp7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2Y2CSp7?uid=1988645095&rl=1
微吉州	6642214683	Jc2XopxsT	【#北京连续14天零新增#】据@首都健康 ，7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。#新冠肺炎最新动态#6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在 ​  展开全文c	2020年07月20日 10:39		评论		https://weibo.com/6642214683/Jc2XopxsT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2XopxsT?uid=6642214683&rl=1
公益时报	1881124713	Jc2XgalmP	【#北京连续14天零新增#】据@首都健康 ，7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。#新冠肺炎最新动态#6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在 ​  展开全文c	2020年07月20日 10:39			2	https://weibo.com/1881124713/Jc2XgalmP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2XgalmP?uid=1881124713&rl=1
是大姐姐阿_	1953985473	Jc2VMCq61	来校区上班了#北京连续14天零新增# ​	2020年07月20日 10:35		4	2	https://weibo.com/1953985473/Jc2VMCq61?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2VMCq61?uid=1953985473&rl=1
湖北新闻	5637065453	Jc2VGEuGg	【#北京连续14天零新增#】#疫情速报# #北京疫情# 7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的 ​  展开全文c	2020年07月20日 10:35	1	评论		https://weibo.com/5637065453/Jc2VGEuGg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2VGEuGg?uid=5637065453&rl=1
kkkk5999800176	5999800176	Jc2VCu9qs	#北京连续14天零新增#太好了太好了，北京人民好样的，政府也很给力 ​	2020年07月20日 10:35			1	https://weibo.com/5999800176/Jc2VCu9qs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2VCu9qs?uid=5999800176&rl=1
木语潺潺	1208022195	Jc2S16MkU	#北京连续14天零新增#应急响应降级第一天，我那颗想出去玩的心又蠢蠢欲动了，可是考虑到新疆的疫情还有扩散的可能，又担心出去玩会不会遇到无症状感染者，况且一个半年没乘坐过公共交通，一个月几乎都没出过院子的人对于外面的世界还是有些小惶恐的，所以想想又秒怂了。 ​	2020年07月20日 10:26		评论		https://weibo.com/1208022195/Jc2S16MkU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2S16MkU?uid=1208022195&rl=1
分宜发布	2496519594	Jc2QZ1JZM	【#北京连续14天零新增#】#关注新冠肺炎#7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者1 ​  展开全文c	2020年07月20日 10:24		评论		https://weibo.com/2496519594/Jc2QZ1JZM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2QZ1JZM?uid=2496519594&rl=1
阜城电视台567	6219202991	Jc2QNbmxM	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 10:23		评论		https://weibo.com/6219202991/Jc2QNbmxM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2QNbmxM?uid=6219202991&rl=1
绵阳生态环境	5104225074	Jc2LMm3vQ	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 10:11	2	1	5	https://weibo.com/5104225074/Jc2LMm3vQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2LMm3vQ?uid=5104225074&rl=1
中国周刊	1578839965	Jc2JHy6Fx	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 10:06	8	4	15	https://weibo.com/1578839965/Jc2JHy6Fx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2JHy6Fx?uid=1578839965&rl=1
中国消费者报	1907647761	Jc2IPc2Kl	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报告 ​  展开全文c	2020年07月20日 10:04	1	1	1	https://weibo.com/1907647761/Jc2IPc2Kl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2IPc2Kl?uid=1907647761&rl=1
华亭检察	5044208315	Jc2HtweBQ	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 10:00		16	7	https://weibo.com/5044208315/Jc2HtweBQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2HtweBQ?uid=5044208315&rl=1
生活晨报	1691007117	Jc2FH3Nur	#31省区市新增22例确诊#【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。 L生活晨报的微博视频 ​	2020年07月20日 09:56			2	https://weibo.com/1691007117/Jc2FH3Nur?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2FH3Nur?uid=1691007117&rl=1
绿色蒲江	1937998434	Jc2EN8rDw	#蒲江分享# 【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例 ​  展开全文c	2020年07月20日 09:54	26	16	15	https://weibo.com/1937998434/Jc2EN8rDw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2EN8rDw?uid=1937998434&rl=1
宁波镇海检察	3702523900	Jc2EtoUuj	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 09:53		1	1	https://weibo.com/3702523900/Jc2EtoUuj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2EtoUuj?uid=3702523900&rl=1
L木木啊H	5411263513	Jc2Et6cD2	#北京连续14天零新增#加油！继续蹲休假加油北京！加油新疆！加油中国！ ​	2020年07月20日 09:53		评论		https://weibo.com/5411263513/Jc2Et6cD2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2Et6cD2?uid=5411263513&rl=1
用户7397012307	7397012307	Jc2E3nAl2	#北京连续14天零新增#[cp]北京王才亮律师在2020年5月4日头条文章上发表《写在新行政诉讼法实施5周年之际》中，举例刘ⅩX等106人的是武汉106户老百姓的房子被武汉盘龙城经济开发区强拆的案件，他说:从2010年11月16日到2018年10月28日，快8年的时间里，106户老百姓的房子被武汉盘龙城经济开发区管委会强 ​  展开全文c	2020年07月20日 09:52		评论		https://weibo.com/7397012307/Jc2E3nAl2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2E3nAl2?uid=7397012307&rl=1
龙南发布	3912707918	Jc2A2fsCj	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 09:42		评论		https://weibo.com/3912707918/Jc2A2fsCj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2A2fsCj?uid=3912707918&rl=1
凤凰视频客户端	2810833971	Jc2zujRwZ	#北京连续14天零新增#7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。 ​	2020年07月20日 09:41		评论		https://weibo.com/2810833971/Jc2zujRwZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2zujRwZ?uid=2810833971&rl=1
首都新闻出版官微	6969249055	Jc2z5bMQT	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 09:40		评论		https://weibo.com/6969249055/Jc2z5bMQT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2z5bMQT?uid=6969249055&rl=1
36氪	1750070171	Jc2yl4UBn	【#美国新冠感染病例超376万#，单日新增确诊超6.2万】据美国约翰斯·霍普金斯大学疫情实时监测系统显示，截至美东时间7月19日下午5时38分，美国已有新冠病毒感染病例3760327例，其中包括死亡病例140466例。与该系统7月18日下午6时36分的数据相比，美国新增感染病例62773例，新增死亡病例518例。 ​  展开全文c	2020年07月20日 09:38	1	10	12	https://weibo.com/1750070171/Jc2yl4UBn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2yl4UBn?uid=1750070171&rl=1
首都新闻出版官微	6969249055	Jc2y62X7K	【#北京连续14天零新增#】7月19日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院病例16例；无新增报告境外输入确诊病例、疑似病例和无症状感染者。6月11日0时至7月19日24时，累计报告本地确诊病例335例，在院116例，治愈出院219例。尚在观察的无症状感染者14例；无新增报 ​  展开全文c	2020年07月20日 09:37		评论		https://weibo.com/6969249055/Jc2y62X7K?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2y62X7K?uid=6969249055&rl=1
荆州日报	1226097130	Jc2y2979L	#权威发布# 【#31省区市新增确诊病例22例# #新疆新增17例本土病例#】7月19日0-24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例22例，其中境外输入病例5例（四川3例，内蒙古1例，山东1例），本土病例17例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。 ​  展开全文c	2020年07月20日 09:37		评论		https://weibo.com/1226097130/Jc2y2979L?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2y2979L?uid=1226097130&rl=1
毛先生喜欢的竺竺	7310037266	Jc2xLirV5	#北京连续14天零新增#所以已经基本稳定了，太一好了，早日过去吧，希望不会再有别的！🙏🙏 ​	2020年07月20日 09:36	21	6	23	https://weibo.com/7310037266/Jc2xLirV5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc2xLirV5?uid=7310037266&rl=1
