用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
瑶_YOUNG	5669168638	JhikzjWBt	#NV总冠军##和平精英PEL冠军# 终于等到了他们捧杯的那一刻 真的太激动了星光熠熠  逐梦不息  !  !  !荣耀加冕  热血称王  !  !  !伞兵paraboyJimmy居米酷酷Coolboy令OrderNOVA和平精英 ​​​	2020年08月23日 22:59		评论		https://weibo.com/5669168638/JhikzjWBt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhikzjWBt?uid=5669168638&rl=1
面面向趣	7419517196	Jhikj4Vet	#和平精英PEL冠军#崽崽们就是坠叼的！！！还有皇儿 ​	2020年08月23日 22:59		评论		https://weibo.com/7419517196/Jhikj4Vet?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhikj4Vet?uid=7419517196&rl=1
推游君	5330187211	Jhik6DZkn	万众瞩目的PEL 2020 S2总决赛落下帷幕，紫金王朝NV-XQF 的几位小伙子奋勇拼搏，终于完成自己的梦想，夺下来了总冠军！令公主和伞兵在这四天总决赛中一次次创造了奇迹，凭借天秀的操作一步步前行，拿下总冠军，恭喜小伙子们！再接再厉，期待下一次还能现在冠军杯前！#NV总冠军##和平精英PEL冠军# ​	2020年08月23日 22:58	29	30	41	https://weibo.com/5330187211/Jhik6DZkn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhik6DZkn?uid=5330187211&rl=1
火狐电竞主页君	7351363063	JhijQrb4i	#和平精英PEL冠军# NV－XQF终于可以理直气壮的说是和平精英第一战队了 ​	2020年08月23日 22:57	1		1	https://weibo.com/7351363063/JhijQrb4i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhijQrb4i?uid=7351363063&rl=1
和坤坤谈恋爱	6046385162	JhiiG3BNb	#和平精英PEL冠军#哇哇冲冲冲 ​	2020年08月23日 22:55			1	https://weibo.com/6046385162/JhiiG3BNb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhiiG3BNb?uid=6046385162&rl=1
淼淼tatomo	2543468394	JhiiFs13l	#和平精英PEL冠军#4AM你是永远的神，不要放弃，给我加油！！ ​	2020年08月23日 22:55		评论		https://weibo.com/2543468394/JhiiFs13l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhiiFs13l?uid=2543468394&rl=1
PEL和平精英职业联赛	7307175708	Jhiia6BCo	#和平精英PEL冠军# #NV总冠军#电子竞技的战场与热血拼搏的选手，此刻舞台星光闪耀，少年意气风发！今晚见证PEL 2020 S2 荣耀诞生，我们骄傲！PEL未来可期！不由界定，百战成名！#集合PEL2020S2##2020PEL##和平精英职业联赛# ​	2020年08月23日 22:53	30	71	592	https://weibo.com/7307175708/Jhiia6BCo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhiia6BCo?uid=7307175708&rl=1
-SueQi-	6336249618	Jhii9gDWS	#和平精英PEL冠军#居米 加油 会越来越好的🐤🐣🐥💜💜💜 ​	2020年08月23日 22:53			1	https://weibo.com/6336249618/Jhii9gDWS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhii9gDWS?uid=6336249618&rl=1
是我莫陌	7315774886	Jhii8k8PP	#和平精英PEL冠军#NV-XQF顶尖！！！👨‍👩‍👧‍👦💜💜💜，我关注的第一个战队，因为你们看起了直播，刚刚随你们走过S1，猛男杯，S2，每次你们都很棒，以后也一样每场赛事可以尽情享受，不留遗憾，加油呀(ง •̀_•́)ง ​	2020年08月23日 22:53			1	https://weibo.com/7315774886/Jhii8k8PP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhii8k8PP?uid=7315774886&rl=1
快体育	6781554820	JhihI5Btw	恭喜NV-XQF在刚结束的PEL 2020 S2总决赛中成功反超竞争队伍，夺得和平精英PEL冠军总冠军！紫金王朝，不负盛名！恭喜@NOVA电子竞技俱[图片]乐部 恭喜小伙子们，电竞之路漫长又艰难，继续加油！#NV总冠军##和平精英PEL冠军# ​	2020年08月23日 22:52	346	422	748	https://weibo.com/6781554820/JhihI5Btw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhihI5Btw?uid=6781554820&rl=1
瑶_YOUNG	5669168638	Jhihn5JUz	#NV总冠军##和平精英PEL冠军# 终于等到了他们捧杯的那一刻 真的太激动了星光熠熠  逐梦不息  !  !  !荣耀加冕  热血称王  !  !  !伞兵paraboyJimmy居米酷酷Coolboy令OrderNOVA和平精英 ​​​	2020年08月23日 22:51			3	https://weibo.com/5669168638/Jhihn5JUz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhihn5JUz?uid=5669168638&rl=1
小颖子ww77	5683762533	Jhihn5JM2	#NV总冠军##和平精英PEL冠军#三个季度了 NV夺冠实至名归 最后一局看的时候看的很紧张 赢得那一刻太激动了 NV最棒 伞兵 令公主awsl ​	2020年08月23日 22:51			3	https://weibo.com/5683762533/Jhihn5JM2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhihn5JM2?uid=5683762533&rl=1
