原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	京东空调18	7381948519	京东空调18:转发微博	赞[0]	2020-08-06 10:55:33	来自realme X全屏敢越级
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	双流住保中心	2895385130	双流住保中心:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 10:42:46	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	公园新城新都街道	3202756567	公园新城新都街道:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 10:41:45	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	新都发改	3628819574	新都发改:转发微博	赞[0]	2020-08-06 10:41:29	来自nova6 自拍大不一样
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	温江寿安镇	3173020171	温江寿安镇:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 10:40:43	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	新津服务	3485977652	新津服务:8月8日，#成都#这些场馆免费开放！	赞[0]	2020-08-06 11:38:20	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	lanonim	1283880641	lanonim:这个👍	赞[0]	2020-08-06 11:27:33	来自iPhone客户端
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	魅力水乡董家埂	dongjiageng	魅力水乡董家埂:8月8日，#成都#这些场馆免费开放！	赞[0]	2020-08-06 11:23:44	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	簇锦街道铁佛社区	3550037711	簇锦街道铁佛社区:【8月8日，#成都#这些场馆免费开放！】#都来耍#	赞[0]	2020-08-06 11:23:13	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	新北天地商旅中心	xinbeitiandi	新北天地商旅中心:这些场馆免费开放！	赞[0]	2020-08-06 11:09:31	来自iPhone客户端
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	天府新区市场监管局	5630816960	天府新区市场监管局:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 11:09:01	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	醉美邛崃	577009725	醉美邛崃:8月8日，#成都这些场馆免费开放！#	赞[0]	2020-08-06 11:06:43	来自微博 weibo.com
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	双流怡心街道	gongxingjiedao	双流怡心街道:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 11:06:14	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	金牛区妇联	5225524822	金牛区妇联:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 11:04:26	来自360安全浏览器
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	成都市新都现代交通产业功能区	1762303820	成都市新都现代交通产业功能区:转发微博	赞[0]	2020-08-06 14:17:28	来自微博 weibo.com
成都发布	:【8月8日，#成都#这些场馆免费开放！】#都来耍#今年的8月8日是第12个“全民健身日”，成都将有155个公共#体育#场馆免费向群众开放！日前，成都市体育局正式对外发布运动成都·体育生活地图（测试版），呈现的体育场馆信息包括：49个大运会场馆以及#足球#、#篮球#、排球、乒乓球、羽毛球、网球、#游泳#、门球8大项目运动场馆，可提前电话预订，避免拥挤或排队。（运动成都）#同学你好 成都等你# #第12个全民健身日#	2020-08-06 10:40:03    	郫都区唐昌镇	3699126891	郫都区唐昌镇:【8月8日，#成都#这些场馆免费开放！】	赞[0]	2020-08-06 14:14:02	来自360安全浏览器
