用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
篮球在线ONLINE	2338984981	JfM1Np02G	【赵继伟赛后采访】#辽宁队逆转广东队##赵继伟关键三分# 继伟说：落后20分时，就没有保留了！下一场要加强对防守的分析…#CBA总决赛# L篮球在线ONLINE的微博视频 ​	2020年08月13日 22:55	6	6	38	https://weibo.com/2338984981/JfM1Np02G?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM1Np02G?uid=2338984981&rl=1
参肆al	6544428247	JfM1zgdoG	赵继伟赵继伟牛逼关键3分！#赵继伟关键三分# ​	2020年08月13日 22:54			2	https://weibo.com/6544428247/JfM1zgdoG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM1zgdoG?uid=6544428247&rl=1
勇士篮球	3200272271	JfM1oi14A	#辽宁队逆转广东队#CBA总决赛G2，辽宁在落后22分的情况下，顽强反击。最后一节全员手感火热，郭艾伦领衔主演连砍8分，王华东，赵继伟接连命中关键三分！最后一球威姆斯错失绝杀三分！辽宁将总比分扮成1-1平！加油，这才是真正的总决赛#赵继伟关键三分##郭艾伦28分# L咪咕篮球的微博视频 ​	2020年08月13日 22:54	2	2	19	https://weibo.com/3200272271/JfM1oi14A?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM1oi14A?uid=3200272271&rl=1
凌晨4点的洛杉矶是我	3739891392	JfM17rn16	#辽宁22分逆转广东##赵继伟关键三分#辽宁队“大侄子”两人中间过助攻赵继伟命中关键三分🎯#辽宁vs广东# L19/20赛季CBA季后赛总决赛：广东vs辽宁（荆超、陈正昊） ​	2020年08月13日 22:53	1		6	https://weibo.com/3739891392/JfM17rn16?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM17rn16?uid=3739891392&rl=1
赵boss的超级黑粉	5582640888	JfM0J0rlX	#赵继伟关键三分#重点人，太优秀了 ​	2020年08月13日 22:52			14	https://weibo.com/5582640888/JfM0J0rlX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM0J0rlX?uid=5582640888&rl=1
篮球记录官	2804982290	JfM0IoMPz	#赵继伟关键三分#  【神兵天降，就是大心脏】郭艾伦两人中间过！助攻赵继伟大心脏！命中关键三分！ #辽宁vs广东##CBA真香# L篮球记录官的微博视频 ​	2020年08月13日 22:52		1	6	https://weibo.com/2804982290/JfM0IoMPz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM0IoMPz?uid=2804982290&rl=1
王本科同学	5472754291	JfM0xomDY	#赵继伟关键三分# 值得继伟真是太棒了 爱了爱了我好想采访继伟哥哥小女孩儿还被摸头了 太有爱了 ​	2020年08月13日 22:52		2	10	https://weibo.com/5472754291/JfM0xomDY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfM0xomDY?uid=5472754291&rl=1
人间曙光赵公子	6587990369	JfLZQi96a	#赵继伟关键三分#关键先生！赵继伟大心脏！太帅了啊啊啊！爱死他了 ​	2020年08月13日 22:50			10	https://weibo.com/6587990369/JfLZQi96a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfLZQi96a?uid=6587990369&rl=1
卢鹏儒	1719501053	JfLZH9GRt	CBA总决赛G2集锦辽宁在落后22分的情况下，完成逆转。最后一节全员手感火热，郭艾伦领衔主演连砍8分，王华东，赵继伟接连命中关键三分！最后一球威姆斯错失绝杀三分！辽宁将总比分1：1平！#赵继伟关键三分##郭艾伦28分##辽宁队逆转广东队# L咪咕篮球的微博视频 ​	2020年08月13日 22:50			10	https://weibo.com/1719501053/JfLZH9GRt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfLZH9GRt?uid=1719501053&rl=1
朱迪警官很酷	1895083477	JfLZubLsj	#赵继伟关键三分#卧槽，这球传的也很关键呐辽宁队的传球就是不看彼此用余光传球是不是太牛逼了 ​	2020年08月13日 22:49		评论		https://weibo.com/1895083477/JfLZubLsj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfLZubLsj?uid=1895083477&rl=1
