用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
Oceanastronauts	6315427450	JcOvZ5cTT	#这届妻子不好惹#什么热搜啊……家暴新闻沸沸扬扬怎么还有这种话题 ​	2020年07月25日 11:44		评论		https://weibo.com/6315427450/JcOvZ5cTT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOvZ5cTT?uid=6315427450&rl=1
跟着卓姐也没有糖吃	5590943790	JcOvp7IYB	笑死了，顶着杭州杀妻案的风头，《妻子的浪漫旅行》买了这么个热搜👉🏻#这届妻子不好惹#。这宣传是得多无脑啊。 ​	2020年07月25日 11:42			12	https://weibo.com/5590943790/JcOvp7IYB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOvp7IYB?uid=5590943790&rl=1
kaka咔咔kkk	7055358922	JcOvh90YB	#这届妻子不好惹#最近的社会今晚只能证明就是妻子太好惹了，不然怎么会被人杀人分尸扔粪坑 ​	2020年07月25日 11:42		评论		https://weibo.com/7055358922/JcOvh90YB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOvh90YB?uid=7055358922&rl=1
此用户不存在透明感十足	5544279066	JcOv2i1za	#这届妻子不好惹# tm是有病才会买这个热搜？不觉得很讽刺吗，夹在妻子被丈夫分尸谋杀中间，憨批 ​	2020年07月25日 11:41		评论		https://weibo.com/5544279066/JcOv2i1za?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOv2i1za?uid=5544279066&rl=1
糊逼倒贴视啵为爹	6527272886	JcOuXhJ1I	#这届妻子不好惹#这个什么鬼热搜？节目组有病吧？ ​	2020年07月25日 11:41			2	https://weibo.com/6527272886/JcOuXhJ1I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOuXhJ1I?uid=6527272886&rl=1
rubiaaaaaaa	7244747700	JcOuKBqzA	#这届妻子不好惹#这条热搜上边是杭州女子被丈夫分尸，下边是鲨人丈夫被警方带走……买热搜请结合时事 ​	2020年07月25日 11:41		评论		https://weibo.com/7244747700/JcOuKBqzA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOuKBqzA?uid=7244747700&rl=1
秋秋秋田l	7360822187	JcOtMBfja	#这届妻子不好惹#这种时候买这种热搜合适吗？ ​	2020年07月25日 11:38		评论		https://weibo.com/7360822187/JcOtMBfja?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOtMBfja?uid=7360822187&rl=1
风临晚霜	6581375935	JcOtGFv4A	#这届妻子不好惹#买这个热搜的节目组是什么憨批啊……热搜榜前排都是杭州杀妻分尸案的相关报道，你来一个妻子不好惹吃什么人血馒头呢？It's always the husband这句话表明谁更不好惹啊🙃？ ​	2020年07月25日 11:38		评论		https://weibo.com/6581375935/JcOtGFv4A?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOtGFv4A?uid=6581375935&rl=1
嗷呜一口汐汐果冻	6015702499	JcOrG29TE	#这届妻子不好惹# 买热搜之前就不能关注一下新闻么这热搜挂在一堆有关有预谋的杀妻分尸热搜中间，丝毫没感觉到很不合时宜么？ ​	2020年07月25日 11:33	2		27	https://weibo.com/6015702499/JcOrG29TE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOrG29TE?uid=6015702499&rl=1
余下风信子	5219101247	JcOpLcBNR	#这届妻子不好惹#结合时事看这条热搜觉得无比膈应 ​	2020年07月25日 11:28			3	https://weibo.com/5219101247/JcOpLcBNR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOpLcBNR?uid=5219101247&rl=1
米其林啾·	5468326947	JcOoVceyA	#这届妻子不好惹#荒唐 ​	2020年07月25日 11:26		评论		https://weibo.com/5468326947/JcOoVceyA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOoVceyA?uid=5468326947&rl=1
请你喝茶好吗	6454662286	JcOo654CJ	#这届妻子不好惹##杭州女子失踪案是有预谋的故意杀人案# 真讽刺啊 ​	2020年07月25日 11:24		评论		https://weibo.com/6454662286/JcOo654CJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOo654CJ?uid=6454662286&rl=1
不死鸟凤凰	1600539402	JcOlQiTik	#这届妻子不好惹#沙溢终于成为了真正的“综艺咖”。 ​	2020年07月25日 11:19			1	https://weibo.com/1600539402/JcOlQiTik?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOlQiTik?uid=1600539402&rl=1
儒道文化	1853126777	JcOkv1vpD	#这届妻子不好惹#中国古代的女性是绝对有智慧的。 2福州 L瓠匏斝的微博视频 ​	2020年07月25日 11:15			1	https://weibo.com/1853126777/JcOkv1vpD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOkv1vpD?uid=1853126777&rl=1
疏影浮月黄昏	6149104299	JcOkgulq2	#这届妻子不好惹#哈哈哈哈哈，跳楼，分尸，家暴，怎么就不好惹了？又在美化生活么 ​	2020年07月25日 11:15		评论		https://weibo.com/6149104299/JcOkgulq2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOkgulq2?uid=6149104299&rl=1
A_Medici	6789758893	JcOg1tWae	#这届妻子不好惹#这个热搜和杀妻案放在一起不觉得自己尴尬吗好可怜啊 ​	2020年07月25日 11:04		评论		https://weibo.com/6789758893/JcOg1tWae?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOg1tWae?uid=6789758893&rl=1
瑶远一梦	1745260200	JcOf4FFN7	#这届妻子不好惹#丈夫不好惹才对，看看最近几天新闻吧，杀妻分shi，女子被家暴跳楼一年离不了婚，还有两个女童被伤害的新闻哎 ​	2020年07月25日 11:02			8	https://weibo.com/1745260200/JcOf4FFN7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOf4FFN7?uid=1745260200&rl=1
猫扑娱乐网	2684521402	JcOeeqZEB	#这届妻子不好惹##妻子的浪漫旅行#第四季 妻子团龙舟battle 硝烟四起，@谢娜 @蔡少芬  互放狠话，@胡可  化身“最强鼓手”，“二姐”@张歆艺  声波助力，行为威猛，@吉娜爱丽丝Gina  扭屁股式比心应援。强强对决，冠军花落谁家？L妻子的浪漫旅行第四季7月25日看点：来真的！谢娜蔡少芬龙舟赛拼了 ​	2020年07月25日 11:00			4	https://weibo.com/2684521402/JcOeeqZEB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOeeqZEB?uid=2684521402&rl=1
那还是叫紫紫吧	5241716489	JcOe71JLX	#这届妻子不好惹#这热搜真的买的有毛病 ​	2020年07月25日 11:00		评论		https://weibo.com/5241716489/JcOe71JLX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOe71JLX?uid=5241716489&rl=1
俗世尽浮华	2881786972	JcOdJ3pkY	#这届妻子不好惹#芒果是有毛病吗这个关头买妻子不好惹？不好惹被杀了被分尸？ ​	2020年07月25日 10:59			9	https://weibo.com/2881786972/JcOdJ3pkY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOdJ3pkY?uid=2881786972&rl=1
-SafetyZone-	5990944893	JcOcQ5H9o	#这届妻子不好惹#不好惹还被杀人分尸 ​	2020年07月25日 10:57			2	https://weibo.com/5990944893/JcOcQ5H9o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOcQ5H9o?uid=5990944893&rl=1
妖魔鬼怪卡斯组旗下艺人	6571538349	JcOcb2tf9	#这届妻子不好惹#综艺和现实就完全相反，看着有点悲伤。 ​	2020年07月25日 10:55		4	18	https://weibo.com/6571538349/JcOcb2tf9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOcb2tf9?uid=6571538349&rl=1
桃花仙子宫惟	5365839463	JcObWyz3F	#这届妻子不好惹#这热搜买的有点不恰当吧，上面刚妻子被杀害分尸，下面就这届妻子不好惹... ​	2020年07月25日 10:54		评论		https://weibo.com/5365839463/JcObWyz3F?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcObWyz3F?uid=5365839463&rl=1
马里奥骑马救里奥	6098420919	JcOaZrCUE	#这届妻子不好惹#？真的不好惹吗这几天杀妻家暴热搜上的少了？劝你们改个词条 ​	2020年07月25日 10:52			10	https://weibo.com/6098420919/JcOaZrCUE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOaZrCUE?uid=6098420919&rl=1
Lovewithoutlimitations	5839515392	JcO9GwZ1h	#It’s always the husband##这届妻子不好惹# 讽刺吗？ ​	2020年07月25日 10:49			1	https://weibo.com/5839515392/JcO9GwZ1h?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcO9GwZ1h?uid=5839515392&rl=1
今天炸鸡加热了唛	5531953508	JcO9twS1d	#这届妻子不好惹#的确不好惹就是了🙊 ​	2020年07月25日 10:48			1	https://weibo.com/5531953508/JcO9twS1d?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcO9twS1d?uid=5531953508&rl=1
_可爱美丽多金鸭	3768376151	JcO4Bv7b0	#这届妻子不好惹#？买广告的可真会选日子 ​	2020年07月25日 10:36		评论		https://weibo.com/3768376151/JcO4Bv7b0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcO4Bv7b0?uid=3768376151&rl=1
远山_NotFound	6516617844	JcO4bdjCS	#这届妻子不好惹#这热搜名起得可笑至极。尤其在热搜前两名还是杭州来女士案件后续的情况下。 ​	2020年07月25日 10:35		1	5	https://weibo.com/6516617844/JcO4bdjCS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcO4bdjCS?uid=6516617844&rl=1
或许你也喜欢吃瑞士卷吗	6582343792	JcO375hG9	#这届妻子不好惹#这个广告热搜挂在杭州案进展下面可真是dramatic喔 ​	2020年07月25日 10:33		3	10	https://weibo.com/6582343792/JcO375hG9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcO375hG9?uid=6582343792&rl=1
文艺的吃货江小红	2656439245	JcNWDrmHm	#这届妻子不好惹#别说了，杭州刚挂了一个。夫妻要和平共，不存在好不好惹。传递正能量，你我共分享！ ​	2020年07月25日 10:17		1	6	https://weibo.com/2656439245/JcNWDrmHm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNWDrmHm?uid=2656439245&rl=1
冰雪衣绫	3968728582	JcNUHuiGn	#这届妻子不好惹#这个热搜话题是认真的吗？前有妻子被家暴跳楼，后有杭州丈夫杀妻。这样的妻子还不好惹？非得妻子被丈夫弄死绝了吗？ ​	2020年07月25日 10:12		评论		https://weibo.com/3968728582/JcNUHuiGn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNUHuiGn?uid=3968728582&rl=1
大嘴说综艺	2169012294	JcNRXzLhW	#妻子的浪漫旅行##这届妻子不好惹#@谢娜 携@蔡少芬 @胡可 @张歆艺 @吉娜爱丽丝Gina 竟然要组团踢馆乘风破浪的姐姐？没在怕的！舞蹈出身，功底深厚，谁说妻子们只能浪漫？分分钟把场子炸翻给你看，有门面，有dance担当还有气氛担当，这女团，不好惹不好惹啊~L妻子团踢馆《乘风破浪的姐姐》？ ​	2020年07月25日 10:05			8	https://weibo.com/2169012294/JcNRXzLhW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNRXzLhW?uid=2169012294&rl=1
瓜组兔区	6966518255	JcNLCeAsg	看完#妻子的浪漫旅行#之后越来越发觉#这届妻子不好惹#啊！三亚之旅丈夫团送妻子们泳衣，@蔡少芬 “打渔服”，@张歆艺 哪吒套装笑翻众人，两人都忍不住大呼：袁弘（张晋）！！！打死你啊！！！隔着屏幕都感觉到了妻子们的崩溃啊，这要是丈夫们在现场，怕不是大型“家暴现场”了啊，这届妻子们果然不好惹 ​  展开全文c	2020年07月25日 09:50		评论		https://weibo.com/6966518255/JcNLCeAsg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNLCeAsg?uid=6966518255&rl=1
影视青年说	2392379382	JcNLc1dDE	#妻子的浪漫旅行##这届妻子不好惹#@谢娜 携@蔡少芬 @胡可 @张歆艺 @吉娜爱丽丝Gina 竟然要组团踢馆乘风破浪的姐姐？没在怕的！舞蹈出身，功底深厚，谁说妻子们只能浪漫？分分钟把场子炸翻给你看，有门面，有dance担当还有气氛担当，这女团，不好惹不好惹啊~L妻子团踢馆《乘风破浪的姐姐》？ ​	2020年07月25日 09:48		评论		https://weibo.com/2392379382/JcNLc1dDE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNLc1dDE?uid=2392379382&rl=1
仙女剧透君	5311001379	JcNF6ikEt	#妻子的浪漫旅行##这届妻子不好惹# 蔡少芬居然拿洗地洗剩下的水给张晋洗头，第一下还开足了水力猛冲了晋哥一下，实在是忍不住说一声：心疼晋哥！除了要被洗地的水洗头，还要被凉水冲头，简直是透心凉。 L蔡少芬变托尼洗头翻车，张晋：求你放过我 ​	2020年07月25日 09:33			6	https://weibo.com/5311001379/JcNF6ikEt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNF6ikEt?uid=5311001379&rl=1
Fashion娱乐志	5924809418	JcNEWgFc6	#这届妻子不好惹#沃德天，谁再说女明星都有偶像包袱我第一个不服！#妻子的浪漫旅行#云南站妻子们的泼水大战惊了，群攻王者蔡少芬，火力全开娜团长，浑水摸鱼张歆艺胡可，懵圈忙内小吉娜，完美诠释什么叫“惹谁也不要惹女人”，管她什么偶像包袱，泼就对了！L泼水环节正式开始全员变落汤鸡，金瀚被姐姐们“围攻” ​	2020年07月25日 09:33		评论		https://weibo.com/5924809418/JcNEWgFc6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcNEWgFc6?uid=5924809418&rl=1
