用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
201231我都有看到	6857700057	JkC9dw7ff	#写灯光浇在小路上被判不及格#这几句确实写的很有灵性，但…一篇作文也不是只有几句话而已啊…把完整的作文抛上来更有说服力嗷……未知全貌不予置评 ​	2020年09月14日 18:57		2	2	https://weibo.com/6857700057/JkC9dw7ff?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC9dw7ff?uid=6857700057&rl=1
谢流石	1375964480	JkC8VbVVv	#写灯光浇在小路上被判不及格#转自豆瓣：妹妹写“灯光浇在小路上”被她的语文老师判不及格。 ～～别扼杀了未来的 文学天才。 很诗意的语言啊 ​	2020年09月14日 18:56		2	12	https://weibo.com/1375964480/JkC8VbVVv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC8VbVVv?uid=1375964480&rl=1
湖北高校	7193291496	JkC8TqyFx	来感受一下小学生写的诗 ​ ​​​#写灯光浇在小路上被判不及格# ​	2020年09月14日 18:56			1	https://weibo.com/7193291496/JkC8TqyFx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC8TqyFx?uid=7193291496&rl=1
晃晃兜里有糖	6371210652	JkC8u4d1Y	#写灯光浇在小路上被判不及格#我的天，灯光浇在小路上；我醒了，时间还睡着；蓝天被窗棂割成四方格，是怎么想到的？！ ​	2020年09月14日 18:55			9	https://weibo.com/6371210652/JkC8u4d1Y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC8u4d1Y?uid=6371210652&rl=1
·橘子奶盖·	6727991661	JkC87xeBQ	#写灯光浇在小路上被判不及格#这老师有点毛病吧！非得把小孩子的想象力扼杀了才行呗 ​	2020年09月14日 18:54			3	https://weibo.com/6727991661/JkC87xeBQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC87xeBQ?uid=6727991661&rl=1
77香菜	6022187074	JkC7e0ksh	#写灯光浇在小路上被判不及格#这要是大家写的，又要吹很久吧 ​	2020年09月14日 18:52			3	https://weibo.com/6022187074/JkC7e0ksh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC7e0ksh?uid=6022187074&rl=1
橙子味的徐小姐	3626033011	JkC6TBN1B	#写灯光浇在小路上被判不及格#热搜没有原句可爱——“月光浇在碎石路上”喜欢“我醒了，而时间还睡着” ​	2020年09月14日 18:51			29	https://weibo.com/3626033011/JkC6TBN1B?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC6TBN1B?uid=3626033011&rl=1
爱看头条	1892327960	JkC6RzULG	#全叔分享# “晚上，我打着手电筒散步，累了就拿它当拐杖，我拄着一束光……”“你问我出生前在做什么，我答，我在天上挑妈妈……”来感受一下小孩子们的神仙诗。这个世界最美好的东西之一就是孩子们的想象力，他们的想象天马行空又令人动容 评论里说说，你见过的神仙诗句↓  ​  展开全文c	2020年09月14日 18:51	1		1	https://weibo.com/1892327960/JkC6RzULG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC6RzULG?uid=1892327960&rl=1
看成都	7216381483	JkC6mw84o	来感受一下小学生写的诗 ​ ​​​#写灯光浇在小路上被判不及格# ​	2020年09月14日 18:50		9	5	https://weibo.com/7216381483/JkC6mw84o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC6mw84o?uid=7216381483&rl=1
FTTFFFTTT	3615095724	JkC68BHoP	#写灯光浇在小路上被判不及格#这应该判优秀啊 2广州·鹤建里小区 ​	2020年09月14日 18:50			1	https://weibo.com/3615095724/JkC68BHoP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC68BHoP?uid=3615095724&rl=1
凛凛岁月暮	5214282257	JkC5TfVzi	#写灯光浇在小路上被判不及格#  灵气是天赋 现在孩子写作文都模式化了 匠气太重  难得遇到一个有天赋的  果然 庸俗的老师才有庸俗的批语 另：tag里就几个博怎么就上热搜了 ​	2020年09月14日 18:49		评论		https://weibo.com/5214282257/JkC5TfVzi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5TfVzi?uid=5214282257&rl=1
陈烟枪	5878765807	JkC5TdJbu	#写灯光浇在小路上被判不及格#怎么什么都可以上热搜 2武汉 ​	2020年09月14日 18:49			1	https://weibo.com/5878765807/JkC5TdJbu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5TdJbu?uid=5878765807&rl=1
梧桐i-	5178258745	JkC5C6B5z	#写灯光浇在小路上被判不及格#以前看过一篇作文《豆角月亮》，讲的就是一个一年级的孩子说“弯弯的月亮像豆角”被老师批评说不对，被同学嘲笑，可是她自己不服。很多年以后她爷成了老师，也有女孩说弯弯的月亮像豆角，她鼓励女孩表扬女孩，又过了很多年女孩成了作家，感恩这个老师。作文就是大概这样。 ​  展开全文c	2020年09月14日 18:48		评论		https://weibo.com/5178258745/JkC5C6B5z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5C6B5z?uid=5178258745&rl=1
孤傲与野	5875177784	JkC5ljeS3	#写灯光浇在小路上被判不及格#灯把黑夜，烫了一个洞……这个老师怎么判 L孤傲与野的微博视频 ​	2020年09月14日 18:48	33	34	328	https://weibo.com/5875177784/JkC5ljeS3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5ljeS3?uid=5875177784&rl=1
吴下阿宅202001	7370101488	JkC5ghQEI	#写灯光浇在小路上被判不及格#  很温柔的话啊，很美，我醒了，时间还睡着。要多多鼓励小朋友啊，未来可期 ​	2020年09月14日 18:47		评论		https://weibo.com/7370101488/JkC5ghQEI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5ghQEI?uid=7370101488&rl=1
拟石蟹	2542156014	JkC5buMtY	#写灯光浇在小路上被判不及格#打开小学语文课本，这样的比喻比比皆是，还有些文豪自创的烂形容词一大堆，写得都不如这个小姑娘。 ​	2020年09月14日 18:47			4	https://weibo.com/2542156014/JkC5buMtY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5buMtY?uid=2542156014&rl=1
宸迷伦的布丁_DL	6251669392	JkC5a4uSW	#写灯光浇在小路上被判不及格#明明很有灵气好吗 ​	2020年09月14日 18:47		2	2	https://weibo.com/6251669392/JkC5a4uSW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC5a4uSW?uid=6251669392&rl=1
品牌吴之	1047484980	JkC48uh0u	又一个国家说群体免疫不靠谱！！韩国第二轮冠病病毒抗体检测结果显示，在1400多名受检者中仅有1人查出抗体，抗体阳性率少于0.1%。这意味着韩国无法依靠“群体免疫”战胜冠病疫情。#写灯光浇在小路上被判不及格# 2呼和浩特 ​	2020年09月14日 18:45		评论		https://weibo.com/1047484980/JkC48uh0u?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC48uh0u?uid=1047484980&rl=1
香菜王子马奎博	6535262783	JkC41FiLo	#写灯光浇在小路上被判不及格#误人子弟！！ ​	2020年09月14日 18:44		评论		https://weibo.com/6535262783/JkC41FiLo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC41FiLo?uid=6535262783&rl=1
不正经时尚手册	2292120434	JkC2QqGQn	#写灯光浇在小路上被判不及格# 真是无语遇到这种误人子弟的老师，说实话灯光浇在小路上这个写法很ok啊。 ​	2020年09月14日 18:41	15	12	280	https://weibo.com/2292120434/JkC2QqGQn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC2QqGQn?uid=2292120434&rl=1
孤独的_造梦者	6104365701	JkC285diV	#写灯光浇在小路上被判不及格#我只能说我写不出来这很好了吧，我觉得应该是好词好句里的了，你这样会毁了她的 ​	2020年09月14日 18:40		评论		https://weibo.com/6104365701/JkC285diV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC285diV?uid=6104365701&rl=1
荷花珂	1160831241	JkC21jwLn	#写灯光浇在小路上被判不及格#我学生如果写出这样的文字，我会捧上天，天天免费开小灶，还要死皮赖脸球球学校给出本诗集……为什么有这么暴殄天物的老师啊！！！！！ ​	2020年09月14日 18:39			21	https://weibo.com/1160831241/JkC21jwLn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkC21jwLn?uid=1160831241&rl=1
