用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
人的本质都是颜狗	6535350882	JglMOkoVq	#合肥严禁发布含江鲜湖鲜内容广告# ​	2020年08月17日 17:57		评论		https://weibo.com/6535350882/JglMOkoVq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMOkoVq?uid=6535350882&rl=1
天水检察	5411640999	JglMfvzK1	#天检播报# 【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。 ​  展开全文c	2020年08月17日 17:55		20	12	https://weibo.com/5411640999/JglMfvzK1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMfvzK1?uid=5411640999&rl=1
黔南检察	5558722309	JglLL4wIX	【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。O网页链接  ​  展开全文c	2020年08月17日 17:54		2	3	https://weibo.com/5558722309/JglLL4wIX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglLL4wIX?uid=5558722309&rl=1
原_来_是_你hi	6711626102	JglKMdibg	#合肥严禁发布含江鲜湖鲜内容广告#刚从合肥回来，啥都没吃，天太热了感觉从🔥炉进了烧烤炉低洼地水还是没退实惨 ​	2020年08月17日 17:52		评论		https://weibo.com/6711626102/JglKMdibg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglKMdibg?uid=6711626102&rl=1
华夏饮食	7019639726	JglJyv4MH	【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。 ​	2020年08月17日 17:49		评论		https://weibo.com/7019639726/JglJyv4MH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglJyv4MH?uid=7019639726&rl=1
求己0115	6255516361	JglIM6WcD	#合肥严禁发布含江鲜湖鲜内容广告# ​	2020年08月17日 17:47		评论		https://weibo.com/6255516361/JglIM6WcD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglIM6WcD?uid=6255516361&rl=1
徽州反邪教	5384801243	JglIBuHxg	【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。（安徽反邪教） ​  展开全文c	2020年08月17日 17:46	2	7	1	https://weibo.com/5384801243/JglIBuHxg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglIBuHxg?uid=5384801243&rl=1
遵义发布	5521606430	JglI96DBB	【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。O网页链接  ​  展开全文c	2020年08月17日 17:45			1	https://weibo.com/5521606430/JglI96DBB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglI96DBB?uid=5521606430&rl=1
汉中市检察院	3939417761	JglI3svip	【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。O网页链接  ​  展开全文c	2020年08月17日 17:45	1	1		https://weibo.com/3939417761/JglI3svip?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglI3svip?uid=3939417761&rl=1
安徽反邪教	5964184998	JglHCgmlI	【#合肥严禁发布含江鲜湖鲜内容广告#】合肥市监局发布《告知书》。规定，停止一切有关长江流域巢湖水域非法捕捞渔获物广告的发布；严禁发布含有“江鲜、江刀、野生长江鱼”等内容的广告；不得发布以人工养殖水产品冒称长江流域巢湖水域“江鲜”、“湖鲜”等内容的虚假违法广告。O网页链接 ​	2020年08月17日 17:44	63	54	53	https://weibo.com/5964184998/JglHCgmlI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglHCgmlI?uid=5964184998&rl=1
