用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
MIO光尧	5319804744	JfxwoAFgv	都想黑八是不是#NBA##利拉德51分##太阳7连胜# 2平度市 ​	2020年08月12日 09:59		1		https://weibo.com/5319804744/JfxwoAFgv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxwoAFgv?uid=5319804744&rl=1
篮球之声	2358578625	JfxwimdiV	#太阳7连胜#今天太阳130:117战胜76人，取得七连胜！复赛后一场未败！在击败76人之后，太阳官方把自己的名字改成了“7-0”，目前太阳排在西部第十，与西部第八仅一步之遥，季后赛席位竞争太激烈了！！！#布克35分##NBA吐槽大会# ​	2020年08月12日 09:59	4	11	31	https://weibo.com/2358578625/JfxwimdiV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxwimdiV?uid=2358578625&rl=1
凯尔特人记事簿	2804690524	Jfxvf6lAI	#太阳7连胜#太阳队继续复赛后的不败战绩，继续向季后赛的末班车前行，当然也要好好感谢凯尔特人今天没给灰熊任何的机会，灰熊是枯了#NBA全心开启# ​	2020年08月12日 09:56	1	3	9	https://weibo.com/2804690524/Jfxvf6lAI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfxvf6lAI?uid=2804690524&rl=1
甜心体育足球分析-	3934415194	JfxuOrcXf	#利拉德61分#利拉德继续暴走，拿下了61分，目前开拓者西部第八。说实话这样的利拉德带领的开拓者有点害怕，不会这赛季湖人真的被黑八吧！#太阳7连胜# L芸哚网络的微博视频 ​	2020年08月12日 09:55	63	66	74	https://weibo.com/3934415194/JfxuOrcXf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxuOrcXf?uid=3934415194&rl=1
王某要早睡	5451223012	Jfxuxzr62	#太阳7连胜# |#NBA全心开启# 疯了疯了，太阳复赛以来就没输过，布克出场40分钟，24投11中，三分二中二，罚球12中11，得到35分9篮板7助攻。 ​	2020年08月12日 09:54			1	https://weibo.com/5451223012/Jfxuxzr62?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfxuxzr62?uid=5451223012&rl=1
詹老头子	5414220409	JfxuwqObi	今日太阳对战76人， 76人117 - 130不敌太阳，布克全场41分钟再斩35分另有9篮板7助攻！目前太阳已经取得了7连胜的战绩了，化身为太阳神队全场数据给到！#太阳7连胜# ​	2020年08月12日 09:54	1		14	https://weibo.com/5414220409/JfxuwqObi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxuwqObi?uid=5414220409&rl=1
jrich_0	7224101684	JfxtEoy1Y	西蒙斯不在，没人砍布克最近控球太多了，技术精湛，直接暴打我费城#NBA全心开启##太阳7连胜# ​	2020年08月12日 09:52			2	https://weibo.com/7224101684/JfxtEoy1Y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxtEoy1Y?uid=7224101684&rl=1
篮球台	6882860322	JfxtiatJt	#太阳7连胜#NBA复赛继续在奥兰多迪士尼世界进行。太阳队经过四节较量以130-117战胜76人队，取得复赛7连胜；76人队遭遇2连败。布克职业生涯第91次砍下30+，独享队史第一。#nba全心开启# ​	2020年08月12日 09:51	110	103	204	https://weibo.com/6882860322/JfxtiatJt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxtiatJt?uid=6882860322&rl=1
白小圈v	7312346978	Jfxt0tTtT	#太阳7连胜#太阳以130-117击败76人。复赛后，太阳已经取得7连胜，据统计，这是队史2010年后首次取得7连胜，那一年他们打进了季后赛。 ​	2020年08月12日 09:51		评论		https://weibo.com/7312346978/Jfxt0tTtT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfxt0tTtT?uid=7312346978&rl=1
HOT88热竞技	7295149732	JfxsyCQdH	【布克35+9+7创队史 太阳130-117费城】#太阳7连胜# ，布克35分9篮板7助攻，成为了太阳队史30+最多的球员；布里奇斯24分，卢比奥16分10助攻，萨里奇替补出场贡献18分9篮板；76人队两连败，恩比德、哈里斯和霍福德均缺阵，伯克斯23分4助攻，内托替补出场贡献22分4助攻，奥奎因斩获9分10篮板11助攻。 ​  展开全文c	2020年08月12日 09:50	11	6	5	https://weibo.com/7295149732/JfxsyCQdH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfxsyCQdH?uid=7295149732&rl=1
体育娘	6882856351	Jfxs7fGre	#太阳7连胜#复赛之后，太阳还未有败绩，布克又砍下了35分9篮板7助攻，第91次得分30+让他在该项数据上超越沃尔特-戴维斯成为太阳队史第一！#nba全心开启# ​	2020年08月12日 09:48	110	102	207	https://weibo.com/6882856351/Jfxs7fGre?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfxs7fGre?uid=6882856351&rl=1
