用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
四川工人日报	1132428807	JbMbU9bXk	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏# ​  展开全文c	2020年07月18日 15:59		1	2	https://weibo.com/1132428807/JbMbU9bXk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbMbU9bXk?uid=1132428807&rl=1
金堂发布	1822206482	JbM971VBh	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏# ​  展开全文c	2020年07月18日 15:52	4		2	https://weibo.com/1822206482/JbM971VBh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbM971VBh?uid=1822206482&rl=1
假如我是委员	6821050240	JbLysmUPC	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏# ​  展开全文c	2020年07月18日 14:21		1	4	https://weibo.com/6821050240/JbLysmUPC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbLysmUPC?uid=6821050240&rl=1
头条唐山	5907557146	JbKUk63oS	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏# ​  展开全文c	2020年07月18日 12:42	1	评论		https://weibo.com/5907557146/JbKUk63oS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbKUk63oS?uid=5907557146&rl=1
草莓啵啵甜橙	6251670499	JbKgUzZKC	#探访山东即墨海参养殖基地#敌敌畏好可怕虽然我也吃不起海参陆柯燃你知道这个事情嘛@THE9-陆柯燃 ​	2020年07月18日 11:05			2	https://weibo.com/6251670499/JbKgUzZKC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbKgUzZKC?uid=6251670499&rl=1
遇荐经典	7044721203	JbK2V5D1q	#探访山东即墨海参养殖基地#说点危害吧，清理完养参池排放的废水将会极大的破坏周边生态环境！某年某地的野生螃蟹几乎绝种，就是这废水立下的头功。我们都是社会中的一员都不要自欺欺人！ ​	2020年07月18日 10:31		1	21	https://weibo.com/7044721203/JbK2V5D1q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbK2V5D1q?uid=7044721203&rl=1
晨晓同学	1455197710	JbJMJB23V	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏#   ​  展开全文c	2020年07月18日 09:51	2	3	4	https://weibo.com/1455197710/JbJMJB23V?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbJMJB23V?uid=1455197710&rl=1
vc橙色橘子	3307344964	JbJw0nchk	#探访山东即墨海参养殖基地#不应该只是查处，应该把原来卖出去的全部追回 ​	2020年07月18日 09:10		评论		https://weibo.com/3307344964/JbJw0nchk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbJw0nchk?uid=3307344964&rl=1
济南今日事	2758240017	JbJoQxmtW	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏# ​  展开全文c	2020年07月18日 08:52	1	19	5	https://weibo.com/2758240017/JbJoQxmtW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbJoQxmtW?uid=2758240017&rl=1
老板联播	5994003317	JbJ3vlKAl	【#探访山东即墨海参养殖基地#: 有养殖户称曾用敌敌畏清池】央视“315晚会”曝光山东即墨海参养殖户违规使用敌敌畏事件。7月17日，拍客探访即墨养殖基地，没有发现敌敌畏瓶子。有的养殖户称，敌敌畏是用来清理池子的，并不是养海参用的。也有养殖户称，敌敌畏对虾的影响大。#养海参整箱放敌敌畏# ​  展开全文c	2020年07月18日 08:00	37	27	45	https://weibo.com/5994003317/JbJ3vlKAl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbJ3vlKAl?uid=5994003317&rl=1
