用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
圈内偶像	6060097900	JgriQ4dM9	#李汶翰发寻物启事找链子# 李汶翰《Ready Go 》cut，舞台上气场全开的夺目少年！衣服链子掉落也丝毫不受影响！太棒了！ L圈内偶像的微博视频 ​	2020年08月18日 07:59	127	124	965	https://weibo.com/6060097900/JgriQ4dM9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriQ4dM9?uid=6060097900&rl=1
MM飞	6623820435	JgriMwmWJ	#李汶翰发寻物启事找链子#爱豆青春不作为，只能靠广大的网友了，帮忙找一哈吧 ​	2020年08月18日 07:59			1	https://weibo.com/6623820435/JgriMwmWJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriMwmWJ?uid=6623820435&rl=1
翰憨萌懵的	7313857673	JgriMbuQb	#李汶翰发寻物启事找链子#公司能不能上点心，跳那么剧烈的有力度的舞蹈，夹那么长的链子干嘛，真的很危险，打到他自己怎么办，很容易受伤的 ​	2020年08月18日 07:59		评论		https://weibo.com/7313857673/JgriMbuQb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriMbuQb?uid=7313857673&rl=1
打不烂的鼓槌	6568589568	JgriHdo2i	#李汶翰发寻物启事找链子#因为李汶翰的卖力的舞蹈导致链子不小心跳断了，走过路过的朋友麻烦帮忙找一下，谢谢大家#UNINE舞台燃# L养兔盒的微博视频 ​ ​​​	2020年08月18日 07:59		评论		https://weibo.com/6568589568/JgriHdo2i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriHdo2i?uid=6568589568&rl=1
宇宙小漂亮	2140564022	JgriGBJIT	#李汶翰发寻物启事找链子#李汶翰每一次对待舞台都非常非常认真，其实链子跳断不止一条了，这次发寻物启事可见这条链子真的挺重要的，希望节目组工作人员和现场的其他明星看到能联系一下他，非常感谢。顺便也提醒公司@UNINE官博 ，以后舞台造型尽量不要带这些链条类的装饰，安全很重要。最后，看看帅 ​  展开全文c	2020年08月18日 07:59		评论		https://weibo.com/2140564022/JgriGBJIT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriGBJIT?uid=2140564022&rl=1
今天也想喝旺仔牛奶呀	5206536246	JgriGCQMY	#李汶翰发寻物启事找链子#因为李汶翰大帅哥的卖力的舞蹈导致链子不小心跳断了，希望各位朋友留意一下，关注一下，谢谢！L养兔盒的微博视频 ​ ​​​	2020年08月18日 07:59		评论		https://weibo.com/5206536246/JgriGCQMY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriGCQMY?uid=5206536246&rl=1
紫幽新家	1309886341	JgriGgRFw	#李汶翰发寻物启事找链子#一晚上过去了，链子找到了吗就是掉到舞台上了啊，拜托啦 ​	2020年08月18日 07:59			2	https://weibo.com/1309886341/JgriGgRFw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriGgRFw?uid=1309886341&rl=1
最美的春日也将变成回忆	5230485988	JgriFt7Jn	#李汶翰发寻物启事找链子##UNINE舞台燃# 看着热度一点点下去，也不知道有没有更多的人看到孩子们优秀的舞台实力 ​	2020年08月18日 07:59		评论		https://weibo.com/5230485988/JgriFt7Jn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriFt7Jn?uid=5230485988&rl=1
心愿都能实现的少女	5940148846	JgriFt7BW	#李汶翰发寻物启事找链子#因为跳舞链子不小心跳掉了，有哪位好心人看到或捡到了吗，帮帮孩子吧L养兔盒的微博视频 ​ ​​​好心人你们会发大财的 ​	2020年08月18日 07:59		评论		https://weibo.com/5940148846/JgriFt7BW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriFt7BW?uid=5940148846&rl=1
剧综日报	5601366052	JgriD6kLk	#李汶翰发寻物启事找链子#李汶翰跳舞太用力把别在衣服上的项链弄断了有捡到的记得归还 ​	2020年08月18日 07:59	202	196	1221	https://weibo.com/5601366052/JgriD6kLk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgriD6kLk?uid=5601366052&rl=1
