用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
爱范儿	1642720480	Jedqqr8dy	【张一鸣全员信：争取最好的结果，不放弃探索任何可能性】2020 年 8 月 3 日中午，字节跳动创始人张一鸣发送公司全员信，回应了 TikTok 美国业务面临被 CFIUS（美国外资投资委员会）强制要求出售的问题。在全员信中，他回溯了近一年来 TikTok 在北美的遭遇，坦承还没有完全决定最后的解决方案。而且 ​  展开全文c	2020年08月03日 16:59	3	11	51	https://weibo.com/1642720480/Jedqqr8dy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jedqqr8dy?uid=1642720480&rl=1
傲雪啸风	104312	JedqdbCWG	#英政府同意TikTok伦敦设总部# tiktok上掀起了一股给川普竞选app差评的的清流，你赶走我们爱的app，我们就赶走你，这就对了嘛，少年强则美国强，加油💪 ​​​	2020年08月03日 16:59	1		3	https://weibo.com/104312/JedqdbCWG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JedqdbCWG?uid=104312&rl=1
我们·角度	5710251180	Jedq668Jk	【#英政府同意TikTok伦敦设总部#只要货好，你不要，自然有人会要。】当地时间2日，英媒爆料，英国政府已经同意TikTok在伦敦设立总部。英国《太阳报》当地时间2日发布独家消息称，英国政府目前为TikTok在伦敦设立总部开了“绿灯”，各大臣为对此表示支持，并称这一计划将在接下来的几天内公布。消息曝光 ​  展开全文c	2020年08月03日 16:58		1	2	https://weibo.com/5710251180/Jedq668Jk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jedq668Jk?uid=5710251180&rl=1
爱看头条	1892327960	JedpyFndd	【#张一鸣就TikTok事件发全员信#：争取最好的结果，不放弃探索任何可能性】近日，美国市场封禁抖音海外版TikTok事件，引发各界强烈反应。8月3日中午，字节跳动创始人张一鸣发送公司全员信，回应了TikTok美国业务面临被CFIUS（美国外资投资委员会）强制要求出售的问题。全员信回溯了近一年来TikTok在北 ​  展开全文c	2020年08月03日 16:57	1	1	1	https://weibo.com/1892327960/JedpyFndd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JedpyFndd?uid=1892327960&rl=1
蔚一次爱你的人	3313979407	Jedpl78yo	#英政府同意TikTok伦敦设总部# 还是有明白的国家 ​	2020年08月03日 16:56		9	1	https://weibo.com/3313979407/Jedpl78yo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jedpl78yo?uid=3313979407&rl=1
百万庄通讯社官微	5654253203	Jedp84S17	【英媒爆料：#英政府同意TikTok伦敦设总部# 】当地时间2日，英媒爆料，英国政府已经同意TikTok在伦敦设立总部。英国《太阳报》当地时间2日发布独家消息称，英国政府目前为TikTok在伦敦设立总部开了“绿灯”，各大臣为对此表示支持，并称这一计划将在接下来的几天内公布。消息曝光后，路透社、《镜报 ​  展开全文c	2020年08月03日 16:56		评论		https://weibo.com/5654253203/Jedp84S17?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jedp84S17?uid=5654253203&rl=1
福布斯中文网	1765373140	JedoPck90	【#TikTok回应总部将迁至伦敦#：的确在探讨在美国之外设立总部的可能性】 8月3日下午，有媒体报道称，#英政府同意TikTok伦敦设总部#，而字节跳动也将把TikTok总部从北京迁至伦敦。报道称，英国政府目前为TikTok在伦敦设立总部开了“绿灯”，各大臣对此表示支持，并称这一计划将在接下来的几天内公布。 ​  展开全文c	2020年08月03日 16:55	8	11	6	https://weibo.com/1765373140/JedoPck90?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JedoPck90?uid=1765373140&rl=1
星途征程Long	1905933513	JedoKrqx4	#英政府同意TikTok伦敦设总部#人家想关你，随时都可以关闭，谁不知道英美一线牵啊。 ​	2020年08月03日 16:55		评论		https://weibo.com/1905933513/JedoKrqx4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JedoKrqx4?uid=1905933513&rl=1
要读书的禾同学	2338938232	JedoABPzb	#英政府同意TikTok伦敦设总部#基本已经确认了，字节跳动就如沈逸大佬说的那样，是一个“去中国化”的全球企业，直接把张的公司当外企好了。但还是要保护其他国内公司出海的正常权益。 ​	2020年08月03日 16:55	1		25	https://weibo.com/2338938232/JedoABPzb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JedoABPzb?uid=2338938232&rl=1
青春广元	2120798421	JedoiiK6i	【英媒独家爆料：#英政府同意TikTok伦敦设总部#】当地时间2日，英媒爆料，英国政府已经同意TikTok在伦敦设立总部。英国《太阳报》当地时间2日发布独家消息称，英国政府目前为TikTok在伦敦设立总部开了“绿灯”，各大臣为对此表示支持，并称这一计划将在接下来的几天内公布。消息曝光后，路透社、《镜 ​  展开全文c	2020年08月03日 16:54		评论		https://weibo.com/2120798421/JedoiiK6i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JedoiiK6i?uid=2120798421&rl=1
