用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
zfw平安浦城	5634013749	JiDz3xd3f	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。@人民网 O网页链接 ​	2020年09月01日 18:53	14	23	73	https://weibo.com/5634013749/JiDz3xd3f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDz3xd3f?uid=5634013749&rl=1
赫山公安分局	1972612031	JiDyL0Vzu	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在连线范围内进行实弹射击，禁止驶入。 ​	2020年09月01日 18:52	1	5	5	https://weibo.com/1972612031/JiDyL0Vzu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDyL0Vzu?uid=1972612031&rl=1
安康政法	6315206710	JiDyKkTb8	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。 ​​​@zfw平安浦城 ​	2020年09月01日 18:52			3	https://weibo.com/6315206710/JiDyKkTb8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDyKkTb8?uid=6315206710&rl=1
法治四川	1897723622	JiDxKDHqx	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。O网页链接 ​ @人民网 ​	2020年09月01日 18:50	2	1	4	https://weibo.com/1897723622/JiDxKDHqx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDxKDHqx?uid=1897723622&rl=1
宁夏反邪教	5902163482	JiDwIwrhy	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。 ​​​	2020年09月01日 18:47			1	https://weibo.com/5902163482/JiDwIwrhy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDwIwrhy?uid=5902163482&rl=1
哈尔滨政法	7340786255	JiDwabxzD	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。O网页链接 ​	2020年09月01日 18:46		评论		https://weibo.com/7340786255/JiDwabxzD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDwabxzD?uid=7340786255&rl=1
安徽反邪教	5964184998	JiDtwcLcR	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。 ​	2020年09月01日 18:39	70	63	65	https://weibo.com/5964184998/JiDtwcLcR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDtwcLcR?uid=5964184998&rl=1
国是直通车	6115560351	JiDsie3us	#国是论坛#【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天8时至19时，将在以下诸点连线范围内进行实弹射击，禁止驶入。O网页链接 ​	2020年09月01日 18:36			4	https://weibo.com/6115560351/JiDsie3us?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDsie3us?uid=6115560351&rl=1
上工的视角	5887918107	JiDpY6ynd	#黄海南部进行实弹射击# 人家又不到黄海来碰瓷，得去南海打实弹。 ​	2020年09月01日 18:31		2	15	https://weibo.com/5887918107/JiDpY6ynd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDpY6ynd?uid=5887918107&rl=1
飞行行天下	2072929837	JiDoY3lRx	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。O网页链接 ​	2020年09月01日 18:28		评论		https://weibo.com/2072929837/JiDoY3lRx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDoY3lRx?uid=2072929837&rl=1
四川共青团	1718699234	JiDmw9dn0	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。 ​	2020年09月01日 18:22			1	https://weibo.com/1718699234/JiDmw9dn0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDmw9dn0?uid=1718699234&rl=1
谁在叫我韭菜我改名了	7480923756	JiDlacUMT	#黄海南部进行实弹射击#种花家不是之前那个种花家了，阿中加油，挺住，💪 2重庆 ​	2020年09月01日 18:19		评论		https://weibo.com/7480923756/JiDlacUMT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDlacUMT?uid=7480923756&rl=1
龙口市人民检察院	5056608394	JiDkSam3g	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在连线范围内进行实弹射击，禁止驶入。 ​​​（中国警方在线） ​	2020年09月01日 18:18	23	4	25	https://weibo.com/5056608394/JiDkSam3g?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDkSam3g?uid=5056608394&rl=1
宁波镇海检察	3702523900	JiDk7biMA	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。O网页链接 ​	2020年09月01日 18:16		2		https://weibo.com/3702523900/JiDk7biMA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDk7biMA?uid=3702523900&rl=1
中国反邪教	1590753120	JiDjN93wa	【禁止驶入！#黄海南部进行实弹射击#】9月1日，中国海事局网站发布航行警告：黄海南部，9月2日至4日每天0800时至1900时，将在以下诸点连线范围内进行实弹射击，禁止驶入。 ​	2020年09月01日 18:15	80	31	196	https://weibo.com/1590753120/JiDjN93wa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDjN93wa?uid=1590753120&rl=1
月球上的彩虹先生	1798000637	JiDjADMHP	#黄海南部进行实弹射击#从未间断！！！ ​	2020年09月01日 18:15			2	https://weibo.com/1798000637/JiDjADMHP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiDjADMHP?uid=1798000637&rl=1
