用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
南京交通广播	1750349220	JkIzItDQO	【“绿超人”来了！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，@南京交警 10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的荧光 ​  展开全文c	2020年09月15日 11:19	3	1	2	https://weibo.com/1750349220/JkIzItDQO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIzItDQO?uid=1750349220&rl=1
遂川发布	3908818513	JkIr9tH47	【#南京#车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧 ​  展开全文c	2020年09月15日 10:58		1		https://weibo.com/3908818513/JkIr9tH47?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIr9tH47?uid=3908818513&rl=1
溧水发布	2986699172	JkIoC3nhP	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:52	6	2	1	https://weibo.com/2986699172/JkIoC3nhP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIoC3nhP?uid=2986699172&rl=1
成都热点事儿	1573394521	JkIophzD1	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:51			1	https://weibo.com/1573394521/JkIophzD1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIophzD1?uid=1573394521&rl=1
浦口发布	2608703882	JkInnqP2U	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:49		评论		https://weibo.com/2608703882/JkInnqP2U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkInnqP2U?uid=2608703882&rl=1
金陵晚报	1774181624	JkIle9QAm	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:43	4	1	6	https://weibo.com/1774181624/JkIle9QAm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIle9QAm?uid=1774181624&rl=1
湖北之声	1840551510	JkIg1dDu8	【#南京#车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧 ​  展开全文c	2020年09月15日 10:30			2	https://weibo.com/1840551510/JkIg1dDu8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIg1dDu8?uid=1840551510&rl=1
江宁发布	1910380137	JkIf527bf	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！  ​  展开全文c	2020年09月15日 10:28			1	https://weibo.com/1910380137/JkIf527bf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIf527bf?uid=1910380137&rl=1
湖北新闻	5637065453	JkIec5v5z	【#南京#车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超 ​  展开全文c	2020年09月15日 10:26		1	1	https://weibo.com/5637065453/JkIec5v5z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIec5v5z?uid=5637065453&rl=1
南京发布	2097024354	JkIcYrHp3	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:23	6	9	63	https://weibo.com/2097024354/JkIcYrHp3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIcYrHp3?uid=2097024354&rl=1
宿迁警方	1918676611	JkIbRwhRV	【#南京#车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:20		1		https://weibo.com/1918676611/JkIbRwhRV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkIbRwhRV?uid=1918676611&rl=1
贵溪发布	6083245339	JkI7j5fVb	【车流中的荧光绿！#10位铁骑队员3分钟徒手推走抛锚车#】近日，南京一辆公交车在高架上抛锚，严重影响道路通行。接到求助，10名铁骑队员5分钟内迅速到位，大家齐心协力，仅用3分钟就将公交车推至路边。滚滚车流中，身着荧光绿制服的铁骑队员们格外醒目。网友：太燃了，他们是没穿披风的超人吧！ ​  展开全文c	2020年09月15日 10:09		评论		https://weibo.com/6083245339/JkI7j5fVb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkI7j5fVb?uid=6083245339&rl=1
