原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	IndependentMr	6001747503	IndependentMr:	赞[0]	2020-08-23 07:33:51	来自OnePlus 7 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	Wisg1999	5652482681	Wisg1999:💜💛	赞[0]	2020-08-23 07:32:28	来自iPhone 7 Plus
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	围脖昵称修改中	2712002383	围脖昵称修改中:转发微博	赞[0]	2020-08-23 07:38:29	来自HUAWEI nova 青春版
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	说好的五花肉	2835332310	说好的五花肉:一看就会泪目，在眼泪水出来前想说希望湖人今天能赢	赞[0]	2020-08-23 07:37:17	来自HUAWEI P30 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	认清自己zero	5650281154	认清自己zero:转发微博	赞[0]	2020-08-23 07:35:42	来自荣耀20S
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	珍惜24	2537780365	珍惜24:转发微博	赞[0]	2020-08-23 07:35:25	来自坚果手机 R1
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	南篱旧事24	5944637789	南篱旧事24:老科  生日了	赞[4]	2020-08-23 07:34:50	来自HUAWEI P20 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	叫我zzh	3261628675	叫我zzh:转发微博	赞[0]	2020-08-23 07:34:34	来自HUAWEI Mate 20
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	早起啊51020	5447314914	早起啊51020:生日快乐Kobe	赞[0]	2020-08-23 07:34:19	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	刘衍翔	1739179774	刘衍翔:转发微博	赞[0]	2020-08-23 07:34:05	来自HUAWEI Mate 20 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	Mr丶CF	cfsir	Mr丶CF:	赞[0]	2020-08-23 07:41:39	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	灾难始终快我两步	6169777379	灾难始终快我两步:转发微博	赞[0]	2020-08-23 07:41:27	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	许诺啊啊啊	5243412141	许诺啊啊啊:转发微博	赞[0]	2020-08-23 07:40:55	来自HUAWEI P30 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	陆科24	3977743315	陆科24:转发微博	赞[0]	2020-08-23 07:40:44	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	布拉格小斑鸠_T	5717058445	布拉格小斑鸠_T:从未曾见过你，怎么如此想念你	赞[0]	2020-08-23 07:40:11	来自Android
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	LA张成	2721804335	LA张成:转发微博	赞[0]	2020-08-23 07:39:30	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	我念了两首诗	2884174791	我念了两首诗:	赞[0]	2020-08-23 07:39:05	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	只若初见FL	2145806645	只若初见FL:转发微博	赞[0]	2020-08-23 07:49:37	来自前后2000万 OPPO R11
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	Mad96ovo	6154656588	Mad96ovo:Mamba Forever👑	赞[1]	2020-08-23 07:48:13	来自三星Galaxy S9
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	oungbae	3651155781	oungbae:	赞[1]	2020-08-23 07:47:19	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	信仰布莱恩特	kmik2006	信仰布莱恩特:转发微博	赞[0]	2020-08-23 07:46:02	来自Android客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	因为有你bjhs	3030505401	因为有你bjhs:转发微博	赞[0]	2020-08-23 07:45:30	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	荆棘与月季	7144168843	荆棘与月季:💜💛🏀Mamba forever	赞[0]	2020-08-23 07:43:26	来自iPad air
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	金刚葫芦娃哼哈	2051358812	金刚葫芦娃哼哈:转发微博	赞[0]	2020-08-23 07:42:42	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	忧伤or还是快乐	3898847020	忧伤or还是快乐:	赞[0]	2020-08-23 07:55:28	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	桃妖喵喵喵	5633626312	桃妖喵喵喵:不曾被遗忘就是没有真的离开	赞[1]	2020-08-23 07:53:11	来自喵喵的iiiiiPhone X
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	我喜欢这样看世界小进	2583901205	我喜欢这样看世界小进:转发微博	赞[0]	2020-08-23 07:51:50	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	夏海绵xiahaimian	xiahaimian	夏海绵xiahaimian:💜💛	赞[0]	2020-08-23 07:51:08	来自かかのiPhone 11 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	佚兌	5567010759	佚兌:@KobeBryant 老大，中国科密都在为您送上祝福，您看到了吗	赞[0]	2020-08-23 07:50:01	来自华为畅享10 Plus
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	人生是一场痛苦的信仰	zqtmachw2009	人生是一场痛苦的信仰:	赞[0]	2020-08-23 07:50:01	来自微博 weibo.com
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	枫Kobe24	5399608989	枫Kobe24:转发微博	赞[0]	2020-08-23 07:49:52	来自HUAWEI P20 Pro
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	他可是科比诶	5101384990	他可是科比诶:Never out	赞[2]	2020-08-23 08:04:29	来自vivo X23 AI非凡摄影
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	丶刘先森Bryan	3985732004	丶刘先森Bryan:Miss u so much  Mamba4ever  🖤  #科比生日快乐##mambamentality#	赞[0]	2020-08-23 08:04:19	来自OnePlus 8
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	馨德郎	1770004885	馨德郎:	赞[0]	2020-08-23 08:04:16	来自iPhone XS Max
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	txz9	1780622453	txz9:	赞[0]	2020-08-23 08:03:43	来自iPhone客户端
湖人中文网	:全国各地点亮地标致敬科比#全国各地点亮地标为科比庆生##科比生日# via@LightForKobeBryant @尚洛体育 	2020-08-23 07:31:45    	新生LA	5250548686	新生LA:转发微博	赞[0]	2020-08-23 08:00:55	来自荣耀V20 4800万3D相机
