用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
长安邑	1410698794	Jf8maeWHv	#你眼中的花样八月# 周末33℃，今年降雨多，天气不算热。鼓楼回民街上游客不多，按往年来说算是客流稀少。大家对旅游出行都心怀谨慎。旅游经济需要重启，咱们自己多做示范吧。#北京重启消费季##人文地理旅行中国# 2西安·西安城墙景区 ​	2020年08月09日 17:55		10	4	https://weibo.com/1410698794/Jf8maeWHv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf8maeWHv?uid=1410698794&rl=1
首都专家微博群	2670216585	Jf8aYnIln	【#北京重启消费季# 看直播！】从6月6日开始一直延续到年底的#北京消费季#，今天开启“炫·彩生活月”板块。国家大剧院、东城区隆福寺、五棵松华熙live，现场有哪些特别的主题活动？又有哪些福利？一起探访↓（央视新闻）L央视新闻的微博视频 ​	2020年08月09日 17:28		评论		https://weibo.com/2670216585/Jf8aYnIln?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf8aYnIln?uid=2670216585&rl=1
HERMES的小窝	1415676655	Jf8ajksUk	#北京重启消费季#【#北京重启消费季# 看直播！】从6月6日开始一直延续到年底的#北京消费季#，今天开启“炫·彩生活月”板块。国家大剧院、东城区隆福寺、五棵松华熙live，现场有哪些特别的主题活动？又有哪些福利？一起探访↓（总台央视记者罗子瑛 何畅 王丰） L央视新闻的微博视频 . ​	2020年08月09日 17:26		1		https://weibo.com/1415676655/Jf8ajksUk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf8ajksUk?uid=1415676655&rl=1
看成都	7216381483	Jf899sOiI	#北京重启消费季# 小调查，你所在的城市发放优惠券没有呢？ 你所在的城市发放优惠券没有呢？ ​	2020年08月09日 17:23		1	11	https://weibo.com/7216381483/Jf899sOiI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf899sOiI?uid=7216381483&rl=1
张云龒	5974550036	Jf88qDmi5	【#北京重启消费季# 看l】从6月6日开始一直延续到年底的#北京消费季#，昨天开启“炫·彩生活月”板块。国家大剧院、东城区隆福寺、五棵松华熙live，现场有哪些特别的主题活动？又有哪些福利？一起探访↓（总台央视记者罗子瑛 何畅 王丰） L央视新闻的微博视频 . ​	2020年08月09日 17:21		2		https://weibo.com/5974550036/Jf88qDmi5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf88qDmi5?uid=5974550036&rl=1
改名为初	2035574004	Jf885EztA	#北京重启消费季#一只月光族，体会不到你们的快乐 ​	2020年08月09日 17:20			5	https://weibo.com/2035574004/Jf885EztA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf885EztA?uid=2035574004&rl=1
一往无前MI兔	5658766053	Jf82pnMpM	#北京重启消费季#一直没上班，怎么花钱😂 ​	2020年08月09日 17:06			2	https://weibo.com/5658766053/Jf82pnMpM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf82pnMpM?uid=5658766053&rl=1
-桃雾星酒林-	6878476602	Jf82bf2SF	#北京重启消费季#真好啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ​	2020年08月09日 17:06		评论		https://weibo.com/6878476602/Jf82bf2SF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf82bf2SF?uid=6878476602&rl=1
阿拉善政法	5154910158	Jf81KikdA	【#北京重启消费季# 看直播！】从6月6日开始一直延续到年底的#北京消费季#，今天开启“炫·彩生活月”板块。国家大剧院、东城区隆福寺、五棵松华熙live，现场有哪些特别的主题活动？又有哪些福利？一起探访↓（总台央视记者罗子瑛 何畅 王丰） L央视新闻的微博视频 . ​ ​​​ O网页链接 ​	2020年08月09日 17:05		评论		https://weibo.com/5154910158/Jf81KikdA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf81KikdA?uid=5154910158&rl=1
不正经时尚手册	2292120434	Jf7YOAHZI	#北京重启消费季# 不错，大家出门燥起来吧，又可以满街看到各种美少女了。 ​	2020年08月09日 16:58	13	14	74	https://weibo.com/2292120434/Jf7YOAHZI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf7YOAHZI?uid=2292120434&rl=1
