用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
正版画旨	3130849205	Jj6Fr8SsE	#合肥冰雹#砸的好响啊 ​	2020年09月04日 20:58		评论		https://weibo.com/3130849205/Jj6Fr8SsE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6Fr8SsE?uid=3130849205&rl=1
加贝的小朋友_	6307088891	Jj6ESv1pB	#合肥冰雹#在什么地方下的，我这边只下了雨 ​	2020年09月04日 20:57		评论		https://weibo.com/6307088891/Jj6ESv1pB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6ESv1pB?uid=6307088891&rl=1
张晶磊_XXXL	2031047111	Jj6ElFUiD	#合肥冰雹# 刚刚!下冰雹了!合肥人下班赶紧回家！,刚刚合肥的天空太阳还没有完全被遮突然打雷下雨有网友称有地方下起了冰雹气象部门挂出雷雨大风黄色预警目前在蜀山区、包河区新站区、瑶海区、肥西紫蓬山出现局地短时雷阵雨请注意防范雷电、大风、短时强降雨、冰雹据  O刚刚!下冰雹了!合肥人下班赶紧回家！ ​	2020年09月04日 20:56		评论		https://weibo.com/2031047111/Jj6ElFUiD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6ElFUiD?uid=2031047111&rl=1
硅质页岩	7352800183	Jj6EkyjsA	#合肥冰雹#emmmm ​	2020年09月04日 20:56		评论		https://weibo.com/7352800183/Jj6EkyjsA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6EkyjsA?uid=7352800183&rl=1
稗酿酒酵	5667498769	Jj6DS84pC	#合肥冰雹#这个季节下冰雹？？！！ ​	2020年09月04日 20:54		评论		https://weibo.com/5667498769/Jj6DS84pC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6DS84pC?uid=5667498769&rl=1
群星_寒光	1906780242	Jj6DHtDcB	#合肥冰雹# 刚刚！合肥天空出现了彩虹！听说还下冰雹了....,  O刚刚！合肥天空出现了彩虹！听说还下冰雹了.... ​	2020年09月04日 20:54		评论		https://weibo.com/1906780242/Jj6DHtDcB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6DHtDcB?uid=1906780242&rl=1
文文娜小娜	1843024693	Jj6DFcl7I	#合肥冰雹#呼吁世界上的人，一起爱护保护环境 ​	2020年09月04日 20:54			1	https://weibo.com/1843024693/Jj6DFcl7I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6DFcl7I?uid=1843024693&rl=1
意外制造者_KUN	5609144019	Jj6Dxt2tp	#合肥冰雹#啊这…我明天去到还想晒被子呢 ​	2020年09月04日 20:54		评论		https://weibo.com/5609144019/Jj6Dxt2tp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6Dxt2tp?uid=5609144019&rl=1
VvvVvV505瓜子	3886634808	Jj6DxeKTa	#合肥冰雹#我他么今天在肥东被晒死，晚上到蜀山区地也是干的，从合肥东到西完全没感受到雨雹 ​	2020年09月04日 20:54			1	https://weibo.com/3886634808/Jj6DxeKTa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6DxeKTa?uid=3886634808&rl=1
旅少	6644124078	Jj6CaFGWX	#合肥冰雹#这个季节下冰雹还这么大 L柠檬味儿的啊的微博视频 ​	2020年09月04日 20:50	12	15	26	https://weibo.com/6644124078/Jj6CaFGWX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6CaFGWX?uid=6644124078&rl=1
北京密云消防	5438252453	Jj6BVBv7l	#合肥冰雹#【如何应对强对流天气？】雷电暴雨、狂风肆虐、冰雹瘆人……相信大家都被这样的天气吓到了！……强对流天气，大家要做好防风、防雨、防雷、防电器受潮，多多注意！ ​ ​​​	2020年09月04日 20:50		1	1	https://weibo.com/5438252453/Jj6BVBv7l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6BVBv7l?uid=5438252453&rl=1
小张今天也加油鸭	6481947529	Jj6BOw4pG	#合肥冰雹#当时我就以为但是说了是暴雨 ​	2020年09月04日 20:49		评论		https://weibo.com/6481947529/Jj6BOw4pG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6BOw4pG?uid=6481947529&rl=1
火社香柠柠	6574837363	Jj6BerXtS	#合肥冰雹#成功错过，下午六点多才坐列车离开合肥滚回学校了，这是命中注定与我无缘吗？话说，我都好久没见到了 ​	2020年09月04日 20:48			1	https://weibo.com/6574837363/Jj6BerXtS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6BerXtS?uid=6574837363&rl=1
许一个兜里有糖	7325080738	Jj6AIw1HR	#合肥冰雹#下冰雹了，据说下午下午还是晴天的来 ​	2020年09月04日 20:47		评论		https://weibo.com/7325080738/Jj6AIw1HR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6AIw1HR?uid=7325080738&rl=1
江西消防	1986679210	Jj6zcAefy	#合肥冰雹# 若遇暴雨、大风、冰雹等极端天气，一定要注意安全，行人、行车都要小心。收下这份安全指南，有备无患！ ​	2020年09月04日 20:43	2	3	10	https://weibo.com/1986679210/Jj6zcAefy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6zcAefy?uid=1986679210&rl=1
另一个我随便写	3952890547	Jj6zbrBsx	#合肥冰雹#我太认真工作了？完全不知道，我连下雨了都不知道 ​	2020年09月04日 20:43			3	https://weibo.com/3952890547/Jj6zbrBsx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6zbrBsx?uid=3952890547&rl=1
毛先生喜欢的竺竺	7310037266	Jj6yNaALz	#合肥冰雹#合肥下冰雹了，今年的天气好恶劣呀！又是风又雨的哎。快好起来吧！ ​	2020年09月04日 20:42	10	1	5	https://weibo.com/7310037266/Jj6yNaALz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6yNaALz?uid=7310037266&rl=1
校园师兄	5222969812	Jj6yzxK3f	#合肥冰雹#刚刚，合肥市区出现冰雹，你被淋了吗？ L贵阳师兄的微博视频 ​	2020年09月04日 20:41	97	334	1552	https://weibo.com/5222969812/Jj6yzxK3f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6yzxK3f?uid=5222969812&rl=1
Torneroyang	1923321341	Jj6xHaBWR	#合肥冰雹#下在哪？我没看见，我好热 2合肥·南湖春城 ​	2020年09月04日 20:39			1	https://weibo.com/1923321341/Jj6xHaBWR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6xHaBWR?uid=1923321341&rl=1
云南消防	2538642904	Jj6xgDahc	#合肥冰雹# 【冰雹天气如何防范与自救】冰雹春夏之交很常见，大的状如小馒头，小的形同元宵。下冰雹时造成的雹灾，是中国严重灾害之一，也可致人受伤，遇到冰雹天气我们该如何防范与自救，一起来了解下！#消防知识# ​	2020年09月04日 20:38	28	18	22	https://weibo.com/2538642904/Jj6xgDahc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6xgDahc?uid=2538642904&rl=1
孤傲与野	5875177784	Jj6wSpqkS	#合肥冰雹#合肥年年都下冰雹 L孤傲与野的微博视频 ​	2020年09月04日 20:37	17	14	39	https://weibo.com/5875177784/Jj6wSpqkS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6wSpqkS?uid=5875177784&rl=1
北京大兴	2590508324	Jj6wBhci3	【固定污染源检查 倒逼餐饮企业环保达标】近日，大兴区生态环境局对辖区餐饮企业固定污染源进行检查，大力开展执法检查，加大检查力度，加大处罚力度，进而规范这些企业，落实各项环保标准，提升空气质量，给老百姓提供好的环境，少一些油烟噪声扰民问题。@大兴生态环境  ​  展开全文c	2020年09月04日 20:37	2	1	2	https://weibo.com/2590508324/Jj6wBhci3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6wBhci3?uid=2590508324&rl=1
Q昵称不可用Q	2995251335	Jj6vK74Dv	#合肥冰雹#高新区风平浪静 O网页链接 ​	2020年09月04日 20:34		评论		https://weibo.com/2995251335/Jj6vK74Dv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6vK74Dv?uid=2995251335&rl=1
孤傲与野	5875177784	Jj6vodTPP	#合肥冰雹#你见过冰雹吗？ ​	2020年09月04日 20:34	7	17	563	https://weibo.com/5875177784/Jj6vodTPP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj6vodTPP?uid=5875177784&rl=1
头冷的会计	6445946717	Jj5wSApiP	合肥下冰雹了#合肥冰雹# L头冷的会计的微博视频 ​	2020年09月04日 18:05		评论		https://weibo.com/6445946717/Jj5wSApiP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5wSApiP?uid=6445946717&rl=1
会打嗝的芒果	5342684835	JgOli3GNR	#合肥暴雨##合肥冰雹# 太吓人了这个天。瞬间变黑 ​	2020年08月20日 18:39		4		https://weibo.com/5342684835/JgOli3GNR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgOli3GNR?uid=5342684835&rl=1
小马是神仙叭	6128211277	IozMJz8zQ	#合肥冰雹#就让这一场冰雹来庆祝我考试结束吧 ​	2020年01月08日 21:33			1	https://weibo.com/6128211277/IozMJz8zQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/IozMJz8zQ?uid=6128211277&rl=1
安徽房产台	6791595990	I0cuC8Ars	#合肥冰雹# #合肥身边事# 据多位网友爆料：合肥撮镇这边下冰雹了 L新浪安徽的微博视频 ​	2019年08月01日 14:08			5	https://weibo.com/6791595990/I0cuC8Ars?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/I0cuC8Ars?uid=6791595990&rl=1
爱上合肥	2920320465	F37eLDCAc	#合肥冰雹#  L秒拍视频 ​	2017年05月14日 22:03	7	9	11	https://weibo.com/2920320465/F37eLDCAc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/F37eLDCAc?uid=2920320465&rl=1
爱上合肥	2920320465	F37dx8abw	#合肥冰雹#  L秒拍视频 ​	2017年05月14日 22:00	1	评论		https://weibo.com/2920320465/F37dx8abw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/F37dx8abw?uid=2920320465&rl=1
