原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	养乐多不给你	5806764935	养乐多不给你:很不错哦期待合作	赞[0]	2020-09-14 20:57:21	来自小米10
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	云卷卷卷呢	2464829680	云卷卷卷呢:期待有合作	赞[0]	2020-09-14 20:57:21	来自iPhone客户端
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	Aman妮	6433817707	Aman妮:转发微博	赞[0]	2020-09-14 20:57:21	来自iPhone客户端
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	Somnus笙	7326078212	Somnus笙:转发微博	赞[0]	2020-09-14 20:57:33	来自OPPO超视野全面屏R15
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	闷闷俺在此	7492133774	闷闷俺在此:期待了呀	赞[0]	2020-09-14 20:57:31	来自OPPO Reno
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	哈呼呼咕	7448495631	哈呼呼咕:这也太帅了吧	赞[0]	2020-09-14 20:57:26	来自华为畅享10 Plus
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	一颗柠檬酸1	7477076732	一颗柠檬酸1:我也特别期待有新的合作啊	赞[0]	2020-09-14 20:57:26	来自iPhone客户端
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	不喝旺仔喝养乐多	7189770431	不喝旺仔喝养乐多:期待有合作啊	赞[0]	2020-09-14 20:57:25	来自iPhone客户端
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	心的港湾60023	5977640640	心的港湾60023:原来是这样	赞[0]	2020-09-14 20:57:24	来自OPPO A8
教母娱乐	:#吴彤时代少年团合影# 哦！是新鲜的时代少年团！图二认人啊感觉好几天不见了肿么回事期待有合作时代少年团：马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔、贺峻霖 	2020-09-14 20:55:32    	我爱吃红烧鱼吖	5882929961	我爱吃红烧鱼吖:好帅啊	赞[0]	2020-09-14 20:57:24	来自前后2000万 OPPO R11s
