原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	NIGEL·n	5829788834	NIGEL·n://@还是那棵葱还是那粒米 :#别人是goodday你是孤孤day# #李宇春GOODGOOD# 李宇春：我没有我不是。	赞[0]	2020-08-25 20:20:48	来自微博国际版
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	阿黛162	1735914387	阿黛162:#李宇春新歌goodgood# #别人是goodday你是孤孤day#	赞[0]	2020-08-25 20:19:57	来自iPad客户端
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	还是那棵葱还是那粒米	3921854136	还是那棵葱还是那粒米:#别人是goodday你是孤孤day# #李宇春GOODGOOD# 李宇春：我没有我不是。	赞[0]	2020-08-25 20:19:42	来自李老师的Android
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	李阿葱的马甲线	2883707462	李阿葱的马甲线:哈哈哈哈哈哈哈哈哈//@风华凄凄:@李宇春 #别人是goodday你是孤孤day#	赞[0]	2020-08-25 20:16:42	来自vivo AI智慧拍照X21
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	健步走121	2207838173	健步走121://@风华凄凄:@李宇春 #别人是goodday你是孤孤day#	赞[1]	2020-08-25 20:16:28	来自HUAWEI P20
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	风华凄凄	lbts	风华凄凄:@李宇春 #别人是goodday你是孤孤day# 	赞[0]	2020-08-25 20:16:05	来自HUAWEI Mate 30 Pro
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	例如耕宇	712851233	例如耕宇:哈哈哈哈哈//@每天离李宇春音乐近一点:#孤day打歌蛤蟆# 笑起来世界多美#别人是goodday你是孤孤day#	赞[0]	2020-08-25 20:24:29	来自红米Note7 4800万相机
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	我想的名字为什么都被注册	5668940112	我想的名字为什么都被注册://@每天离李宇春音乐近一点:#孤day打歌蛤蟆# 笑起来世界多美#别人是goodday你是孤孤day#	赞[0]	2020-08-25 20:24:24	来自iPhone客户端
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	随意是种姿态丶	1869856317	随意是种姿态丶:#别人是goodday你是孤孤day# 你为什要发语音	赞[0]	2020-08-25 20:24:19	来自荣耀10 AI变色更潮美
中国娱乐网	:#孤day打歌蛤蟆#当七夕节遇到李宇春，别人good day到你就是孤孤day，人间真实春春子特意在今日贴心为大家献上一首蛤蟆歌催脱单了，感谢李总，感恩今日所有的蛤蟆们～ #孤寡青蛙升级换代#中国娱乐网官方微博的微博视频 	2020-08-25 20:15:26    	葱的猕猴桃	5328653380	葱的猕猴桃://@每天离李宇春音乐近一点:#孤day打歌蛤蟆# 笑起来世界多美#别人是goodday你是孤孤day#	赞[0]	2020-08-25 20:23:54	来自努比亚Z17mini
