用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
法治四川	1897723622	JcffVrgWV	#新疆疫情防控新闻发布会##新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） L央视新闻的微博视频 . ​ @央视新闻 ​	2020年07月21日 17:58	1	3	2	https://weibo.com/1897723622/JcffVrgWV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcffVrgWV?uid=1897723622&rl=1
黔中平坝	2709979734	JcffJlw7b	#新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） L央视新闻的微博视频 . ​​​	2020年07月21日 17:58			1	https://weibo.com/2709979734/JcffJlw7b?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcffJlw7b?uid=2709979734&rl=1
乌鲁木齐校园	2025330667	JcfaRlWSZ	#新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） ViaL央视新闻的微博视频 . ​	2020年07月21日 17:46			1	https://weibo.com/2025330667/JcfaRlWSZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcfaRlWSZ?uid=2025330667&rl=1
热点私享	1647894567	Jcf9jfuDj	#新疆疫情防控新闻发布会#按照目前的情况看，新疆的疫情规模将远小于北京，新疆的疫情结束的时间也肯定比北京短。北京大概是一个月。新疆应该很快会结束。这就是中国效率 2北京 ​	2020年07月21日 17:42		11	41	https://weibo.com/1647894567/Jcf9jfuDj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcf9jfuDj?uid=1647894567&rl=1
兰州高新区发布	7337332345	Jcf8Z9Vd2	#新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） L央视新闻的微博视频 . ​	2020年07月21日 17:41		评论		https://weibo.com/7337332345/Jcf8Z9Vd2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcf8Z9Vd2?uid=7337332345&rl=1
木木彦亻夋白苟攵亭	6434629006	Jcf8tyRyL	#新疆疫情防控新闻发布会#加油，我不想在家毕业 ​	2020年07月21日 17:40		评论		https://weibo.com/6434629006/Jcf8tyRyL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcf8tyRyL?uid=6434629006&rl=1
北天修峣羡三顾	2678879007	Jcf7VzZfs	#新疆疫情防控新闻发布会#排队等待核酸检测中今天太阳也太不放过我们了快中暑了 ​	2020年07月21日 17:38		2		https://weibo.com/2678879007/Jcf7VzZfs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcf7VzZfs?uid=2678879007&rl=1
遵义政务微博	7300946249	Jcf4EeUTJ	#新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） L央视新闻的微博视频 . ​​​	2020年07月21日 17:30		评论		https://weibo.com/7300946249/Jcf4EeUTJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcf4EeUTJ?uid=7300946249&rl=1
朱富贞	5601784498	JceWyxljE	#新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） L央视新闻的微博视频 . ​​​	2020年07月21日 17:10		评论		https://weibo.com/5601784498/JceWyxljE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JceWyxljE?uid=5601784498&rl=1
CCTV4	2039753857	JceVWpdla	#新疆新增8例本土病例#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！（总台央视记者刘菲 阿尔曼 水政） L央视新闻的微博视频 . ​​​	2020年07月21日 17:09			1	https://weibo.com/2039753857/JceVWpdla?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JceVWpdla?uid=2039753857&rl=1
手机上的新浪	1712686623	JceUEmIOM	#新型冠状病毒肺炎最新情况#【直播！#新疆疫情防控新闻发布会#】今天，新疆召开疫情防控新闻发布会，介绍新疆疫情防控最新信息。看直播↓关注！L央视新闻的微博视频 ​	2020年07月21日 17:06	2		2	https://weibo.com/1712686623/JceUEmIOM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JceUEmIOM?uid=1712686623&rl=1
