用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
思念抹不去记忆	6880279870	JhfYpuKzt	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一直处于对 ​  展开全文c	2020年08月23日 16:59		评论		https://weibo.com/6880279870/JhfYpuKzt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfYpuKzt?uid=6880279870&rl=1
遇你痛了心	6792761405	JhfYe0Dp1	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一直处于对 ​  展开全文c	2020年08月23日 16:59		评论		https://weibo.com/6792761405/JhfYe0Dp1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfYe0Dp1?uid=6792761405&rl=1
文明青羊	5147125619	JhfU1iDsj	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一直处于对 ​  展开全文c	2020年08月23日 16:48		评论		https://weibo.com/5147125619/JhfU1iDsj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfU1iDsj?uid=5147125619&rl=1
陇南成县抛沙司法所	2813607252	JhfU0b5eb	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一 ​  展开全文c	2020年08月23日 16:48		评论		https://weibo.com/2813607252/JhfU0b5eb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfU0b5eb?uid=2813607252&rl=1
每日经济新闻	1649173367	JhfSXtiE6	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一直处于对 ​  展开全文c	2020年08月23日 16:46	15	7	12	https://weibo.com/1649173367/JhfSXtiE6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfSXtiE6?uid=1649173367&rl=1
极寒咔咔	6070793711	JhfRLwuKb	#景区回应丹霞地貌遭人为刻字#无语，这种某某某到此一游的土鳖行为还在发生吗？ ​	2020年08月23日 16:43			1	https://weibo.com/6070793711/JhfRLwuKb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfRLwuKb?uid=6070793711&rl=1
房天下	2603857891	JhfQBuUGL	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 】这种就应该重罚，并且大力宣传，以儆效尤！总有这种不文明行为 ​	2020年08月23日 16:40		1	2	https://weibo.com/2603857891/JhfQBuUGL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfQBuUGL?uid=2603857891&rl=1
阿至律师	2172792324	JhfQ6q1dV	你们还打什么马赛克呀？作案的都不怕留名字。#景区回应丹霞地貌遭人为刻字#评论中有人说他们俩的名字叫： 张香中，梁晓琴  ​	2020年08月23日 16:39			5	https://weibo.com/2172792324/JhfQ6q1dV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfQ6q1dV?uid=2172792324&rl=1
泉州气象	1058664381	JhfPQrwGq	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 16:38		1	4	https://weibo.com/1058664381/JhfPQrwGq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfPQrwGq?uid=1058664381&rl=1
心动	1185587177	JhfPCgBmV	#景区回应丹霞地貌遭人为刻字#恶意破坏景区的人应该被所有景区拉入黑名单吗？ 恶意破坏景区的人应该被所有景区拉入黑名单吗？ ​	2020年08月23日 16:38	17	13	82	https://weibo.com/1185587177/JhfPCgBmV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfPCgBmV?uid=1185587177&rl=1
每日商报	1883184762	JhfPkB5hr	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 16:37		评论		https://weibo.com/1883184762/JhfPkB5hr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfPkB5hr?uid=1883184762&rl=1
他好酥哦	2099584781	JhfORDAHd	#景区回应丹霞地貌遭人为刻字#挺有仪式感的，年纪轻轻就开始给自己刻墓碑了，合葬吧 ​	2020年08月23日 16:36		1	4	https://weibo.com/2099584781/JhfORDAHd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfORDAHd?uid=2099584781&rl=1
贵州日报官微	5167503212	JhfOaeByj	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一直处于对 ​  展开全文c	2020年08月23日 16:34		评论		https://weibo.com/5167503212/JhfOaeByj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfOaeByj?uid=5167503212&rl=1
码农-Lucien	2197906691	JhfO1D9Mp	#景区回应丹霞地貌遭人为刻字#保护区当景区，本来就有问题…… 2陆丰市 ​	2020年08月23日 16:34			5	https://weibo.com/2197906691/JhfO1D9Mp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfO1D9Mp?uid=2197906691&rl=1
中国科技工作者之家	6243817726	JhfNxvUEs	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 16:32			1	https://weibo.com/6243817726/JhfNxvUEs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfNxvUEs?uid=6243817726&rl=1
房天下徐州	6433020724	JhfMlgmYy	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 这下子一刻，大家都知道你们做了不文明的事情了，干嘛非得在景区留点记号呢，拍点照片回家慢慢欣赏不好吗 ​	2020年08月23日 16:29			1	https://weibo.com/6433020724/JhfMlgmYy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfMlgmYy?uid=6433020724&rl=1
公益时报	1881124713	JhfIwkBO5	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 16:20		评论		https://weibo.com/1881124713/JhfIwkBO5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfIwkBO5?uid=1881124713&rl=1
贵州长安网	5038874347	JhfHHrLtO	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 16:18	9	1	5	https://weibo.com/5038874347/JhfHHrLtO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfHHrLtO?uid=5038874347&rl=1
李明学_	3907930335	JhfD57Y5J	#景区回应丹霞地貌遭人为刻字#建立健全旅游景点黑名单制度！这种破坏行为依法追责严惩！PS建议：景区景点也可以建设一个留名墙、涂鸦墙、电子签字留名册什么的，专门留给那些“到此一游”的人。有些人真的是见什么刻什么🤔不论材质 2北京 ​	2020年08月23日 16:07	1		6	https://weibo.com/3907930335/JhfD57Y5J?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfD57Y5J?uid=3907930335&rl=1
孤傲与野	5875177784	JhfthnM7E	#景区回应丹霞地貌遭人为刻字#查一下最近门票记录很容易就能查到，然后把这种行为记录到个人档案中 你怎么看？ ​	2020年08月23日 15:42	10	17	114	https://weibo.com/5875177784/JhfthnM7E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhfthnM7E?uid=5875177784&rl=1
贵溪发布	6083245339	JheVfxOID	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 14:19		评论		https://weibo.com/6083245339/JheVfxOID?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JheVfxOID?uid=6083245339&rl=1
科技日报	3515639462	JheUL8Z1t	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 14:17	1	4	3	https://weibo.com/3515639462/JheUL8Z1t?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JheUL8Z1t?uid=3515639462&rl=1
新京报	1644114654	JheTZyjKx	【#景区回应丹霞地貌遭人为刻字#：内部带有监控 现已介入调查】8月22日，陕西靖边县一丹霞地貌景区遭人为破坏刻字引关注。景区工作人员称，刻字现象去年曾出现过，当时被政府严惩杜绝，此次被发现刻字景区，目前尚处于封闭状态，还未被列入景区管理保护，景区外部有围栏围住且带有监控，现已介入调查。 ​  展开全文c	2020年08月23日 14:16	65	185	2299	https://weibo.com/1644114654/JheTZyjKx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JheTZyjKx?uid=1644114654&rl=1
津彩青春	3074181393	JheOabg9H	#景区回应丹霞地貌遭人为刻字#【转发呼吁！外出旅游，别让不文明行为“煞风景”】戳↓↓文明出游，不要让你的素养配不上晒出来的美景。 #游客洱海边洗车被罚2000元# ​	2020年08月23日 14:01	2	1	6	https://weibo.com/3074181393/JheOabg9H?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JheOabg9H?uid=3074181393&rl=1
凤凰网财经	1988800805	JhdExvRmP	【陕西榆林丹霞地貌遭人刻字，当地介入调查】近日，陕西榆林。靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，落款时间为8月21日。据央视新闻，景区管理部门和警务室已介入调查，当事人被约谈。#景区已介入调查丹霞地貌被刻字# #景区回应丹霞地貌遭人为刻字# ​  展开全文c	2020年08月23日 11:05	19	52	132	https://weibo.com/1988800805/JhdExvRmP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhdExvRmP?uid=1988800805&rl=1
时尚旅者	3769534395	JhcE54rwv	#景区已介入调查丹霞地貌被刻字# 希望严惩。甘肃张掖丹霞地质公园地处祁连山北麓，是中国丹霞地貌发育最大最好、地貌造型最丰富的地区之一。这些完全由自然的力量形成的七彩景观，外国游人称其为“彩虹山”，是国内唯一的丹霞地貌与彩色丘陵景观复合区。同时张掖丹霞是中国彩色丹霞的典型代表，具有很 ​  展开全文c	2020年08月23日 08:31	106	154	1104	https://weibo.com/3769534395/JhcE54rwv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcE54rwv?uid=3769534395&rl=1
中国新闻网	1784473157	JhbQQhiVM	#景区回应丹霞地貌遭人为刻字#【#游客在靖边丹霞地貌刻字表白# 当地介入调查】近日，陕西榆林靖边龙洲丹霞地貌核心景区外被人为破坏，一对情侣将名字刻在岩石上，刻字落款时间为8月21日。据悉，目前整个景区还处于开发状态，暂未向游客开放，最新被破坏的这处刻字地点，不在核心景区范围内，一直 ​  展开全文c	2020年08月23日 06:30	89	283	4388	https://weibo.com/1784473157/JhbQQhiVM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhbQQhiVM?uid=1784473157&rl=1
