原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	青铜判官	5406019483	青铜判官:祝你早日康复	赞[0]	2020-08-04 07:53:00	来自华为手机 畅享玩不停
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	醉美夜啊	7419364712	醉美夜啊:转发微博	赞[0]	2020-08-04 07:53:10	来自前置双摄vivo X9
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	萌萌哒春天w	7276220427	萌萌哒春天w:好好照顾自己	赞[0]	2020-08-04 07:53:08	来自vivo S1照亮你的美
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	米高的米高	5175791687	米高的米高:转发微博	赞[0]	2020-08-04 07:53:19	来自OPPO A9
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	涵晓沫809	6095035031	涵晓沫809:且行且珍惜	赞[0]	2020-08-04 07:53:17	来自iPhone客户端
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	思静梵音	6323158364	思静梵音:太可惜了	赞[0]	2020-08-04 07:53:29	来自
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	我爱吃红烧鱼吖	5882929961	我爱吃红烧鱼吖:保重身体	赞[0]	2020-08-04 07:53:28	来自前后2000万 OPPO R11s
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	Lucy宝贝宝贝	7407854138	Lucy宝贝宝贝:先把身体养好了。期待早点归来	赞[0]	2020-08-04 07:53:26	来自nova6SE好看拍出来看
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	叶子和夏天020	6531520939	叶子和夏天020:加油棒棒哒	赞[0]	2020-08-04 07:57:21	来自Android
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	爱吃蜜饯的小丸子	7142837506	爱吃蜜饯的小丸子:冲冲冲	赞[0]	2020-08-04 07:56:24	来自OPPO智能手机
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	天使之路a	7298964317	天使之路a:转发微博	赞[0]	2020-08-04 07:56:05	来自vivo X30专业影像
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	晨曦以西	5155585870	晨曦以西:虽然很遗憾，但是也没办法了，不过你还是棒棒哒	赞[0]	2020-08-04 07:54:05	来自vivo Z5全面实力派
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	云想衣裳花想容0206	7338394378	云想衣裳花想容0206:真心的希望身体健康！	赞[0]	2020-08-04 07:53:52	来自华为畅享10 Plus
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	云想衣裳花想容0206	7338394378	云想衣裳花想容0206:真心的希望身体健康！	赞[0]	2020-08-04 07:53:52	来自华为畅享10 Plus
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	哎呀一两句话说不清楚	5387389399	哎呀一两句话说不清楚:遗憾，，，	赞[0]	2020-08-04 08:56:55	来自nova7你在焦点在
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	Sinyee-Chan	1922820804	Sinyee-Chan:太可惜了吧，我覺得他超有sense的！！	赞[1]	2020-08-04 08:51:46	来自小米5s 拍照黑科技
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	爱七七很OK哦	6856255124	爱七七很OK哦:他的舞台真的超有感觉的，有自己的音乐，有颜有才华，感谢这个夏天听到不一样的夏夜晚风#杨英格退赛#	赞[0]	2020-08-04 08:22:54	来自OPPO R9s Plus
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	镜界之外-	6581398178	镜界之外-:😭 😭 😭	赞[0]	2020-08-04 09:50:09	来自nova5Pro人像超级夜景
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	啤酒饮料矿泉水MU	5503246218	啤酒饮料矿泉水MU:	赞[0]	2020-08-04 09:48:14	来自OPPO R9
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	萝卜爱吃肉a	6272480687	萝卜爱吃肉a:转发微博	赞[0]	2020-08-04 09:46:07	来自nova7你在焦点在
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	NearLiberal	6554759149	NearLiberal:好港好有sense	赞[0]	2020-08-04 09:45:47	来自
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	金珍妮19960116	6436136991	金珍妮19960116:转发微博	赞[0]	2020-08-04 09:29:30	来自nova5Pro人像超级夜景
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	修罗神道地狱之路	6013668414	修罗神道地狱之路:转发微博	赞[0]	2020-08-04 09:23:09	来自Redmi Note 8 Pro四摄
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	eoisK	3290763682	eoisK:55	赞[0]	2020-08-04 11:59:11	来自vivo X20全面屏手机
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	棒棒_要抱抱_	5654573089	棒棒_要抱抱_:我是真的难受希望能在别的舞台看到你们再次聚起来啊	赞[0]	2020-08-04 11:18:28	来自前置双摄vivo X9s
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	给我两根可爱多	6530400589	给我两根可爱多:杨英格居然退赛了？？虽然对他本人无感，但他的音乐风格和气质真的是选秀中的一股清流也独树一帜啊！他退赛那真的。。可惜。。我想问，那李睿洋和泰乐。。又撑不起，那他俩。。？	赞[0]	2020-08-04 11:12:06	来自Android
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	_不去livehouse不改名	5106661885	_不去livehouse不改名:哥哥真的好有感觉啊！！	赞[0]	2020-08-04 10:41:01	来自OPPO Reno
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	Ar-11绿豆	1832349147	Ar-11绿豆:啊？？？？？	赞[0]	2020-08-04 10:27:20	来自明道小妹的iPhone客户端
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	今希何夕_1005	5665059425	今希何夕_1005:照顾好自己的身体	赞[0]	2020-08-04 10:21:26	来自vivo AI智慧拍照X21
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	Anne不朽	2303928854	Anne不朽:转发微博	赞[0]	2020-08-04 10:21:23	来自微博搜索
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	Monicahasason	monicazhe	Monicahasason:啊我好喜欢杨英格	赞[0]	2020-08-04 10:16:14	来自HUAWEI P20
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	sheshouldwakeup	6032045517	sheshouldwakeup:格子哥是真的又帅又浪漫	赞[0]	2020-08-04 09:55:05	来自荣耀 9X
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	sheshouldwakeup	6032045517	sheshouldwakeup:格子哥是真的又帅又浪漫	赞[0]	2020-08-04 09:55:05	来自荣耀 9X
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	盘子是只猫	5811134676	盘子是只猫:转发微博	赞[0]	2020-08-13 15:00:41	来自2019微博极速版
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	小空求事事顺顺顺顺顺	p0sky	小空求事事顺顺顺顺顺:转发微博	赞[0]	2020-08-08 21:00:15	来自iPhone
芒果影娱	:#杨英格回应退赛# 谢谢英格让我们在这个夏天听到看到不一样的“夏夜晚风”。“没关系的，一切以你的意愿为主，身体才是最重要的，你的快乐也是最重要的。” 	2020-08-04 07:50:38    	KAJIAO	1933317210	KAJIAO:啊！舍不得还想听杨英格慵懒地唱歌还想看他走秀一样的上班	赞[0]	2020-08-04 22:01:08	来自iPhone客户端
