用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
偶像日报	6473952993	Jez21z1Ej	#杨蒙恩第一# 身为卑微乙方，我对杨蒙恩@蒙恩是蒙恩啊 脱口秀大会中这段吐槽甲乙方是爷孙关系的段子太有共鸣了！！！而且听他讲完竟然感同身受了哈哈哈哈哈！瑟瑟发抖发出来求我的甲方看不到 ​	2020年08月05日 23:59	675	782	2486	https://weibo.com/6473952993/Jez21z1Ej?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jez21z1Ej?uid=6473952993&rl=1
娱乐视听团	1809805170	Jez0R8cCv	#杨蒙恩第一#哈哈哈哈哈哈过分真实杨蒙恩抓到这两者之间的精髓 ​	2020年08月05日 23:56	115	115	491	https://weibo.com/1809805170/Jez0R8cCv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jez0R8cCv?uid=1809805170&rl=1
我不熬夜不熬不熬	6518994580	Jez0thyPV	#杨蒙恩第一#  再次被自己大局观的眼光折服！ ​	2020年08月05日 23:56			1	https://weibo.com/6518994580/Jez0thyPV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jez0thyPV?uid=6518994580&rl=1
東七DONG	1734712041	Jez08uRz8	#杨蒙恩第一# 虽然淘汰了张博洋，但还是要恭喜杨蒙恩勇夺第一名#脱口秀# L微博综艺的微博视频 ​	2020年08月05日 23:55			2	https://weibo.com/1734712041/Jez08uRz8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jez08uRz8?uid=1734712041&rl=1
知名美少女观众	3054324425	Jez01di6f	#杨蒙恩第一# 杨蒙恩不愧是爆梗王，实至名归！恭喜杨蒙恩！ ​	2020年08月05日 23:54	157	156	1670	https://weibo.com/3054324425/Jez01di6f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jez01di6f?uid=3054324425&rl=1
Soulmate_LH7	5026026252	JeyZYfX0H	#杨蒙恩第一#杨蒙恩就是坠吊的！！ ​	2020年08月05日 23:54		评论		https://weibo.com/5026026252/JeyZYfX0H?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyZYfX0H?uid=5026026252&rl=1
脱口秀大会官微	6329516992	JeyZz90X8	#杨蒙恩第一# #脱口秀大会# 杨蒙恩@蒙恩是蒙恩啊 获得了全部领笑员的四盏灯以及现场观众们的喜爱，勇夺150灯，成为主题赛第一轮的冠军这段表演燃炸全场，不得不说，幽默的灵感总是来源于生活。期待看到他未来更精彩的脱口秀！#脱口秀大会笑场时刻#L炸了炸了，杨蒙恩这段表演点燃全场 ​	2020年08月05日 23:53	29	35	190	https://weibo.com/6329516992/JeyZz90X8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyZz90X8?uid=6329516992&rl=1
李好饿要减肥	6599053991	JeyYUgLEd	为什么笑果不跟北京各种举办开放麦！为什么上海广东那么多！！！北京搞一搞行不行！#杨蒙恩吐槽甲乙方是爷孙关系##杨蒙恩第一##笑果# ​	2020年08月05日 23:52			3	https://weibo.com/6599053991/JeyYUgLEd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyYUgLEd?uid=6599053991&rl=1
大家都要好好生活	5189091105	JeyP9FWch	#杨蒙恩第一#我是天哪！！这两天看脱口秀大会今天才看完前几期，就想着pick杨蒙恩，然后得了第一，哇。遍地是大王，短暂又辉煌和工人子弟真的笑死我了哈哈哈哈 ​	2020年08月05日 23:28		评论		https://weibo.com/5189091105/JeyP9FWch?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyP9FWch?uid=5189091105&rl=1
TTTeresa-TT	3752684665	JeyJAlOAl	#脱口秀大会##张博洋淘汰##杨蒙恩第一# 这期看着可真憋屈好几个破罐子破摔的，虽然梓皓是真的帅我可能太low了吧 看周奇墨的段子完全笑不起来小北开场看着有点不自信 拿出晋级赛那个状态来 票数完全可以更高孟川有点宝藏了  他的口音真的是吼吼吼蒙恩！！给我冲啊！要一直第一 ​  展开全文c	2020年08月05日 23:14		1	8	https://weibo.com/3752684665/JeyJAlOAl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyJAlOAl?uid=3752684665&rl=1
