用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
热门资讯第一线	6367852368	JbWjVoVpD	#法国室内公共场所强制佩戴口罩# 抖个机灵告诉大家个好消息：北京申奥成功啦！  一月份的答案7月才抄上：法国开始強制带口罩，警察巡逻看见没带口罩开始警告了！（CR：空空如也） #地球村抗疫全知道# L热门资讯第一线的微博视频 ​	2020年07月19日 17:46	1	评论		https://weibo.com/6367852368/JbWjVoVpD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbWjVoVpD?uid=6367852368&rl=1
我是小胆喵喵	6178333952	JbWjJ2EXV	#法国室内公共场所强制佩戴口罩#这是醒了吗，赢了就好，总比那些装睡的人强！ ​	2020年07月19日 17:45			1	https://weibo.com/6178333952/JbWjJ2EXV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbWjJ2EXV?uid=6178333952&rl=1
绕着锦鲤池走一圈	7284410140	JbWiCdOkJ	#法国室内公共场所强制佩戴口罩#态度决定一切 ​	2020年07月19日 17:43		评论		https://weibo.com/7284410140/JbWiCdOkJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbWiCdOkJ?uid=7284410140&rl=1
财经新媒体	2660807713	JbWi115Rs	【法国卫生部长：20日起在所有室内公共场所强制佩戴口罩】法国卫生部长韦兰当地时间7月18日表示，将从下周一（7月20日）起在所有室内公共场所强制佩戴口罩，其中主要包括银行、超市、商场等。#法国室内公共场所强制佩戴口罩#此外，他还表示，注意保持人际间距离与加大检测力度仍是与病毒作斗争的最基 ​  展开全文c	2020年07月19日 17:41		评论		https://weibo.com/2660807713/JbWi115Rs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbWi115Rs?uid=2660807713&rl=1
宋中清主任律师	2726417763	JbWhDzMY7	肺炎#新冠肺炎# @月球上的彩虹先生 #法国室内公共场所强制佩戴口罩#这是第一个真正醒悟过来的西方国家！法兰西加油！#法国新型肺炎疫情##欧洲新型肺炎疫情# L月球上的彩虹先生的微博视频 ​	2020年07月19日 17:40		13	3	https://weibo.com/2726417763/JbWhDzMY7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbWhDzMY7?uid=2726417763&rl=1
四川工人日报	1132428807	JbWgs0j38	【法国卫生部长：20日起在所有室内公共场所强制佩戴口罩】法国卫生部长韦兰当地时间7月18日表示，将从下周一（7月20日）起在所有室内公共场所强制佩戴口罩，其中主要包括银行、超市、商场等。#法国室内公共场所强制佩戴口罩#此外，他还表示，注意保持人际间距离与加大检测力度仍是与病毒作斗争的最基 ​  展开全文c	2020年07月19日 17:37			1	https://weibo.com/1132428807/JbWgs0j38?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbWgs0j38?uid=1132428807&rl=1
月球上的彩虹先生	1798000637	JbVT3taxi	#法国室内公共场所强制佩戴口罩#这是第一个真正醒悟过来的西方国家！法兰西加油！！！ L月球上的彩虹先生的微博视频 ​	2020年07月19日 16:40		1		https://weibo.com/1798000637/JbVT3taxi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbVT3taxi?uid=1798000637&rl=1
格式化52756	5847908081	JbVCTuxAA	#健康中国2030#全球新冠单日新增确诊近26万，创新高。美国至少有39州实施不同形式的口罩令，但美国部分民众怀疑口罩鼻梁条是5G天线，会致癌在确诊超369万例的美国，部分人还是怀疑口罩的防护作用#美疾控中心称纽约流行毒诛与中国无关#相对于美国，法国卫生部长宣布7月20号起所有 ​  展开全文c	2020年07月19日 16:00		6	12	https://weibo.com/5847908081/JbVCTuxAA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbVCTuxAA?uid=5847908081&rl=1
裕豪Life	5150777344	JbVz576wQ	#法国室内公共场所强制佩戴口罩#疫情当下个人防护至关重要，特别是人多空气不太流通的室内，如何看待此事？ 如何看待此事？ ​	2020年07月19日 15:50	26	18	1884	https://weibo.com/5150777344/JbVz576wQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbVz576wQ?uid=5150777344&rl=1
龙立新Aaron	1278689470	JbVykCT74	【#法国室内公共场所强制佩戴口罩#】当地时间18日，法国卫生部部长奥利维耶·韦朗表示，法国将从20日起，将在所有室内公共场所强制要求民众佩戴口罩，这些场所主要包括：银行、超市、商场等。（央视频） L第一时间的微博视频 ​	2020年07月19日 15:48			2	https://weibo.com/1278689470/JbVykCT74?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbVykCT74?uid=1278689470&rl=1
