原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	路口有温柔	6816196781	路口有温柔:两个女孩子都是电竞高手啊，根本都没看出来。	赞[0]	2020-09-15 17:04:58	来自iPhone客户端
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	叫我常大侠	6500845644	叫我常大侠:她们玩游戏都比我玩的好，佩服	赞[0]	2020-09-15 17:04:49	来自iPhone客户端
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	疯狂暴走萝莉	7378166796	疯狂暴走萝莉:所以说，如果有人打游戏还喷性别的话，直接打死。	赞[0]	2020-09-15 17:04:48	来自2019微博极速版
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	吃水挖井吃井挖水	7421428843	吃水挖井吃井挖水:女孩子打游戏这么凶猛的还真是第一次见，厉害了	赞[0]	2020-09-15 17:04:43	来自小米6 拍人更美
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	是萌萌啊66	7215337245	是萌萌啊66:感觉美少女们也都是铁憨憨了 好逗 	赞[0]	2020-09-15 17:04:30	来自OPPO R15 梦镜版
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	不哭不闹的小孩纸	7454812370	不哭不闹的小孩纸:没想到这么可爱的女孩子，打起游戏来，完全是两个样子	赞[0]	2020-09-15 17:04:29	来自Redmi 10X 4G版
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	所以是你真的是你	7361105045	所以是你真的是你:果然电子竞技是没有感情的 无论是谁	赞[0]	2020-09-15 17:04:13	来自前后2000万 OPPO R11s
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	爱了奇异果olo	6060355863	爱了奇异果olo:看起来挺文静，一打起游戏这么凶猛，判若两人	赞[0]	2020-09-15 17:05:32	来自小米Note 3 拍人更美
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	纤细的小腿毛	7493917531	纤细的小腿毛:所以，爱会消失的对不对笑死我了呀	赞[0]	2020-09-15 17:05:24	来自iPhone客户端
星乐鱼	:#电子竞技莫得感情##荣耀美少女#美少女们都好虎呀，真没想到看起来这么可爱的女孩子们打起游戏来如此“凶猛”，当真——没有感情的电竞杀手 星扒鹅的微博视频 	2020-09-15 17:01:00    	一个人照样活的精彩要勇敢	5640468627	一个人照样活的精彩要勇敢:女孩子起游戏那可是会吓住男孩子的	赞[0]	2020-09-15 17:05:23	来自iQOO Z1x 5G流畅先锋
