用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
体育台	6002061257	JhFP9ABrA	#NBA季后赛#【穆雷空中转体上篮】太秀！穆雷加速持球突破，杀到篮下无惧戈贝尔防守，骚气空中360度转身上篮漂亮打进！ #穆雷360转体上篮##NBA零距离# LNBA的微博视频 ​​​	2020年08月26日 10:48		2		https://weibo.com/6002061257/JhFP9ABrA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhFP9ABrA?uid=6002061257&rl=1
贤哥论球	5377027745	JhFJ5tdgi	【#穆雷42分#集锦】在今天季后赛关键第五场掘金迎战爵士比赛中，当球队命悬一线，约基奇遭对手限制严防下，穆雷挺身而出接管比赛，第三节单节得到17分，末节关键时刻更是连得9分，杀死比赛帮助掘金逆转锁定胜局，强硬将比分扳成2-3，此役穆雷带伤出战41分钟，26投17中，三分8投4中，得到42分8篮板8助攻 ​  展开全文c	2020年08月26日 10:33			4	https://weibo.com/5377027745/JhFJ5tdgi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhFJ5tdgi?uid=5377027745&rl=1
篮球之声	2358578625	JhFEIt1v4	#穆雷360转体上篮#有一说一，穆雷这个腰被女友练的真不错#穆雷42分##NBA季后赛# ​	2020年08月26日 10:22	2	63	85	https://weibo.com/2358578625/JhFEIt1v4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhFEIt1v4?uid=2358578625&rl=1
凯尔特人记事簿	2804690524	JhFynerdy	#掘金击败爵士#秀啊！穆雷加速持球突破，杀到篮下无惧戈贝尔防守，骚气空中360度转身上篮漂亮打进！ #穆雷360转体上篮# LNBA的微博视频 ​​​	2020年08月26日 10:06		2	12	https://weibo.com/2804690524/JhFynerdy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhFynerdy?uid=2804690524&rl=1
小迷妹的日记	5974283701	JhFiroAAR	#穆雷360转体上篮# 厉害炸了！穆雷加速持球突破，杀到篮下无惧戈贝尔防守，骚气空中360度转身上篮漂亮打进！#NBA季后赛# LNBA的微博视频 ​	2020年08月26日 09:27		2	5	https://weibo.com/5974283701/JhFiroAAR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhFiroAAR?uid=5974283701&rl=1
阿C丶7	3671441245	JhFggni8q	#NBA季后赛#【穆雷致胜9分】连得9分杀死比赛！末节穆雷扛起进攻大旗，率队急起直追将分差一路缩小，火力全开连得9分，帮助掘金117-107战胜爵士拿下比赛，起死回生将总比分追至2-3！#穆雷360转体上篮##穆雷42分# LNBA的微博视频 ​​​	2020年08月26日 09:22	3	1	2	https://weibo.com/3671441245/JhFggni8q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhFggni8q?uid=3671441245&rl=1
围观奥运会	3083675110	JhF5VqPqJ	#top10# 【穆雷空中转体上篮】太秀！穆雷加速持球突破，杀到篮下无惧戈贝尔防守，骚气空中360度转身上篮漂亮打进！ #穆雷360转体上篮#LNBA的微博视频 ​	2020年08月26日 08:56	4	1	14	https://weibo.com/3083675110/JhF5VqPqJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF5VqPqJ?uid=3083675110&rl=1
灌篮HOOP	1719824734	JhF5krmGM	#NBA季后赛##穆雷360转体上篮# 【穆雷空中转体上篮】 今日五佳球预定！！！LNBA的微博视频 ​​​	2020年08月26日 08:55	1		11	https://weibo.com/1719824734/JhF5krmGM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF5krmGM?uid=1719824734&rl=1
CrazyBasketball	5630847689	JhF5fs7Sh	穆雷面对戈贝尔防守，骚气空中360度转身上篮漂亮打进！ #穆雷360转体上篮##NBA吐槽大会# ​	2020年08月26日 08:55	4	2	10	https://weibo.com/5630847689/JhF5fs7Sh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF5fs7Sh?uid=5630847689&rl=1
巍昆Ryan	1860311111	JhF4Uq2oM	#穆雷360转体上篮# 德罗赞：有点东西#爵士vs掘金#巍昆Ryan L巍昆Ryan的微博视频 ​	2020年08月26日 08:54		3	5	https://weibo.com/1860311111/JhF4Uq2oM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF4Uq2oM?uid=1860311111&rl=1
Bruce不姓李	2741018211	JhF3C4Q9i	#穆雷360转体上篮#生死战玩360度转体上篮，穆雷胆子很大#NBA季后赛# LNBA的微博视频 ​ ​​​	2020年08月26日 08:51			2	https://weibo.com/2741018211/JhF3C4Q9i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF3C4Q9i?uid=2741018211&rl=1
微博篮球	2839107347	JhF2Ydxpw	#TOP10# 【穆雷空中转体上篮】太秀！穆雷加速持球突破，杀到篮下无惧戈贝尔防守，骚气空中360度转身上篮漂亮打进！ #穆雷360转体上篮#LNBA的微博视频 ​	2020年08月26日 08:49	11	7	255	https://weibo.com/2839107347/JhF2Ydxpw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF2Ydxpw?uid=2839107347&rl=1
阿C丶7	3671441245	JhF0O15ao	#NBA季后赛#【穆雷空中转体上篮】太秀！穆雷加速持球突破，杀到篮下无惧戈贝尔防守，骚气空中360度转身上篮漂亮打进！ #穆雷360转体上篮##NBA零距离# LNBA的微博视频 ​​​	2020年08月26日 08:44	1	1	1	https://weibo.com/3671441245/JhF0O15ao?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhF0O15ao?uid=3671441245&rl=1
