原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	吕梁政法	6526504927	吕梁政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 09:50:10	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	晋中政法	3272980043	晋中政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[4]	2020-07-09 09:50:06	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	朔州政法	6002188131	朔州政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[1]	2020-07-09 09:08:48	来自360安全浏览器
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	闻喜政法	6889321449	闻喜政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 08:40:08	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	平鲁政法	6573427747	平鲁政法://@朔州政法: #美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 16:37:12	来自360安全浏览器
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	榆次政法	5076179666	榆次政法://@晋中政法: #美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 15:38:31	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	和顺县政法委	hszfw999	和顺县政法委://@晋中政法: #美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 11:36:59	来自360安全浏览器
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	大同政法	6582916739	大同政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 11:17:32	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	运城政法	YCzhengfa	运城政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 11:06:41	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	灵石政法	6550099712	灵石政法://@晋中政法: #美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 10:52:13	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	高平政法	7151645188	高平政法:@高平政法 #美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 10:35:07	来自微博 weibo.com
山西政法	:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】据美国约翰斯·霍普金斯大学统计，7日15时33分至8日16时33分，美国新增确诊病例71987例，新增死亡1228例。截至美东时间8日16时33分，美国累计新冠肺炎确诊病例3035231例，累计死亡 132041例。（央视记者徐德智） (@央视新闻 ) 	2020-07-09 08:25:34    	临汾政法	6894754102	临汾政法:#美国单日新增确诊超7万例#【#美国新冠肺炎超303万例#】	赞[0]	2020-07-09 10:18:51	来自360安全浏览器
