用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
追剧少女呀	5597432449	JdlAXlDHf	#萧亚轩 我的人生有大事要发生#萧亚轩在粉丝群剧透有大事发生，引起粉丝们浮想联翩！这大半夜的发这个，真是让人睡不着啊！！！到底啥事啊！！！八卦的我，止不住内心想知道！！！难道被人盗号了？是被媒体拍到了什么？我 ​  展开全文c	2020年07月28日 23:57		评论		https://weibo.com/5597432449/JdlAXlDHf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlAXlDHf?uid=5597432449&rl=1
HERMES的小窝	1415676655	JdlyuniUR	#萧亚轩 我的人生有大事要发生##萧亚轩 我的人生有大事要发生##萧亚轩男友吐血送医# 有萧亚轩这样的另一半可真好，一直在督促着你进步，不过我想真的有了这种类型的，我可能会一直想偷懒萧亚轩男朋友黄皓感觉是很舒服的类型，之前跟萧亚轩一起上《吐槽大会》“我不能在台上说太久，我怕我下去她 ​  展开全文c	2020年07月28日 23:51	1		8	https://weibo.com/1415676655/JdlyuniUR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlyuniUR?uid=1415676655&rl=1
Carol小七	6377371845	JdlvG323W	#萧亚轩 我的人生有大事要发生#中考。高考。填报志愿就是这几天。必须是人生大事。两个弟弟今年面临升学选择。他们站在此时人生路上小小的岔路口。有自己的想法。权衡了各条分路上的利弊。可能情况。综合自己自身情况。选择适合的喜欢的愿意承担之后发生的一切情况的他们。是那么的勇敢。可爱。有想法 ​  展开全文c	2020年07月28日 23:44			2	https://weibo.com/6377371845/JdlvG323W?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlvG323W?uid=6377371845&rl=1
一条被迫翻滚的咸鱼56	1779684842	JdluTz7a7	#萧亚轩 我的人生有大事要发生# 萧亚轩铁粉表示也糊里糊涂，只希望她能过得好好的，yxh不要过度揣测，（她本身就不太会打中文，所以打字可能会比说出来的意思有偏差，打字表达得不好况且，也不知道是什么有心之人把萧亚轩跟粉丝在群里的日常聊天拿出来也是过分了搞八卦不如顺便听 ​  展开全文c	2020年07月28日 23:42		1	1	https://weibo.com/1779684842/JdluTz7a7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdluTz7a7?uid=1779684842&rl=1
丑鱼尼莫	1145642397	Jdln2xzzc	#萧亚轩 我的人生有大事要发生##萧亚轩##萧亚轩男友吐血送医# 萧亚轩在自己的粉丝群里预告说：我的人生有大事要发生，不是好事，希望你们能了解我的朋友…网友猜测可能是与男友分手。但分手对萧亚轩而言算不上什么大事吧！前不久，萧亚轩男友因吐血送医，引发关注。萧亚轩这瓜究竟是甜瓜还是苦 ​  展开全文c	2020年07月28日 23:22		2	5	https://weibo.com/1145642397/Jdln2xzzc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdln2xzzc?uid=1145642397&rl=1
ETtoday星光雲官方微博	3091626073	JdjsbC0xv	【#邱昊奇# 8年前当#萧亚轩# 伴舞，回顾青涩模样完全没变】O网页链接邱昊奇演出多部偶像剧，以高挑、帅气的外型令许多观众印象深刻，除了当演员、模特儿还兼舞者身分，过去曾担任#王力宏# 和萧亚轩的伴舞。他26日在网路上PO出2012年萧亚轩《放爱情一个假》MV片段，透露有网友传来询问，因 ​  展开全文c	2020年07月28日 18:30			5	https://weibo.com/3091626073/JdjsbC0xv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdjsbC0xv?uid=3091626073&rl=1
影评人杉姐	1814343173	JcJBXqyr6	#萧亚轩# 太厉害，小17岁男友被逼到吐血。网上有句话叫做，没有人能永远年轻，但萧亚轩的男友可以。萧亚轩40岁时宣布与小17岁男友黄皓恋爱，两个人一起拍MV，做直播，赚了很多曝光率。萧亚轩之前有十几个小鲜肉男友。很多人为她担心，怕她老了驾驭不了小鲜肉。但黄皓这件事证明，名女人的小男 ​  展开全文c	2020年07月24日 23:15			3	https://weibo.com/1814343173/JcJBXqyr6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcJBXqyr6?uid=1814343173&rl=1
金曲打捞王	2646563093	Jcoip1G2e	「#萧亚轩#-----《遗失的心跳》」萧亚轩曾经唱过「爱情并不牢靠，我还拼命往里跳」萧亚轩不仅唱跳一流更是一名具有独特嗓音的情歌天后，经典曲目《最熟悉的陌生人》、《错的人》、《类似爱情》等等传唱度极高的情歌数之不尽。《遗失的心跳》一歌，收录于萧亚轩2012的专辑《我爱我》当中，这首歌的 ​  展开全文c	2020年07月22日 16:59	577	403	984	https://weibo.com/2646563093/Jcoip1G2e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcoip1G2e?uid=2646563093&rl=1
偏执的抽风女神	1657432121	Jcih9uwuK	天天说学萧亚轩找狼狗奶狗的，油腻不？不是所有靠着年轻就能称为狼狗奶狗的，睁大眼睛看看萧亚轩的弟弟，名校毕业，富二代，名模身材，混血脸蛋，还努力，这才叫狼狗或者奶狗，别说他25岁了，这种条件，多少岁都能吸引异性，重点的不是年龄是自身条件。一天天的，看着个小年轻就垂涎三尺，看着个姐姐 ​  展开全文c	2020年07月22日 01:39		1	3	https://weibo.com/1657432121/Jcih9uwuK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcih9uwuK?uid=1657432121&rl=1
水冰月cj	7024613269	JchCYeawj	萧亚轩的95后小男友黄皓，最近有台媒报道，他早上起床突然咳嗽吐血，随后被紧急送医。 根据医生诊断结果的说法，吐血是由于压力太大导致 而且病史已经有了一阵子，隔段时间就会发作。 萧亚轩站出来回应，这是自己的错，因为她对男朋友的要求太高了：不仅送他上表演课、舞蹈课、体能课 还安排了 ​  展开全文c	2020年07月22日 00:00		评论		https://weibo.com/7024613269/JchCYeawj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JchCYeawj?uid=7024613269&rl=1
