用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
全是体育	6882292379	Jd73kbDIv	#雷霆24分逆转76人#恩比德缺阵，西蒙斯拿下准三双率领球队一度领先20分以上。然而末节雷霆替补阵容发挥出色，一举实现大逆转。最终雷霆以102-97击败76人收获一场胜利。#NBA全心开启# ​	2020年07月27日 10:55	108	133	341	https://weibo.com/6882292379/Jd73kbDIv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd73kbDIv?uid=6882292379&rl=1
体坛新闻热点	1757491487	Jd72Y4cas	#雷霆24分逆转76人#  罗伯森接连命中两记关键三分，帮助球队反超比分并守住胜势，完成24分大逆转！这三分抬手就有！ L体坛新闻热点的微博视频 ​	2020年07月27日 10:54	123	110	145	https://weibo.com/1757491487/Jd72Y4cas?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd72Y4cas?uid=1757491487&rl=1
体育最世界	2389493505	Jd71prBah	#雷霆24分逆转76人#曾经的蜂王带领的雷霆越来越让人期待，悍将罗伯森复出之后表现出色，嗯期待看到雷霆季后赛的表现 ​	2020年07月27日 10:51			2	https://weibo.com/2389493505/Jd71prBah?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd71prBah?uid=2389493505&rl=1
实况神圣	1687367547	Jd6YT7IIB	罗伯森关键时刻连续命中两记三分率队取胜#雷霆24分逆转76人##nba# [虎扑篮球🏀]L虎扑篮球的微博视频 ​ 2成都·抚琴 ​	2020年07月27日 10:44		3	5	https://weibo.com/1687367547/Jd6YT7IIB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6YT7IIB?uid=1687367547&rl=1
虎子侃球	7150238523	Jd6TqsqH1	不演了？雷霆102-97逆转击败76人，取得两连胜！罗伯森出战15分钟，全场得到6分6篮板1助攻1盖帽，正负值高达+29！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终帮助雷霆完成24分大逆转！#罗伯森关键三分##雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 10:31		评论		https://weibo.com/7150238523/Jd6TqsqH1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6TqsqH1?uid=7150238523&rl=1
博卡青年626	2002341525	Jd6GvFjmK	#雷霆24分逆转76人#NBA热身赛：76人97-102雷霆，亚历山大16+7+5，西蒙斯14+11+9 雷霆24分神逆转北京时间7月27日，NBA热身赛继续展开角逐，雷霆在最多落后24分情况下，借助第三节末段到第四节时刻，疯狂打出45-16攻势完成大逆转，最终雷霆102-97大逆转击败76人取得热身赛2连胜。以下是数据统计：76人 ​  展开全文c	2020年07月27日 09:59		1	2	https://weibo.com/2002341525/Jd6GvFjmK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6GvFjmK?uid=2002341525&rl=1
贤哥论球	5377027745	Jd6C5vIDI	#罗伯森关键三分# 雷霆102-97逆转击败76人，取得两连胜。此役罗伯森出战15分钟，全场3中2（三分球2中2），得到6分6篮板1助攻1盖帽，正负值高达+29，其中6分全部是在最后1分钟所得，也正是这两记三分球率队反超并锁定胜局。#NBA全心开启##雷霆24分逆转76人# LNBA的微博视频 ​	2020年07月27日 09:48			2	https://weibo.com/5377027745/Jd6C5vIDI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6C5vIDI?uid=5377027745&rl=1
谢伊-吉尔杰斯-亚历山大SGA	7289057931	Jd6BFcOP3	这样的球队氛围，谁能不爱💙 恭喜萝卜杀死比赛，雷霆大比分逆转取胜#雷霆24分逆转76人##罗伯森关键三分# L谢伊-吉尔杰斯-亚历山大SGA的微博视频 ​	2020年07月27日 09:47		12	10	https://weibo.com/7289057931/Jd6BFcOP3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6BFcOP3?uid=7289057931&rl=1
谢伊-吉尔杰斯-亚历山大SGA	7289057931	Jd6Avk3Dq	雷霆逆转76人，亚历山大16+7全场集锦#Go shai##雷霆24分逆转76人# L谢伊-吉尔杰斯-亚历山大SGA的微博视频 ​	2020年07月27日 09:44		2	12	https://weibo.com/7289057931/Jd6Avk3Dq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6Avk3Dq?uid=7289057931&rl=1
爱东契奇	7068482271	Jd6wUjOLz	雷霆逆转76人24分，“老逆转”碰上“老被逆转”了，900多天没打球的罗伯森做了一回联防终结者，注意第一个三分投中后大帝的小动作，就像闻到了什么味道 。#罗伯森关键三分# #雷霆24分逆转76人# LNBA的微博视频 ​	2020年07月27日 09:35		2	4	https://weibo.com/7068482271/Jd6wUjOLz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6wUjOLz?uid=7068482271&rl=1
老徐说球	6006841844	Jd6vgjN5f	#雷霆24分逆转76人# #罗伯森关键三分# 北京时间7月27日，NBA热身赛雷霆对阵76人，雷霆在全场一度落后22分的情况下末节打出13比0攻击波，尤其凭借着罗伯森最后一分钟连续两记关键三分，最终以102比97完成逆转战胜了76人。全场比赛雷霆队罗伯森出场15分钟拿到6分6篮板1助攻1盖帽，正负值+29全场最高； ​  展开全文c	2020年07月27日 09:31			2	https://weibo.com/6006841844/Jd6vgjN5f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6vgjN5f?uid=6006841844&rl=1
篮人	5631861909	Jd6uli0ni	#雷霆24分逆转76人#+#罗伯森关键三分#76人97-102雷霆，大帝缺阵，亚历山大16+7+5，西蒙斯准三双，罗伯森关键两记三分！雷霆24分逆转76人！ LNBA的微博视频 ​	2020年07月27日 09:29		2	4	https://weibo.com/5631861909/Jd6uli0ni?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6uli0ni?uid=5631861909&rl=1
篮色S	6446620323	Jd6uevfsN	#罗伯森关键三分#罗伯森在球队落后的情况下挺身而出！接连命中两记关键三分，帮助球队反超比分并守住胜势，最终完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 09:29		评论		https://weibo.com/6446620323/Jd6uevfsN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6uevfsN?uid=6446620323&rl=1
体育绿叶子	2008857751	Jd6rpesOV	#罗伯森关键三分#🔥 罗伯森时隔30个月后满血归来！复出第二场在球队落后的情况下挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终帮助雷霆完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 09:22		评论		https://weibo.com/2008857751/Jd6rpesOV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6rpesOV?uid=2008857751&rl=1
小迷妹的日记	5974283701	Jd6pRclyY	【#罗伯森关键三分#】在球队落后的情况下，罗伯森挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势！#雷霆24分逆转76人# #NBA全心开启# NBALNBA的微博视频 ​	2020年07月27日 09:18			1	https://weibo.com/5974283701/Jd6pRclyY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6pRclyY?uid=5974283701&rl=1
体育最热点	6883405431	Jd6oNEDBV	#罗伯森关键三分#🔥 罗伯森时隔30个月后满血归来！复出第二场在球队落后的情况下挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终帮助雷霆完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 09:16		2	4	https://weibo.com/6883405431/Jd6oNEDBV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6oNEDBV?uid=6883405431&rl=1
体育先锋馆	6878131632	Jd6nOd7bx	官方回顾#罗伯森关键三分#🔥在球队落后的情况下，罗伯森挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 09:13			1	https://weibo.com/6878131632/Jd6nOd7bx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6nOd7bx?uid=6878131632&rl=1
灌篮HOOP	1719824734	Jd6mydBTw	#罗伯森关键三分#🔥雷霆防守大闸罗伯森时隔30个月后满血归来！复出第二场在球队落后的情况下挺身而出！他接连命中两记关键三分（看来瑞秋没上帮忙）帮助球队反超比分并守住胜势，最终帮助雷霆完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 09:10	2	1	10	https://weibo.com/1719824734/Jd6mydBTw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6mydBTw?uid=1719824734&rl=1
体育章鱼哥	3567974090	Jd6lj59qA	不演了？雷霆102-97逆转击败76人，取得两连胜！罗伯森出战15分钟，全场得到6分6篮板1助攻1盖帽，正负值高达+29！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终帮助雷霆完成24分大逆转！#罗伯森关键三分##雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 09:07	5	8	31	https://weibo.com/3567974090/Jd6lj59qA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6lj59qA?uid=3567974090&rl=1
微观篮球	5635855696	Jd6hPj9OB	#罗伯森关键三分#🔥 罗伯森时隔30个月后满血归来！复出第二场在球队落后的情况下挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终帮助雷霆完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 08:58	17	8	28	https://weibo.com/5635855696/Jd6hPj9OB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6hPj9OB?uid=5635855696&rl=1
体育最世界	2389493505	Jd6fM2jL8	#罗伯森关键三分#🔥在球队落后的情况下，罗伯森挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终完成24分大逆转！复出之后的罗伯森真棒啊#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 08:53	1	3	3	https://weibo.com/2389493505/Jd6fM2jL8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6fM2jL8?uid=2389493505&rl=1
相信体育Sports	5816584549	Jd6eY5ZjM	官方回顾#罗伯森关键三分#🔥在球队落后的情况下，罗伯森挺身而出！他接连命中两记关键三分，帮助球队反超比分并守住胜势，最终完成24分大逆转！#雷霆24分逆转76人#LNBA的微博视频 ​​​	2020年07月27日 08:51	16	9	28	https://weibo.com/5816584549/Jd6eY5ZjM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6eY5ZjM?uid=5816584549&rl=1
虎扑篮球	1642292081	Jd6eJwCDW	我回来了，也变强了！罗伯森关键时刻连续命中两记三分率队取胜#上虎扑看篮球新闻##雷霆24分逆转76人##罗伯森关键三分#L虎扑篮球的微博视频 ​	2020年07月27日 08:51	44	127	1606	https://weibo.com/1642292081/Jd6eJwCDW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6eJwCDW?uid=1642292081&rl=1
相信体育Sports	5816584549	Jd6bnxeER	#雷霆24分逆转76人#全场集锦🔥雷霆完成24分大逆转！以102:97击败76人！数据方面：罗伯森拿下6分6板，连中两记关键三分杀死比赛！亚历山大16分7板5助攻，亚当斯11分9板，保罗5分2助攻；76人方面：恩比德因右小腿不适休战，西蒙斯14分11板9助攻，霍福德13分9板，伯克斯13分6板，米尔顿11分4板，哈里 ​  展开全文c	2020年07月27日 08:42	11	8	13	https://weibo.com/5816584549/Jd6bnxeER?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd6bnxeER?uid=5816584549&rl=1
相信体育Sports	5816584549	Jd67bt3Pg	雷霆完成24分大逆转，以102:97战胜76人！数据方面：罗伯森拿下6分6板，连中两记关键三分杀死比赛！亚历山大16分7板5助攻，亚当斯11分9板，保罗5分2助攻；76人方面：恩比德因右小腿不适休战，西蒙斯14分11板9助攻，霍福德13分9板，伯克斯13分6板，米尔顿11分4板，哈里斯9分3板4助攻。#雷霆24分逆转76人# ​  展开全文c	2020年07月27日 08:32	12	9	11	https://weibo.com/5816584549/Jd67bt3Pg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd67bt3Pg?uid=5816584549&rl=1
PointGod_保罗动态	2556393837	Jd667CEJ1	熟悉的配方 三节落后的情况下 最终逆转💥萝卜在关键时刻连续两记三分锁定胜局 准绝杀你炮数据？得分助攻没多少 失误犯规全场最高 脾气最大#ThunderUp##克里斯保罗# #雷霆24分逆转76人# ​	2020年07月27日 08:30	1	15	13	https://weibo.com/2556393837/Jd667CEJ1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd667CEJ1?uid=2556393837&rl=1
NBA	1883881851	Jd5L305fI	#NBA全心开启#【亚历山大16+7大帝缺阵 雷霆热身赛102-97逆转76人】雷霆队亚历山大16分7篮板5助攻2抢断，多尔特13分，亚当斯11分9篮板；76人队恩比德因右小腿不适缺战，西蒙斯14分11篮板9助攻，霍福德13分9篮板，伯克斯替补出场贡献13分6篮板。#雷霆24分逆转76人# O亚历山大16+7大帝缺阵 雷霆热身赛逆转76人 ​	2020年07月27日 07:38	23	19	168	https://weibo.com/1883881851/Jd5L305fI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd5L305fI?uid=1883881851&rl=1
谢伊-吉尔杰斯-亚历山大SGA	7289057931	Jd5J152P9	你shai很荣幸等待来了萝卜成为他的“新”队友💙 #Go shai##雷霆24分逆转76人# ​	2020年07月27日 07:33		4	10	https://weibo.com/7289057931/Jd5J152P9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd5J152P9?uid=7289057931&rl=1
谢伊-吉尔杰斯-亚历山大SGA	7289057931	Jd5Ig63b5	萝卜用实际表现给球迷们最好的回应，我们的等待是值得的#ThunderUp##雷霆24分逆转76人# ​	2020年07月27日 07:31		2	7	https://weibo.com/7289057931/Jd5Ig63b5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd5Ig63b5?uid=7289057931&rl=1
球姐说事	7067495419	Jd5ySem9Z	雷霆vs76人全场集锦🔥雷霆完成24分大逆转!最终以102:97战胜76人可以码住看啦～#雷霆24分逆转76人##雷霆战胜76人# O网页链接 ​​​	2020年07月27日 07:08			2	https://weibo.com/7067495419/Jd5ySem9Z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd5ySem9Z?uid=7067495419&rl=1
体育绿叶子	2008857751	Jd5x1z9ne	雷霆vs76人全场集锦🔥雷霆完成24分大逆转!最终以102:97战胜76人可以码住看啦～#雷霆24分逆转76人##雷霆战胜76人# O网页链接 ​​​	2020年07月27日 07:03			2	https://weibo.com/2008857751/Jd5x1z9ne?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd5x1z9ne?uid=2008857751&rl=1
体育最热点	6883405431	Jd5tu6JPX	雷霆vs76人全场集锦🔥雷霆完成24分大逆转!最终以102:97战胜76人可以码住看啦～#雷霆24分逆转76人##雷霆战胜76人# O网页链接 ​​​	2020年07月27日 06:54			3	https://weibo.com/6883405431/Jd5tu6JPX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd5tu6JPX?uid=6883405431&rl=1
微观篮球	5635855696	Jd4niqYdX	雷霆vs76人全场集锦🔥雷霆完成24分大逆转!最终以102:97战胜76人数据方面：罗伯森拿下6分6板，连中两记关键三分杀死比赛！亚历山大16分7板5助攻，亚当斯11分9板，保罗5分2助攻；76人方面：恩比德因右小腿不适休战，西蒙斯14分11板9助攻，霍福德13分9板，伯克斯13分6板，米尔顿11分4板，哈里斯9 ​  展开全文c	2020年07月27日 04:06	17	9	28	https://weibo.com/5635855696/Jd4niqYdX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd4niqYdX?uid=5635855696&rl=1
