用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
橘喵哒哒	7292707728	Ji8XNxEMk	#00后为76名战友画10米长全家福#天呐能文能武！好厉害 ​	2020年08月29日 12:59			1	https://weibo.com/7292707728/Ji8XNxEMk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8XNxEMk?uid=7292707728&rl=1
她的樱桃派	5290664159	Ji8Xpx8CM	#00后为76名战友画10米长全家福#哇画的太好了！好优秀哦！同样是00后的我真的有点废物了.... 曾可妮 你看看！@曾可妮Jenny-Z ​	2020年08月29日 12:58			9	https://weibo.com/5290664159/Ji8Xpx8CM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8Xpx8CM?uid=5290664159&rl=1
心慌的尊者	6332596374	Ji8WJ4HwB	#00后为76名战友画10米长全家福# 为什么总是战友情是最深的兄弟情？因为大家都是一起流过汗、流过泪的人！这个视频好感人，一人放弃，全班受罚，所以每个人都不愿意放弃！（cr安徽武警）  L心慌的尊者的微博视频 ​	2020年08月29日 12:56			2	https://weibo.com/6332596374/Ji8WJ4HwB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8WJ4HwB?uid=6332596374&rl=1
合肥政法	6437435453	Ji8WFqhCl	【最重要是整整齐齐！#00后为76名战友画10米长全家福#】武警上海总队执勤三支队，张志珈是一名00后大学生士兵。临近退伍季，他用3个月时间，在10米长画纸上为战友们绘制76幅肖像。退伍后，张志珈将到上海某大学就读。“想用画笔记录下战友的青春年华，像全家福一样，非常温馨。”   ​  展开全文c	2020年08月29日 12:56			1	https://weibo.com/6437435453/Ji8WFqhCl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8WFqhCl?uid=6437435453&rl=1
太原铁路	1918830794	Ji8W55IHV	【最重要是整整齐齐！#00后为76名战友画10米长全家福#】武警上海总队执勤三支队，张志珈是一名00后大学生士兵。临近退伍季，他用3个月时间，在10米长画纸上为战友们绘制76幅肖像。退伍后，张志珈将到上海某大学就读。“想用画笔记录下战友的青春年华，像全家福一样，非常温馨。” （人民网）  ​  展开全文c	2020年08月29日 12:55	1		3	https://weibo.com/1918830794/Ji8W55IHV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8W55IHV?uid=1918830794&rl=1
宁波公安	2588125414	Ji8VV3YXN	#119找110，为热心民警和消防员点赞👍#8月28日中午，乐清一路口发生一起交通事故，两车相撞，车辆损毁严重，有人员受伤被困车内。民警章近瑜和同事路过看到后，和一位正好经过的消防员一起，第一时间展开救援，转移受伤群众。 #00后为76名战友画10米长全家福# L乐清公安的微博视频 ​​​	2020年08月29日 12:54	1	1	2	https://weibo.com/2588125414/Ji8VV3YXN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8VV3YXN?uid=2588125414&rl=1
吾爱吐槽	3248050592	Ji8VLEOa3	【最重要是整整齐齐！#00后为76名战友画10米长全家福#】武警上海总队执勤三支队，张志珈是一名00后大学生士兵。临近退伍季，他用3个月时间，在10米长画纸上为战友们绘制76幅肖像。退伍后，张志珈将到上海某大学就读。“想用画笔记录下战友的青春年华，像全家福一样，非常温馨。” L人民网的微博视频 ​	2020年08月29日 12:54		评论		https://weibo.com/3248050592/Ji8VLEOa3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8VLEOa3?uid=3248050592&rl=1
Qing	1154814271	Ji8VLzlty	【最重要是整整齐齐！#00后为76名战友画10米长全家福#】武警上海总队执勤三支队，张志珈是一名00后大学生士兵。临近退伍季，他用3个月时间，在10米长画纸上为战友们绘制76幅肖像。退伍后，张志珈将到上海某大学就读。“想用画笔记录下战友的青春年华，像全家福一样，非常温馨。” L人民网的微博视频 ​	2020年08月29日 12:54		评论		https://weibo.com/1154814271/Ji8VLzlty?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8VLzlty?uid=1154814271&rl=1
头条博客	1231759973	Ji8VLDJ3O	【最重要是整整齐齐！#00后为76名战友画10米长全家福#】武警上海总队执勤三支队，张志珈是一名00后大学生士兵。临近退伍季，他用3个月时间，在10米长画纸上为战友们绘制76幅肖像。退伍后，张志珈将到上海某大学就读。“想用画笔记录下战友的青春年华，像全家福一样，非常温馨。” L人民网的微博视频 ​	2020年08月29日 12:54	4	2	3	https://weibo.com/1231759973/Ji8VLDJ3O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8VLDJ3O?uid=1231759973&rl=1
新浪新闻客户端	2318910945	Ji8VLiRwC	【最重要是整整齐齐！#00后为76名战友画10米长全家福#】武警上海总队执勤三支队，张志珈是一名00后大学生士兵。临近退伍季，他用3个月时间，在10米长画纸上为战友们绘制76幅肖像。退伍后，张志珈将到上海某大学就读。“想用画笔记录下战友的青春年华，像全家福一样，非常温馨。” L人民网的微博视频 ​	2020年08月29日 12:54	23	24	197	https://weibo.com/2318910945/Ji8VLiRwC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8VLiRwC?uid=2318910945&rl=1
