用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
内蒙古日报	3919603060	Jia949Lii	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！ ​  展开全文c	2020年08月29日 15:59	4		1	https://weibo.com/3919603060/Jia949Lii?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia949Lii?uid=3919603060&rl=1
成都青白江	1844275747	Jia92DO56	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！（人 ​  展开全文c	2020年08月29日 15:59	14	4	5	https://weibo.com/1844275747/Jia92DO56?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia92DO56?uid=1844275747&rl=1
扬子晚报	1653603955	Jia8MpTe4	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！  ​  展开全文c	2020年08月29日 15:59	12	1	14	https://weibo.com/1653603955/Jia8MpTe4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia8MpTe4?uid=1653603955&rl=1
桃色狙杀令	6559104752	Jia8GdFVj	#2020年标准地图发布#“中国虽大，但一点都不能少；地图虽小，但一点都不能错” ​	2020年08月29日 15:58		评论		https://weibo.com/6559104752/Jia8GdFVj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia8GdFVj?uid=6559104752&rl=1
望城交警	6321894695	Jia8pmZKn	#2020年标准地图发布#中国虽大，但一点都不能少；地图虽小，但一点都不能错。2020年8月29日是第17个全国测绘法宣传日，【标准地图了解一下】 L燃点时刻MG的微博视频 ​	2020年08月29日 15:58		1	6	https://weibo.com/6321894695/Jia8pmZKn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia8pmZKn?uid=6321894695&rl=1
四川省泸沽湖景区	2865470114	Jia8fwjS0	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！ ​v ​  展开全文c	2020年08月29日 15:57			2	https://weibo.com/2865470114/Jia8fwjS0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia8fwjS0?uid=2865470114&rl=1
安徽日报	3120845115	Jia7Y6sYx	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接  今天，全国测绘法宣传日。一起规范使用地图！ ​  展开全文c	2020年08月29日 15:57			4	https://weibo.com/3120845115/Jia7Y6sYx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia7Y6sYx?uid=3120845115&rl=1
兰州信息科技学院	2547065652	Jia7U3PN6	#技工院微分享# 【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，发布2020年标准地图，中国虽大，但一点都不能少 ​	2020年08月29日 15:56			2	https://weibo.com/2547065652/Jia7U3PN6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia7U3PN6?uid=2547065652&rl=1
puppysensation	7400953302	Jia7E6prV	#2020年标准地图发布#我们国土真是辽阔啊一线一界，都是国家行使主权的疆域一点一段，都代表着祖国的壮美河山有了明确的标准就不会产生那么多争议了国土一分也不能少必须捍卫👊🏻 曾可妮来看看标准地图吧@曾可妮Jenny-Z ​	2020年08月29日 15:56		评论		https://weibo.com/7400953302/Jia7E6prV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia7E6prV?uid=7400953302&rl=1
燃点时刻MG	6249602979	Jia7BqGyr	#2020年标准地图发布#中国虽大，但一点都不能少；地图虽小，但一点都不能错。2020年8月29日是第17个全国测绘法宣传日，【标准地图了解一下】(CR:自然资源部) L燃点时刻MG的微博视频 ​	2020年08月29日 15:56	1		2	https://weibo.com/6249602979/Jia7BqGyr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia7BqGyr?uid=6249602979&rl=1
河北综合广播	1913366611	Jia7xe8B5	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！ ​  展开全文c	2020年08月29日 15:55		评论		https://weibo.com/1913366611/Jia7xe8B5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia7xe8B5?uid=1913366611&rl=1
中国气象科普	3194920592	Jia7qty8G	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接  今天，全国测绘法宣传日。一起规范使用地图！ ​	2020年08月29日 15:55	19	7	40	https://weibo.com/3194920592/Jia7qty8G?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia7qty8G?uid=3194920592&rl=1
界面新闻	5182171545	Jia74gFDa	【一点都不能错，自然资源部发布2020年标准地图】#2020年标准地图发布#8月29日，自然资源部发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。截至目前，该系统共提供了324幅公益性地图供公众下载使用，提供了4幅自助制图底图供公众在线制图。标准地图服务连接： ​  展开全文c	2020年08月29日 15:54	49	29	150	https://weibo.com/5182171545/Jia74gFDa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia74gFDa?uid=5182171545&rl=1
陇南发布	2626472827	Jia6Xfyy0	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！ ​  展开全文c	2020年08月29日 15:54	4	评论		https://weibo.com/2626472827/Jia6Xfyy0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia6Xfyy0?uid=2626472827&rl=1
宁夏政法	6254583261	Jia6R3mhv	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！ ​  展开全文c	2020年08月29日 15:54	1	2	3	https://weibo.com/6254583261/Jia6R3mhv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia6R3mhv?uid=6254583261&rl=1
最爱福州	5364020718	Jia6Hh3Rk	#2020年标准地图发布#中国，不止有九百六十多万平方公里的陆域国土，还有辽阔宽广、一望无际的蓝色国土。一线一界，都是国家行使主权的疆域；一点一段，都代表着祖国的壮美河山。今天（8月29日）是第17个全国测绘法宣传日，我们呼吁：“规范使用地图 一点都不能错！” 这是底线，也是红线。 ​	2020年08月29日 15:53		1	22	https://weibo.com/5364020718/Jia6Hh3Rk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia6Hh3Rk?uid=5364020718&rl=1
38线小可龙日尧	2400475920	Jia6xvQQY	#2020年标准地图发布#  中国一点也不能少 ​	2020年08月29日 15:53		评论		https://weibo.com/2400475920/Jia6xvQQY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia6xvQQY?uid=2400475920&rl=1
陕西文艺	2836994014	Jia6tnHWM	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→O网页链接 今天，全国测绘法宣传日。一起规范使用地图！ ​	2020年08月29日 15:53		评论		https://weibo.com/2836994014/Jia6tnHWM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia6tnHWM?uid=2836994014&rl=1
新浪山东头条	1870549587	Jia6kwSNO	【扩散周知！自然资源部：#2020年标准地图发布#】8月29日，@自然资源部 发布2020年标准地图，标准地图服务系统新上线55幅公益性地图和1幅自助制图底图。中国虽大，但一点都不能少；地图虽小，但一点都不能错。标准地图服务→ 今天，全国测绘法宣传日。一起规范使用地图！ ​	2020年08月29日 15:53		评论		https://weibo.com/1870549587/Jia6kwSNO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jia6kwSNO?uid=1870549587&rl=1
