用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
FM974珠江经济台	1770165364	JjGOtl0oW	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:59			2	https://weibo.com/1770165364/JjGOtl0oW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGOtl0oW?uid=1770165364&rl=1
龙南发布	3912707918	JjGOs93Zz	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:59		评论		https://weibo.com/3912707918/JjGOs93Zz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGOs93Zz?uid=3912707918&rl=1
粉色毛絨絨的玩偶	6916258997	JjGO5lAfZ	#28岁农民工在工地上跳街舞#这是真心热爱跳舞的人，有梦想哪里都是舞台@老百合监督员 盖了这么多楼但是没有一平米是属于他们的O网页链接 ​​​	2020年09月08日 16:59	18	12	16	https://weibo.com/6916258997/JjGO5lAfZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGO5lAfZ?uid=6916258997&rl=1
中青河南	3200353973	JjGO4cWyM	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:58			1	https://weibo.com/3200353973/JjGO4cWyM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGO4cWyM?uid=3200353973&rl=1
文明大兴	2646882747	JjGNqC82c	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:57	2		2	https://weibo.com/2646882747/JjGNqC82c?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGNqC82c?uid=2646882747&rl=1
房天下徐州	6433020724	JjGNf5MY9	#28岁农民工在工地上跳街舞#有梦想，有自己喜欢的事情并且能坚持，很难能可贵。 ​	2020年09月08日 16:56			2	https://weibo.com/6433020724/JjGNf5MY9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGNf5MY9?uid=6433020724&rl=1
你一点点的微笑就会让我勇敢	7312611788	JjGMNxpZZ	#28岁农民工在工地上跳街舞#比汰1跳得好看诶 ​	2020年09月08日 16:55		评论		https://weibo.com/7312611788/JjGMNxpZZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGMNxpZZ?uid=7312611788&rl=1
南宁铁路桂林车务段	2814626914	JjGMHnp2W	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:55	3	1	6	https://weibo.com/2814626914/JjGMHnp2W?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGMHnp2W?uid=2814626914&rl=1
郭靖的小龙女	6737245995	JjGLHAJp6	#28岁农民工在工地上跳街舞#真棒 ​	2020年09月08日 16:53		评论		https://weibo.com/6737245995/JjGLHAJp6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGLHAJp6?uid=6737245995&rl=1
长沙微博城事儿	6074162857	JjGLEp5PO	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:53			1	https://weibo.com/6074162857/JjGLEp5PO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGLEp5PO?uid=6074162857&rl=1
长沙首策	2809654214	JjGLvcf9W	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:52		评论		https://weibo.com/2809654214/JjGLvcf9W?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGLvcf9W?uid=2809654214&rl=1
房天下潍坊	6468313551	JjGLuzwWn	#28岁农民工在工地上跳街舞# 兴趣是最好的老师！你有爱好吗？你的爱好是什么？你为爱好付出了什么？ ​	2020年09月08日 16:52		评论		https://weibo.com/6468313551/JjGLuzwWn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGLuzwWn?uid=6468313551&rl=1
攀枝花东区微青春	3248009852	JjGKChPD0	#28岁农民工在工地上跳街舞#每天练习已坚持8年。L大米Video的微博视频 ​	2020年09月08日 16:50		评论		https://weibo.com/3248009852/JjGKChPD0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGKChPD0?uid=3248009852&rl=1
兰州高新区发布	7337332345	JjGKvsRJ7	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:50		评论		https://weibo.com/7337332345/JjGKvsRJ7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGKvsRJ7?uid=7337332345&rl=1
苏州房天下	1984959551	JjGKadA6p	#28岁农民工在工地上跳街舞#希望每一个人都能把爱好变成工作，如果不能，那也不要放弃爱好因为爱会使一个人发光！ ​	2020年09月08日 16:49			5	https://weibo.com/1984959551/JjGKadA6p?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGKadA6p?uid=1984959551&rl=1
桓台检察	5463935364	JjGK07u3N	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:48	2		1	https://weibo.com/5463935364/JjGK07u3N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGK07u3N?uid=5463935364&rl=1
南京广播电视台	2663751563	JjGJOg2lB	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:48		评论		https://weibo.com/2663751563/JjGJOg2lB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGJOg2lB?uid=2663751563&rl=1
四川魏静	2248834985	JjGIGA9BF	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:45	1		13	https://weibo.com/2248834985/JjGIGA9BF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGIGA9BF?uid=2248834985&rl=1
吖吖时是	7195939576	JjGH76JUf	#28岁农民工在工地上跳街舞#辛苦着，快乐着！工地舞王愿与你舞林一战 L吖吖爆料的微博视频 ​	2020年09月08日 16:41	96	130	2299	https://weibo.com/7195939576/JjGH76JUf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGH76JUf?uid=7195939576&rl=1
中安在线	1943154142	JjGFZ1xNc	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:39			1	https://weibo.com/1943154142/JjGFZ1xNc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGFZ1xNc?uid=1943154142&rl=1
新浪新闻客户端	2318910945	JjGDL2XIb	#28岁农民工在工地上跳街舞#【#28岁农民工在工地跳街舞# 每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网 ​  展开全文c	2020年09月08日 16:33	4	21	155	https://weibo.com/2318910945/JjGDL2XIb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGDL2XIb?uid=2318910945&rl=1
四川手机报	1700582867	JjGCkmRJF	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:30	3	6	37	https://weibo.com/1700582867/JjGCkmRJF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGCkmRJF?uid=1700582867&rl=1
南充之声	3697271680	JjGsbeycJ	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 16:05		评论		https://weibo.com/3697271680/JjGsbeycJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGsbeycJ?uid=3697271680&rl=1
广州日报	1887790981	JjGk43rQJ	【#广东28岁农民工工地跳街舞# 每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢 Poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:45	86	164	1966	https://weibo.com/1887790981/JjGk43rQJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGk43rQJ?uid=1887790981&rl=1
法治承德	1365139517	JjGjw5ErO	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:43			1	https://weibo.com/1365139517/JjGjw5ErO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGjw5ErO?uid=1365139517&rl=1
西北信息报	5872960861	JjGgaFu4Q	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:35		评论		https://weibo.com/5872960861/JjGgaFu4Q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGgaFu4Q?uid=5872960861&rl=1
常德共青团的微博	3880189580	JjGeCBcjY	#小中微推# 【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专 ​  展开全文c	2020年09月08日 15:31	4		5	https://weibo.com/3880189580/JjGeCBcjY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGeCBcjY?uid=3880189580&rl=1
衡水本地通	5132217036	JjGengxit	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:31			1	https://weibo.com/5132217036/JjGengxit?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGengxit?uid=5132217036&rl=1
青春绵阳	1981162863	JjGdCuIPI	【#28岁农民工在工地上跳街舞# ，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:29		评论		https://weibo.com/1981162863/JjGdCuIPI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGdCuIPI?uid=1981162863&rl=1
环球网	1686546714	JjGdeE5wK	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:28	156	366	5535	https://weibo.com/1686546714/JjGdeE5wK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGdeE5wK?uid=1686546714&rl=1
中国大学生在线	1708159150	JjGaUmI7b	#小中微推# 【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专 ​  展开全文c	2020年09月08日 15:22		3	21	https://weibo.com/1708159150/JjGaUmI7b?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjGaUmI7b?uid=1708159150&rl=1
徽州反邪教	5384801243	JjG9C1xT1	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:19		评论		https://weibo.com/5384801243/JjG9C1xT1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjG9C1xT1?uid=5384801243&rl=1
今日女报	1297954675	JjG5c6e0U	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:08		评论		https://weibo.com/1297954675/JjG5c6e0U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjG5c6e0U?uid=1297954675&rl=1
河南交通广播	1732802301	JjG32j3SX	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:03		评论		https://weibo.com/1732802301/JjG32j3SX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjG32j3SX?uid=1732802301&rl=1
人民日报数字传播	2713131601	JjG2O730b	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:02		1	7	https://weibo.com/2713131601/JjG2O730b?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjG2O730b?uid=2713131601&rl=1
半月谈	2318265821	JjG2onlUA	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 15:01	61	95	3194	https://weibo.com/2318265821/JjG2onlUA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjG2onlUA?uid=2318265821&rl=1
大米Video	2481441215	JjFHo8kmG	【#28岁农民工在工地上跳街舞#，每天练习已坚持8年】28岁的钉子是一名工地涂料工，在广东打工多年。因为喜欢跳舞，他边打工边自学舞蹈七八年，每天干活结束就开始练习。钉子说自己最喜欢poppin（震感舞），因为动作漂亮，能忘记干活的劳累变得开心。每次跳舞他都会拍下来发到网上，希望被专业舞者看到 ​  展开全文c	2020年09月08日 14:09	65	167	3352	https://weibo.com/2481441215/JjFHo8kmG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFHo8kmG?uid=2481441215&rl=1
