用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
安徽高院	3908798547	JfegYdkqg	#皖法播报##新疆新增14例本土病例#【#31省区市新增49例确诊#】8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1 ​  展开全文c	2020年08月10日 08:59			1	https://weibo.com/3908798547/JfegYdkqg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfegYdkqg?uid=3908798547&rl=1
张超微博	6585245516	JfegdekLK	网友做核酸检测时看到的， 乌鲁木齐医护人员裤脚管都是汗水，边走边往下滴，辛苦啦，白衣天使。向你们致敬！ #新疆新增14例本土病例#  ​#31省区市新增49例确诊# 2乌鲁木齐 L张超微博的微博视频 ​	2020年08月10日 08:57	27	28	134	https://weibo.com/6585245516/JfegdekLK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfegdekLK?uid=6585245516&rl=1
中国路网	3267315877	Jfeg89D9E	#中国路网##人间值得##新疆新增14例本土病例#【#31省区市新增49例确诊#】8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新 ​  展开全文c	2020年08月10日 08:57			2	https://weibo.com/3267315877/Jfeg89D9E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfeg89D9E?uid=3267315877&rl=1
红师教育范进忠	3303100353	JfefM2cVZ	#31省区市新增49例确诊#希望早日清零 ​	2020年08月10日 08:56			2	https://weibo.com/3303100353/JfefM2cVZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfefM2cVZ?uid=3303100353&rl=1
中新浙里	3205295640	JfefyDDzS	#新疆新增14例本土病例#【#31省区市新增49例确诊#】8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外 ​  展开全文c	2020年08月10日 08:55		评论		https://weibo.com/3205295640/JfefyDDzS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfefyDDzS?uid=3205295640&rl=1
随县检察	5154690841	Jfefj2sV0	#新疆新增14例本土病例#【#31省区市新增49例确诊#】8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外 ​  展开全文c	2020年08月10日 08:55		7		https://weibo.com/5154690841/Jfefj2sV0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfefj2sV0?uid=5154690841&rl=1
街舞大象	7300240750	Jfef84ge7	【#全球抗疫第一线# 一觉醒来发生了啥？】1、昨日，#31省区市新增49例确诊#，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。2、根据世卫组织最新实时统计数据， ​  展开全文c	2020年08月10日 08:54			4	https://weibo.com/7300240750/Jfef84ge7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfef84ge7?uid=7300240750&rl=1
平安天津滨海	5332219646	Jfef3Dcdi	#新疆新增14例本土病例#【#31省区市新增49例确诊#】8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外 ​  展开全文c	2020年08月10日 08:54		评论		https://weibo.com/5332219646/Jfef3Dcdi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfef3Dcdi?uid=5332219646&rl=1
生活晨报	1691007117	JfeeI8sZn	#31省区市新增49例确诊##新疆新增14例本土病例#【#新疆尚有16947人接受医学观察#】8月9日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例14例，新增无症状感染者7例，均在乌鲁木齐市；新增治愈出院确诊病例47例，无症状感染者解除医学观察7例，均在乌鲁木齐市；重症转普通 ​  展开全文c	2020年08月10日 08:53	1		1	https://weibo.com/1691007117/JfeeI8sZn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfeeI8sZn?uid=1691007117&rl=1
新京报健康周刊	1746163211	JfeecbqSR	【#31省区市新增49例确诊#】8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。  ​  展开全文c	2020年08月10日 08:52		评论		https://weibo.com/1746163211/JfeecbqSR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfeecbqSR?uid=1746163211&rl=1
