用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
太原铁路	1918830794	JgKWtALZx	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:59	1	评论		https://weibo.com/1918830794/JgKWtALZx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKWtALZx?uid=1918830794&rl=1
西北信息报	5872960861	JgKWtgYlD	【搞什么？！#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已 ​  展开全文c	2020年08月20日 09:59		评论		https://weibo.com/5872960861/JgKWtgYlD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKWtgYlD?uid=5872960861&rl=1
印象襄阳	1908218490	JgKWqDuXH	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:59		评论		https://weibo.com/1908218490/JgKWqDuXH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKWqDuXH?uid=1908218490&rl=1
冬眠1123	1831652710	JgKWo0dym	#42人台风天蒙眼行走悬崖边拒撤离#        真是无知者无畏！ ​	2020年08月20日 09:59		评论		https://weibo.com/1831652710/JgKWo0dym?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKWo0dym?uid=1831652710&rl=1
草儿与猫	1913907001	JgKWjfjIb	#42人台风天蒙眼行走悬崖边拒撤离#自己想死就算了 别害人 ​	2020年08月20日 09:59		评论		https://weibo.com/1913907001/JgKWjfjIb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKWjfjIb?uid=1913907001&rl=1
君可闻曲琵琶语	2514745371	JgKW9vdQG	#42人台风天蒙眼行走悬崖边拒撤离#这怎么看也不像是正经的员工培训啊，太吓人了这要掉下去怎么办？咱不能出力也别给消防战士添乱行吗 ​	2020年08月20日 09:58			1	https://weibo.com/2514745371/JgKW9vdQG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKW9vdQG?uid=2514745371&rl=1
为为现现	2548613147	JgKVPk9Fc	#42人台风天蒙眼行走悬崖边拒撤离#自己作死就好了，不要麻烦消防官兵浪费国家资源，出事了还要去救你！ ​	2020年08月20日 09:58		评论		https://weibo.com/2548613147/JgKVPk9Fc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKVPk9Fc?uid=2548613147&rl=1
夫天妈妈	6084500731	JgKVNigrR	#42人台风天蒙眼行走悬崖边拒撤离#看了真是气呀，这么大的台风出来做什么？！还给消防员添麻烦，真是无语。。。 ​	2020年08月20日 09:58			4	https://weibo.com/6084500731/JgKVNigrR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKVNigrR?uid=6084500731&rl=1
新浪常州	5155939787	JgKVgt7kf	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:56		评论		https://weibo.com/5155939787/JgKVgt7kf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKVgt7kf?uid=5155939787&rl=1
为为现现	2548613147	JgKUSvTqO	#42人台风天蒙眼行走悬崖边拒撤离#这是中邪了吧？有这样培训员工的？ ​	2020年08月20日 09:55			1	https://weibo.com/2548613147/JgKUSvTqO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUSvTqO?uid=2548613147&rl=1
知河北	6364517545	JgKUQrOTU	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:55		评论		https://weibo.com/6364517545/JgKUQrOTU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUQrOTU?uid=6364517545&rl=1
江门消防	2290748247	JgKUQeC71	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:55	1	1	2	https://weibo.com/2290748247/JgKUQeC71?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUQeC71?uid=2290748247&rl=1
春风一笑万山横	1813197593	JgKUNuvoQ	#42人台风天蒙眼行走悬崖边拒撤离#什么公司？邪教吧！浪费警力 ​	2020年08月20日 09:55		评论		https://weibo.com/1813197593/JgKUNuvoQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUNuvoQ?uid=1813197593&rl=1
安徽交通广播	1097019341	JgKUHjmJq	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:55	1		1	https://weibo.com/1097019341/JgKUHjmJq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUHjmJq?uid=1097019341&rl=1
金融投资报	1878561790	JgKUwDQJF	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:54		评论		https://weibo.com/1878561790/JgKUwDQJF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUwDQJF?uid=1878561790&rl=1
vevey好吗	2190397433	JgKUnuiER	#42人台风天蒙眼行走悬崖边拒撤离# 这是什么操作，拿生命在开玩笑吧！这公司也太不责任了，什么天气啊，什么地方，这样给员工培训。出了事情公司付的了责任吗 ​	2020年08月20日 09:54			4	https://weibo.com/2190397433/JgKUnuiER?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUnuiER?uid=2190397433&rl=1
青海网	5209132096	JgKUkfpBu	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:54		评论		https://weibo.com/5209132096/JgKUkfpBu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUkfpBu?uid=5209132096&rl=1
宁夏政法	6254583261	JgKUk16Cw	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:54		评论		https://weibo.com/6254583261/JgKUk16Cw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUk16Cw?uid=6254583261&rl=1
丹小懒_8685	1761101740	JgKUepaEp	#42人台风天蒙眼行走悬崖边拒撤离#有病吧 别拖累消防员啊 ​	2020年08月20日 09:54			1	https://weibo.com/1761101740/JgKUepaEp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUepaEp?uid=1761101740&rl=1
搜狐新闻客户端	2083844833	JgKUdtHWF	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判是安全 ​  展开全文c	2020年08月20日 09:54	1	16	14	https://weibo.com/2083844833/JgKUdtHWF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKUdtHWF?uid=2083844833&rl=1
1224承诺	3780269687	JgKTE5HAA	#42人台风天蒙眼行走悬崖边拒撤离#下次再去搜救让给钱 ​	2020年08月20日 09:52		评论		https://weibo.com/3780269687/JgKTE5HAA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKTE5HAA?uid=3780269687&rl=1
妞妞爱居居	5581628354	JgKTxdsrP	#42人台风天蒙眼行走悬崖边拒撤离#no  zuo  no  die ​	2020年08月20日 09:52		评论		https://weibo.com/5581628354/JgKTxdsrP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKTxdsrP?uid=5581628354&rl=1
AI财经社	2389641745	JgKTo3TKy	【#42人台风天蒙眼行走悬崖边拒撤离# 消防：想尽办法把他们拉下来】近日，广东南澳，消防队接到报警称，海岸线上有人顶着台风搞穿越。消防翻了几个山头才找到他们，却发现这40多人在台风中戴着眼罩一声不吭，旁边是200多米深的悬崖。消防员劝说团队撤离，领队自称是深圳登山运动协会会员，已研判 ​  展开全文c	2020年08月20日 09:52	3	3	3	https://weibo.com/2389641745/JgKTo3TKy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgKTo3TKy?uid=2389641745&rl=1
