用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
合肥在线	1732739184	JgX7oE2bd	【#50名内地核酸检测支援队员今天赴港#】21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排，再派 ​  展开全文c	2020年08月21日 16:59		评论		https://weibo.com/1732739184/JgX7oE2bd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7oE2bd?uid=1732739184&rl=1
来点石锤	7283364547	JgX73D36b	注意安全 ，你们要平安归来，加油！希望不要再出现内地核酸检测先遣队成员竟遭到无端骚扰的现象了来源:经济日报观点#50名内地核酸检测支援队员今天赴港# L贺奇的微博视频 ​	2020年08月21日 16:58	1	8	30	https://weibo.com/7283364547/JgX73D36b?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX73D36b?uid=7283364547&rl=1
广西反邪教	5885640466	JgX6SEO5B	【#50名内地核酸检测支援队员今天赴港#】8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排， ​  展开全文c	2020年08月21日 16:58	5	4	4	https://weibo.com/5885640466/JgX6SEO5B?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX6SEO5B?uid=5885640466&rl=1
贵阳晚报官方微博	1905912064	JgX6N8Bii	【#50名内地核酸检测支援队员今天赴港#】8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排， ​  展开全文c	2020年08月21日 16:58		评论		https://weibo.com/1905912064/JgX6N8Bii?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX6N8Bii?uid=1905912064&rl=1
兰州高新区发布	7337332345	JgX6N6q66	【#50名内地核酸检测支援队员今天赴港#】8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排， ​  展开全文c	2020年08月21日 16:58		评论		https://weibo.com/7337332345/JgX6N6q66?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX6N6q66?uid=7337332345&rl=1
六盘水市检察院	3920964508	JgX6xEU2m	【#50名内地核酸检测支援队员今天赴港#】8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排， ​  展开全文c	2020年08月21日 16:57			1	https://weibo.com/3920964508/JgX6xEU2m?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX6xEU2m?uid=3920964508&rl=1
福建台新闻频道	2718644634	JgX63wzEx	【#50名内地核酸检测支援队员今天赴港#】8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排， ​  展开全文c	2020年08月21日 16:56			1	https://weibo.com/2718644634/JgX63wzEx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX63wzEx?uid=2718644634&rl=1
看度新闻	1879476167	JgX5Y0mzS	【#50名内地核酸检测支援队员今天赴港#】8月21日，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。 ​	2020年08月21日 16:56			3	https://weibo.com/1879476167/JgX5Y0mzS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX5Y0mzS?uid=1879476167&rl=1
徽州反邪教	5384801243	JgX5WunKR	【#50名内地核酸检测支援队员今天赴港#】8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排， ​  展开全文c	2020年08月21日 16:56		评论		https://weibo.com/5384801243/JgX5WunKR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX5WunKR?uid=5384801243&rl=1
成都市青羊区文翁社区	5686070912	JgX5NiDQF	#50名内地核酸检测支援队员今天赴港# 8月21日中午，广东50名核酸检测人员在广州集结完毕后，奔赴香港。支援队伍将在香港相关机构的配合下，帮助香港进行更多、更广泛地核酸检测。内地核酸检测支援队前期先遣队10人已于8月初赶赴香港，剩下的这50名队员也在21日出征。接下来广东还会根据中央的安排，再 ​  展开全文c	2020年08月21日 16:55		评论		https://weibo.com/5686070912/JgX5NiDQF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX5NiDQF?uid=5686070912&rl=1
