原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	咕拉呼噜	5312818752	咕拉呼噜:🚔	赞[0]	2020-07-17 12:30:20	来自iPhone客户端
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	她和她的Jane	5928959403	她和她的Jane:转发微博	赞[0]	2020-07-17 12:29:00	来自HUAWEI Mate 10 Pro
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	星河缀落影	5583732336	星河缀落影:转发微博	赞[0]	2020-07-17 12:22:20	来自Android
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	霓虹灯下的骚年	2668181783	霓虹灯下的骚年:转发微博	赞[0]	2020-07-17 11:53:12	来自微博搜索
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	奕胖妞	5936790909	奕胖妞:转发微博	赞[0]	2020-07-17 09:06:58	来自iPhone客户端
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	金融科普战士	2394514663	金融科普战士:恒大恒大，汕头恒大金碧外滩湾，一样的精装房质量问题！@人民网 @新华网 @央视财经 @中国新闻网 @中国新闻网 @央视新闻 	赞[0]	2020-07-19 23:19:58	来自HUAWEI Mate 8
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	Eagle海涛	5245525725	Eagle海涛:转发微博	赞[0]	2020-07-19 03:01:23	来自iPhone客户端
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	真实照耀	1013369641	真实照耀:转发微博	赞[0]	2020-07-18 08:20:26	来自iPhone客户端
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	我是云州客	6614663681	我是云州客:郁亮时代的万科已经不再是万科了	赞[0]	2020-07-18 01:17:22	来自HUAWEI P30 Pro
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	理想型奋斗	7390902341	理想型奋斗:转发微博	赞[0]	2020-07-18 00:39:46	来自荣耀畅玩8
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	小天使AngelaK	5659026008	小天使AngelaK:我天呐!国内的房地产市场乱象绝了!政府和开发商玩的一手好心理预期忽悠学 地方政府推波助澜 只专注把房价搞上去 什么破房子都是一个字 涨 然后就是 买 烂透了!只是苦了占大多数的普通刚需工薪阶层成为一辈子房奴 然后10年的老旧程度胜过国外200年的房子 又可以割一轮 大多城市越调控越涨是咋回事	赞[0]	2020-07-17 16:13:37	来自OPPO智能手机
老板联播	:#万科致歉#【#万科回应精装房漏水#：去年已整改完毕】#万科精装房漏水#针对央视3·15晚会报道万科广州尚城项目出现工程质量问题，万科7月16日发书面声明表示，诚恳接受舆论监督和批评，截至2019年6月30日，该问题已经整改完毕。声明全文如下：今日，央视3·15晚会报道我司广州尚城项目出现工程质量问题，对此我们诚恳接受舆论监督和批评。该项目于2018年11月开始交付，部分房屋出现渗漏引发客户投诉。针对上述问题，公司高度重视，调集技术力量成立专项小组，开展整改与维修。截至2019年6月30日，该问题已经整改完毕。对于因产品质量给客户带来的困扰与麻烦，我们深表歉意，公司将本着负责任的态度，持续重视和妥善解决产品质量与服务问题。再次感谢媒体和公众的监督与批评！（e公司）央视财经的酷燃视频	2020-07-17 00:06:44    	O一丨	grailpisces	O一丨:做大做强做不长！粗硬不久。成于谦，败于骄	赞[0]	2020-07-17 16:03:18	来自Android
