用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
房天下昆明特价房	2708244302	Jdi4UFlcL	【上半年GDP十强城市基本落定：重庆超越广州 南京首次入榜】#上半年gdp十强城市# 近期，各大城市陆续发布了上半年经济数据，GDP十强城市座次基本落定，且变化较大：重庆超越广州晋升到第四位，南京首次挤进十强。同时，成都与苏州的差距在缩小，意味着其所代表的中西部内陆城市和成渝地区双城经济圈的 ​  展开全文c	2020年07月28日 14:59		评论		https://weibo.com/2708244302/Jdi4UFlcL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi4UFlcL?uid=2708244302&rl=1
甜的白开水sweetie	6620193648	Jdi4Shv0I	#上半年GDP十强城市#这是重庆苏州买的热搜吧 ​	2020年07月28日 14:59		评论		https://weibo.com/6620193648/Jdi4Shv0I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi4Shv0I?uid=6620193648&rl=1
房天下	2603857891	Jdi4R5wV7	【#上半年GDP十强城市#基本落定：重庆超越广州，南京首次入榜】疫情之下，2020年成为了一个大变局时代，中国城市竞争格局也在随之发生变化。近期，各大城市陆续发布了上半年经济数据，GDP十强城市座次基本落定，且变化较大：重庆超越广州晋升到第四位，南京首次挤进十强。同时，成都与苏州的差距在缩小 ​  展开全文c	2020年07月28日 14:59			1	https://weibo.com/2603857891/Jdi4R5wV7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi4R5wV7?uid=2603857891&rl=1
长沙房天下	2610256503	Jdi4Nhb2E	【#上半年GDP十强城市#基本落定：重庆超越广州，南京首次入榜】疫情之下，2020年成为了一个大变局时代，中国城市竞争格局也在随之发生变化。近期，各大城市陆续发布了上半年经济数据，GDP十强城市座次基本落定，且变化较大：重庆超越广州晋升到第四位，南京首次挤进十强。同时，成都与苏州的差距在缩 ​  展开全文c	2020年07月28日 14:59		评论		https://weibo.com/2610256503/Jdi4Nhb2E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi4Nhb2E?uid=2610256503&rl=1
_风间葵_	5441930233	Jdi4MnWkW	#上半年GDP十强城市#所以看半天也没看到是哪十所城市 ​	2020年07月28日 14:59		21	64	https://weibo.com/5441930233/Jdi4MnWkW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi4MnWkW?uid=5441930233&rl=1
全景网	1752549400	Jdi4tcI4r	【#上半年GDP十强城市#基本落定：重庆超越广州，南京首次入榜】疫情之下，2020年成为了一个大变局时代，中国城市竞争格局也在随之发生变化。近期，各大城市陆续发布了上半年经济数据，GDP十强城市座次基本落定，且变化较大：重庆超越广州晋升到第四位，南京首次挤进十强。同时，成都与苏州的差距在缩小 ​  展开全文c	2020年07月28日 14:58	3	2	4	https://weibo.com/1752549400/Jdi4tcI4r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi4tcI4r?uid=1752549400&rl=1
贵族乞丐	1153588720	Jdi3Auqr1	#上半年GDP十强城市# 疫情之下，2020年成为了一个大变局时代，中国城市竞争格局也在随之发生变化。近期，GDP十强城市座次基本落定。O上半年GDP十强城市基本落定：重庆超越广州，南京首次入榜（凤凰网） ​	2020年07月28日 14:56	3	8	28	https://weibo.com/1153588720/Jdi3Auqr1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi3Auqr1?uid=1153588720&rl=1
房天下装修	1863919652	Jdi3AcOf6	#上半年GDP十强城市# 看看你所在的城市上榜了吗？近期，各大城市陆续发布了上半年经济数据，GDP十强城市座次基本落定，且变化较大：重庆超越广州晋升到第四位，南京首次挤进十强。 ​	2020年07月28日 14:56		3		https://weibo.com/1863919652/Jdi3AcOf6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi3AcOf6?uid=1863919652&rl=1
飞哥聊餐饮	1952571611	Jdi38p3fr	#上半年GDP十强城市#忽忽悠悠20年，美丽的数据 ​	2020年07月28日 14:55		1	4	https://weibo.com/1952571611/Jdi38p3fr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi38p3fr?uid=1952571611&rl=1
汕头房天下	2418982662	Jdi33mz8r	【#上半年GDP十强城市#基本落定：重庆超越广州，南京首次入榜】疫情之下，2020年成为了一个大变局时代，中国城市竞争格局也在随之发生变化。近期，各大城市陆续发布了上半年经济数据，GDP十强城市座次基本落定，且变化较大：重庆超越广州晋升到第四位，南京首次挤进十强。同时，成都与苏州的差距在缩小 ​  展开全文c	2020年07月28日 14:55		评论		https://weibo.com/2418982662/Jdi33mz8r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdi33mz8r?uid=2418982662&rl=1
