用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
飞过爱情海_	1678955734	JeFHXo80o	#为了集赞有多拼# 提到这个，我突然想起来一件事我之前工作的某家公司的领导有次让大家转发朋友圈，并且截图发群里，我设置的同事分组可见，但这种设置部分人可见的朋友圈发完，在“删除”那里是俩小人，于是我把俩小人P掉了，并且把“删除”P到了那个位置上（普通正常朋友圈状态），然后发到了 ​  展开全文c	2020年08月06日 16:59	1	4	1	https://weibo.com/1678955734/JeFHXo80o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHXo80o?uid=1678955734&rl=1
抚州发布	3248241212	JeFHX6wB7	#为了集赞有多拼#你为什么事情集过赞呢？ 你为什么事情集过赞呢？ ​	2020年08月06日 16:59	5	1	464	https://weibo.com/3248241212/JeFHX6wB7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHX6wB7?uid=3248241212&rl=1
榆林交警	3535471532	JeFHU86i1	#新同学你好#【超好看 #清华大学2020本科录取通知书#】30多件纸艺部件、上百个拼插结构……今天，@清华大学 2020级本科录取通知书发放正式启动！打开录取通知书，激光雕刻的立体清华二校门来“迎新”~网友：又到了一年一度的羡慕时间 #准大学生你好# ​​​#为了集赞有多拼# ​	2020年08月06日 16:59	3	6	7	https://weibo.com/3535471532/JeFHU86i1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHU86i1?uid=3535471532&rl=1
美美的黑眼圈	7297974535	JeFHCBrUj	#为了集赞有多拼#这个太简直了阿。神操作阿哈哈哈哈真厉害 ​	2020年08月06日 16:58		评论		https://weibo.com/7297974535/JeFHCBrUj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHCBrUj?uid=7297974535&rl=1
这该死的逆反心理	7414770981	JeFHBcgTS	#为了集赞有多拼#有意思 ​	2020年08月06日 16:58		评论		https://weibo.com/7414770981/JeFHBcgTS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHBcgTS?uid=7414770981&rl=1
光辉伟大嘟嘟	7244249035	JeFHltbuM	#为了集赞有多拼#超级拼的好吗！做聊天记录的时候，找几个特别好的小姐妹，换头像，改性别，改昵称，共享表情包，掐好时间点，规划好聊天内容，做好心理建设，ok，一出好戏即将上演，哈哈哈哈哈！ ​​​	2020年08月06日 16:58		评论		https://weibo.com/7244249035/JeFHltbuM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHltbuM?uid=7244249035&rl=1
MELISSA·PURE	5509315679	JeFHkik3X	#为了集赞有多拼#学会了 ​	2020年08月06日 16:58		评论		https://weibo.com/5509315679/JeFHkik3X?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFHkik3X?uid=5509315679&rl=1
我的会员已下线	6334188267	JeFH0xG72	#为了集赞有多拼#哈哈哈哈哈哈哈哈哈哈哈🐂 ​	2020年08月06日 16:57		评论		https://weibo.com/6334188267/JeFH0xG72?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFH0xG72?uid=6334188267&rl=1
思欣大大吖	2932973481	JeFGXkXxq	#为了集赞有多拼#千想万想都没想到还能有这招，总算明白了，下回打折集赞，我就就可以派上用场了，觉得还蛮不错的哈哈哈 ​	2020年08月06日 16:57			2	https://weibo.com/2932973481/JeFGXkXxq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFGXkXxq?uid=2932973481&rl=1
冰糖cp的忠实粉丝	7435888210	JeFGKBmiu	#为了集赞有多拼# 可以像下图一样把名字给改成了这样，我学到了！！！ ​	2020年08月06日 16:56		评论		https://weibo.com/7435888210/JeFGKBmiu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFGKBmiu?uid=7435888210&rl=1
上海校园	1996630484	JeFGIdtC8	#为了集赞有多拼#一,个,人,就,是,一,支,军,队！你，学，到，了，吗 ​	2020年08月06日 16:56	1		1	https://weibo.com/1996630484/JeFGIdtC8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFGIdtC8?uid=1996630484&rl=1
平安洛阳	2043228245	JeFGIcnYD	#为了集赞有多拼# 你在朋友圈集过赞吗？有经常在朋友圈集赞吗？来看看有多少人和你一样哇  你在朋友圈集过赞吗？ ​	2020年08月06日 16:56	5		232	https://weibo.com/2043228245/JeFGIcnYD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFGIcnYD?uid=2043228245&rl=1
一颗很野的话梅糖勒	5259508644	JeFGigBuk	#为了集赞有多拼#xuo到了谢谢哈哈哈哈哈哈哈哈 ​	2020年08月06日 16:55		评论		https://weibo.com/5259508644/JeFGigBuk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFGigBuk?uid=5259508644&rl=1
·云间恋迪·	7399068008	JeFG7zXyG	#为了集赞有多拼#都是人才啊绝了，今天我是学到老 ​	2020年08月06日 16:55		评论		https://weibo.com/7399068008/JeFG7zXyG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFG7zXyG?uid=7399068008&rl=1
猪刚鬣劝你不要不识好歹	6584758380	JeFG40afb	#为了集赞有多拼#哈哈哈哈学到了@TF家族-朱志鑫 你看看 ​	2020年08月06日 16:54			2	https://weibo.com/6584758380/JeFG40afb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFG40afb?uid=6584758380&rl=1
眉冬哈咯	7322765940	JeFFSuFNN	其实我都不喜欢集赞，除了有什么活动#为了集赞有多拼# ​	2020年08月06日 16:54		评论		https://weibo.com/7322765940/JeFFSuFNN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFFSuFNN?uid=7322765940&rl=1
最贵阳	5050893599	JeFFmjmNx	#为了集赞有多拼#你有在朋友圈集赞吗？ 你有在朋友圈集赞吗？ ​	2020年08月06日 16:53			104	https://weibo.com/5050893599/JeFFmjmNx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFFmjmNx?uid=5050893599&rl=1
