用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
百万庄通讯社官微	5654253203	JkyCQogOl	【 #云南新增2例缅甸输入确诊# 】9月13日0时至24时，云南省无新增本地确诊病例和无症状感染者，新增境外输入确诊病例2例（均为缅甸籍、缅甸输入），其中1例为9月12日无症状感染者转确诊；境外输入确诊病例治愈出院1例，境外输入无症状感染者解除隔离医学观察1例。 截至9月13日24时，云南省现有境外输 ​  展开全文c	2020年09月14日 09:59		评论		https://weibo.com/5654253203/JkyCQogOl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyCQogOl?uid=5654253203&rl=1
蒙蒙菩提	6336516281	JkyCBBGEe	#云南新增2例缅甸输入确诊#希望疫情早日过去 ​	2020年09月14日 09:59		1	1	https://weibo.com/6336516281/JkyCBBGEe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyCBBGEe?uid=6336516281&rl=1
HEIHEIG	3318704034	JkyBtyHyx	#云南新增2例缅甸输入确诊#之前早上说的是一例无症状感染者的境外输入病例报告，现在又多了两个缅甸的境外输入确诊病例报告…… ​	2020年09月14日 09:56			1	https://weibo.com/3318704034/JkyBtyHyx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyBtyHyx?uid=3318704034&rl=1
于晓攀	5883600795	JkyBfpYDI	绿水青山在亚东#新时代边疆行西藏篇# 带着对你绿色发展、生态优先的追逐，一路风尘。走近你，在绿色为底的山川里，一切困顿尽消，高原反应全无……在绿色青山间，你还是民族团结、拥军爱民的典范，切实我还想说，你还是英雄的亚东，为祖国守着脚下的土地 #云南新增2例缅甸输入确诊#一定 ​  展开全文c	2020年09月14日 09:55	27	35	63	https://weibo.com/5883600795/JkyBfpYDI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyBfpYDI?uid=5883600795&rl=1
电気白嵐	3631756413	JkyACkcKY	#云南新增2例缅甸输入确诊#一天三次定位签到打卡不能随意外出去玩 本来以为情况好转马上就解封了 又冒出来两个缅甸输入服了 这样下去国庆我还能不能回家啊 ​	2020年09月14日 09:54			1	https://weibo.com/3631756413/JkyACkcKY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyACkcKY?uid=3631756413&rl=1
爱酱一直在吃土	1617971797	JkyAvBOSN	#云南新增2例缅甸输入确诊#是偷渡过来的么？太无语了 ​	2020年09月14日 09:53			2	https://weibo.com/1617971797/JkyAvBOSN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyAvBOSN?uid=1617971797&rl=1
国是直通车	6115560351	JkyAquW4O	#国是论坛#【#云南新增2例缅甸输入确诊#】9月13日0时至24时，云南省无新增本地确诊病例和无症状感染者，新增境外输入确诊病例2例（均为缅甸籍、缅甸输入），其中1例为9月12日无症状感染者转确诊；境外输入确诊病例治愈出院1例，境外输入无症状感染者解除隔离医学观察1例。截至9月13日24时，云南省现有 ​  展开全文c	2020年09月14日 09:53	1		1	https://weibo.com/6115560351/JkyAquW4O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyAquW4O?uid=6115560351&rl=1
遵义发布	5521606430	JkyA7CnHv	【#云南新增2例缅甸输入确诊#】9月13日0时至24时，云南省无新增本地确诊病例和无症状感染者，新增境外输入确诊病例2例（均为缅甸籍、缅甸输入），其中1例为9月12日无症状感染者转确诊；境外输入确诊病例治愈出院1例，境外输入无症状感染者解除隔离医学观察1例。 截至9月13日24时，云南省现有境外输入 ​  展开全文c	2020年09月14日 09:52		评论		https://weibo.com/5521606430/JkyA7CnHv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkyA7CnHv?uid=5521606430&rl=1
朶蕾咪DoReMi	3030079261	Jkyz9B7rb	#云南新增2例缅甸输入确诊#偷渡的建议全部打包送回去，也不给他们治疗，偷渡的人肯定没钱医治，不能浪费医疗资源 ​	2020年09月14日 09:50			11	https://weibo.com/3030079261/Jkyz9B7rb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkyz9B7rb?uid=3030079261&rl=1
落雪与柠	6022181541	Jkyz7y9x0	#云南新增2例缅甸输入确诊#  两例了？？？！ ​	2020年09月14日 09:50		评论		https://weibo.com/6022181541/Jkyz7y9x0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkyz7y9x0?uid=6022181541&rl=1
