用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
体娱大爆炸FC	6514615622	JfpF2orU4	#CBA真香#【重磅】据国内媒体消息，八一男篮将退出CBA联赛，富邦集团重获CBA参赛名额。解散后，八一男篮的球员将完成退伍转业手续，然后由军委训练管理部军事体育训练中心和中国篮协协商解决球员的注册问题。据悉，目前不少CBA俱乐部已请求所在地体育局出面，向相关部门打报告，申请引入八一男篮的球 ​  展开全文c	2020年08月11日 13:58			3	https://weibo.com/6514615622/JfpF2orU4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfpF2orU4?uid=6514615622&rl=1
篮球之声	2358578625	JfpE4ohKQ	#八一男篮将退出CBA#据爆料，随着本赛季CBA即将结束，八届冠军得主八一男篮将退出CBA联赛！过去两个赛季，八一男篮均是以特邀参赛球队的身份参加CBA联赛的，参加CBA的主要目的之一就是备战2019年军运会。随着八一男篮退出CBA，宁波富邦集团将重新获得CBA联赛参赛名额。 #八一男篮# #CBA# ​	2020年08月11日 13:56	3	16	89	https://weibo.com/2358578625/JfpE4ohKQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfpE4ohKQ?uid=2358578625&rl=1
PP体育篮球	6814464850	JfpxWpeIK	【#八一男篮将退出CBA# 邹雨宸等主力球员或遭哄抢】据体育大生意向富邦集团求证，富邦集团自从和八一男篮友好分手后，一直在积极筹建自己的篮球队，时刻做好征战CBA联赛的准备。随着八一解散，八一男篮的球员们也将首先完成退伍转业手续，然后由军委训练管理部军事体育训练中心和中国篮协协商解决八 ​  展开全文c	2020年08月11日 13:41	113	280	958	https://weibo.com/6814464850/JfpxWpeIK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfpxWpeIK?uid=6814464850&rl=1
体坛周报	5350271203	Jfpwy7eCo	【曝八一队将会在下赛季退出CBA】根据国内媒体报道，随着2019-2020赛季即将结束，曾八次夺得#CBA# 联赛总冠军的#八一男篮# 也将退出CBA联赛，宁波富邦集团将重新获得CBA联赛参赛名额。 ​	2020年08月11日 13:37	4	15	21	https://weibo.com/5350271203/Jfpwy7eCo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfpwy7eCo?uid=5350271203&rl=1
PP体育篮球	6814464850	Jfpw6Fr4A	【#八一男篮将退出CBA#】据媒体《体育大生意》报道称，随着本赛季的CBA即将结束，#八一男篮# 也将退出CBA。过去两个赛季，八一队都是以“特邀参赛球队”的身份参加CBA的，而八一队参加CBA的主要目的之一就是备战2019年军运会。现在，八一队将退出CBA，宁波富邦集团将重新获得CBA联赛参赛名额。本赛 ​  展开全文c	2020年08月11日 13:36	20	35	128	https://weibo.com/6814464850/Jfpw6Fr4A?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfpw6Fr4A?uid=6814464850&rl=1
广袤_SKY	1560035954	Jfpvxe68S	又是一声叹息！ #八一男篮# ​	2020年08月11日 13:35		1		https://weibo.com/1560035954/Jfpvxe68S?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfpvxe68S?uid=1560035954&rl=1
广州市晟名体育发展有限公司	7268022051	JfpuD4sz3	#八一男篮# CBA联赛 #体育# 北京时间8月11日消息，据《体育大生意》报道，在本赛季结束后，八一男篮将正式解散，退出CBA联赛。“据体育大生意记者了解，随着2019-2020赛季即将结束，曾八次夺得CBA联赛总冠军的八一男篮也将退出CBA联赛。需要指出的是，过去两个赛季，八一男篮均是以特邀参赛 ​  展开全文c	2020年08月11日 13:33		1		https://weibo.com/7268022051/JfpuD4sz3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfpuD4sz3?uid=7268022051&rl=1
小迷妹的日记	5974283701	JfptQk4GG	【网传八一队将退出CBA，宁波富邦将重获CBA资格】#八一男篮# 随着2019-2020赛季即将结束，曾八次夺得CBA联赛总冠军的八一男篮也将退出CBA联赛。需要指出的是，过去两个赛季，八一男篮均是以特邀参赛球队的身份参加CBA联赛的，参加CBA联赛的主要目的之一就是备战2019年军运会。而随着如今八一男篮退 ​  展开全文c	2020年08月11日 13:31	8	13	332	https://weibo.com/5974283701/JfptQk4GG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfptQk4GG?uid=5974283701&rl=1
中国篮球	1737961042	JfpseqjXw	@体育大生意 爆料，随着本赛季即将结束，八届冠军八一男篮也将退出CBA联赛。过去两个赛季，八一男篮均是以特邀参赛球队的身份参加CBA联赛的，参加CBA的主要目的之一就是备战2019年军运会。随着八一男篮退出CBA，宁波富邦集团将重新获得CBA联赛参赛名额。#八一男篮将退出CBA# #八一男篮# ​	2020年08月11日 13:27	125	225	1454	https://weibo.com/1737961042/JfpseqjXw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfpseqjXw?uid=1737961042&rl=1
傻蛋Lc	1774607294	JeRvGv5lB	好久没因为球赛流泪，感动的一塌糊涂…下赛季再来。#新疆男篮##八一男篮# ​	2020年08月07日 23:02		1		https://weibo.com/1774607294/JeRvGv5lB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeRvGv5lB?uid=1774607294&rl=1
Kaku的篮球世界	5518963954	JdRM9uFzP	#八一建军节# 利剑出鞘浪花有声建军93周年  向所有军人致敬#八一男篮# ​	2020年08月01日 09:52			2	https://weibo.com/5518963954/JdRM9uFzP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdRM9uFzP?uid=5518963954&rl=1
控卫投篮	6552408582	JdalhcdNT	7月27日八一队球员#邹雨宸# 更新个人社交媒体，发表了自己对这个赛季的感受。“很遗憾这个赛季的最后一场球以这样的方式结束。自己没能在场上控制好情绪，造成了不好的影响，在这里向大家道歉。这个赛季对我来说既漫长又短暂，在经历了947天的漫长等待后，重返赛场的那一刻我觉得一切都值得，感谢大 ​  展开全文c	2020年07月27日 19:18		评论		https://weibo.com/6552408582/JdalhcdNT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdalhcdNT?uid=6552408582&rl=1
篮星球	6535497840	Jd8dEAVvp	【韩硕发布社媒恐宣布从八一退役，八一众将留言致敬】八一男篮本赛季的比赛已经全部结束，今天，八一球员韩硕疑似在社交媒体宣布退役。韩硕写道：“感恩！感激！感谢！”，并配有多张球衣照片和球队合照。八一球员邹雨宸、付豪等纷纷在评论区留言，邹雨宸写道：“永远的好大哥。”付豪写道：“最好 ​  展开全文c	2020年07月27日 13:54		1	1	https://weibo.com/6535497840/Jd8dEAVvp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd8dEAVvp?uid=6535497840&rl=1
