原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	君笑七绝	6202780116	君笑七绝:#肖战# //@天明朗月羞:肖战正能量艺人肖战引导粉丝热心做公益，肖战演技好，肖战唱歌棒，肖战颜值高，肖战暖心，肖战人品好，肖战有礼貌，肖战工作努力，肖战非常敬业，肖战尊敬前辈，肖战绅士风度，肖战三观正，肖战引领粉丝越来越优秀，肖战是根正苗红的好艺人！@X玖少年团肖战DAYTOY	赞[0]	2020-09-08 13:44:18	来自小米Note 3 拍人更美
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	君笑七绝	6202780116	君笑七绝:肖战正能量艺人肖战引导粉丝热心做公益，肖战演技好，肖战唱歌棒，肖战颜值高，肖战暖心，肖战人品好，肖战有礼貌，肖战工作努力，肖战非常敬业，肖战尊敬前辈，肖战绅士风度，肖战三观正，肖战引领粉丝越来越优秀，肖战是根正苗红的好艺人！@X玖少年团肖战DAYTOY	赞[0]	2020-09-08 13:44:13	来自小米Note 3 拍人更美
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	柳柳夏天	6563756430	柳柳夏天:转发微博	赞[0]	2020-09-08 13:43:58	来自iPhone 6 Plus
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	为战而来的熊宝贝iz	2513500117	为战而来的熊宝贝iz:转发微博	赞[0]	2020-09-08 13:40:19	来自iPhone客户端
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	暮色_ssk	7089263602	暮色_ssk:转发微博	赞[0]	2020-09-08 13:54:16	来自iPhone客户端
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	远方笛悠扬	7384202873	远方笛悠扬:转发微博	赞[0]	2020-09-08 13:51:16	来自iPhone客户端
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	君笑七绝	6202780116	君笑七绝:#肖战#	赞[0]	2020-09-08 13:44:28	来自小米Note 3 拍人更美
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	君笑七绝	6202780116	君笑七绝:#肖战# //@天明朗月羞:肖战正能量艺人肖战引导粉丝热心做公益，肖战演技好，肖战唱歌棒，肖战颜值高，肖战暖心，肖战人品好，肖战有礼貌，肖战工作努力，肖战非常敬业，肖战尊敬前辈，肖战绅士风度，肖战三观正，肖战引领粉丝越来越优秀，肖战是根正苗红的好艺人！@X玖少年团肖战DAYTOY	赞[0]	2020-09-08 13:44:24	来自小米Note 3 拍人更美
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	惬意小紫	6333942522	惬意小紫:#肖战# #再无法超越的经典角色#	赞[0]	2020-09-08 14:46:05	来自前置双摄vivo X9Plus
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	余生随心123456	7465048852	余生随心123456:转发微博	赞[0]	2020-09-08 14:39:17	来自iPhone客户端
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	诺梦米	6681658940	诺梦米:转发微博	赞[0]	2020-09-08 14:27:51	来自AI实力派 vivo Z1
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	坚果宝宝妈	7444680541	坚果宝宝妈:演员肖战饰演魏无羨	赞[0]	2020-09-08 14:25:48	来自红米Redmi
肖渌	:#再无法超越的经典角色#肖战诠释的夷陵老祖魏无羡！肖战干净的气质、肖战的高颜值、肖战对角色的理解、肖战超具感染力的献舍式演技、共情式演技，剧组服化道具场景的良心制作这些都是导致肖战魏无羡会是无法超越的经典角色@X玖少年团肖战DAYTOY 	2020-09-08 13:34:39    	为之笑笑96	1958720885	为之笑笑96:一部戏两种人生各有特色	赞[0]	2020-09-08 14:08:29	来自超话
