用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
南昌校园	1948656940	JhcrhFvPO	#军队文职考试##军队文职# 【2020军队文职必看基础知识】考前再复习一下！！转给需要的ta 帮他上岸（via.中公网校） ​	2020年08月23日 07:59	40	1	57	https://weibo.com/1948656940/JhcrhFvPO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcrhFvPO?uid=1948656940&rl=1
小蘑菇爱大头爱元宝	2395406721	Jhcrbun3T	#军队文职考试#考场一个都不认识 哈哈哈 我都怀疑我为啥要来考 ​	2020年08月23日 07:59		1	7	https://weibo.com/2395406721/Jhcrbun3T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhcrbun3T?uid=2395406721&rl=1
中式少女雕馋	6329808960	Jhcr1nbja	#军队文职考试#昨天考公路上遇见一个兵哥哥，真的很有气质很干净。甚至觉得路过他的旁边飘来了一阵凛冽的香味太喜欢了害……其实一开始很想报军队文职来着，可惜岗位要求工作经验，总之今天考试的各位，加油 ​	2020年08月23日 07:59		5	1	https://weibo.com/6329808960/Jhcr1nbja?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhcr1nbja?uid=6329808960&rl=1
墨起莲香画清彩	5285344254	JhcqFcsiS	#军队文职考试#我后悔没报这个了考不考的过另说，主要是想看小哥哥明年说不定报这个 ​	2020年08月23日 07:58		4		https://weibo.com/5285344254/JhcqFcsiS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcqFcsiS?uid=5285344254&rl=1
环翠发布	3886230775	JhcpOBuWB	#军队文职##军队文职考试# 【军队文职国防和军队考点精要】包含：考点一现代国防，考点二武装力量，考点三国防教育，考点四党对军队绝对领导的根本原则和制度，考点五军事秘密，考点六文职人员制度建立的重大意义和指导思想👇 ​	2020年08月23日 07:56	2		7	https://weibo.com/3886230775/JhcpOBuWB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcpOBuWB?uid=3886230775&rl=1
安徽中公教育	1578569790	JhcpEyKD8	#军队文职考试#考试当天的注意事项，仔细看哦 ​	2020年08月23日 07:55		1	1	https://weibo.com/1578569790/JhcpEyKD8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcpEyKD8?uid=1578569790&rl=1
瘦不到95斤不改名字	1632253640	JhcppgeSO	#军队文职考试#材料都没怎么看，真裸考，凑个热闹了 ​	2020年08月23日 07:55		5		https://weibo.com/1632253640/JhcppgeSO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcppgeSO?uid=1632253640&rl=1
iceorchid	6059250551	JhcogmevT	#军队文职考试#候考的地方啥也有……拍照，摄像，采访…… ​	2020年08月23日 07:52		2	3	https://weibo.com/6059250551/JhcogmevT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcogmevT?uid=6059250551&rl=1
吉林共青团	2762892110	JhcobAfmA	#军队文职考试# 【行测100个核心考点】收好，考前复习，不再为行测苦恼！ ​​​​#和团团一起来学习# ​	2020年08月23日 07:52	34	2	26	https://weibo.com/2762892110/JhcobAfmA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhcobAfmA?uid=2762892110&rl=1
山亭发布	3212590852	Jhcm3sXZP	#早安山亭# 我是一只小警犬，也要加入你们的队伍……by.中国军网（罗文林 苏鹤）早安( ^_^)／ #军队文职考试# L一枚军粉的微博视频 ​ 2枣庄 ​	2020年08月23日 07:46	1	38	40	https://weibo.com/3212590852/Jhcm3sXZP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jhcm3sXZP?uid=3212590852&rl=1
新念兰	6600652013	JhclZpdHl	#军队文职考试#想参加 ​	2020年08月23日 07:46		1		https://weibo.com/6600652013/JhclZpdHl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhclZpdHl?uid=6600652013&rl=1
