原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	-海军包的小胡茬-	stellarhenry	-海军包的小胡茬-:转发微博	赞[0]	2020-08-20 20:30:08	来自华为P9手机摄影再突破
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	WWmigger	1872533692	WWmigger:分享的消失就是散场的开始	赞[0]	2020-08-20 20:12:39	来自iPhone客户端
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	格格琪爱喝热水	5488534990	格格琪爱喝热水:是这样的。。。	赞[1]	2020-08-20 23:33:24	来自HUAWEI Mate 9 Pro
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	m水星小星星y	5203006685	m水星小星星y:转发微博	赞[0]	2020-08-20 22:33:26	来自iPhone客户端
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	薛大da人	5801972676	薛大da人:转发微博	赞[1]	2020-08-20 22:27:31	来自nova6 5G自拍大不一样
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	暖暖怀瑾	2320182415	暖暖怀瑾:连分享欲都没了	赞[0]	2020-08-20 22:07:30	来自OPPO Reno Ace
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	lIUAOORU	6589112033	lIUAOORU:转发微博	赞[0]	2020-08-20 22:01:17	来自iPhone客户端
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	我还是想改个名字啊	2967677287	我还是想改个名字啊:我们都默许了对方很忙这件事，分不分享好像也没那么重要	赞[0]	2020-08-20 21:46:46	来自HUAWEI P30 Pro
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	雨里与己	5417711842	雨里与己:熟悉不代表了解	赞[6]	2020-08-20 21:20:33	来自iPhone
归春	:#分享欲有多重要# 我认为在一段亲密关系里，分享欲极其重要，爱意的流失也是从分享欲减少开始的。我当然不关心云是什么形状，也不在意路边的奶茶店开没开门，更不觉得饭煮糊了有什么可拍照的，所有跟你讲过的那些无意义的事情，本质上都是希望你能参与到我的生活里来，和我保持爱意的连结。我的日常实在太普通了，但因为你的存在，我觉得它们比以前有趣多了。	2020-08-20 16:50:02    	阿毛1900	2129190035	阿毛1900:对	赞[0]	2020-08-21 00:38:21	来自iPhone客户端
