用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
張譯霖Lope	2331690833	JfyHCftdj	#北京雨来了#狼来了的故事 ​	2020年08月12日 12:59			1	https://weibo.com/2331690833/JfyHCftdj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHCftdj?uid=2331690833&rl=1
你有仙女猫饼吗s	5936495355	JfyHyC6pJ	#北京雨来了#下了没下20分钟就停了 2廊坊 ​	2020年08月12日 12:59		2		https://weibo.com/5936495355/JfyHyC6pJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHyC6pJ?uid=5936495355&rl=1
踏野寻梅	5777516049	JfyHt3IR7	#北京雨来了#笑拉了，总共下了两分钟被我精准赶上现在路面都干了 ​	2020年08月12日 12:59			1	https://weibo.com/5777516049/JfyHt3IR7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHt3IR7?uid=5777516049&rl=1
温承宇先生	3407631140	JfyHsoO1P	#北京雨来了#昨天上海暴雨倾盆！ 2上海·建业新村 ​	2020年08月12日 12:59			1	https://weibo.com/3407631140/JfyHsoO1P?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHsoO1P?uid=3407631140&rl=1
此安非彼安是本安	5831407023	JfyHrvAkf	#北京雨来了#北京雨没了  ​	2020年08月12日 12:59		评论		https://weibo.com/5831407023/JfyHrvAkf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHrvAkf?uid=5831407023&rl=1
想当来一橘的耳环	2773293463	JfyHmzEC1	#北京雨来了#等到了等到了，不错子，我等到了，啊哈哈哈哈哈哈哈哈哈哈哈哈 L想当来一橘的耳环的微博视频 ​	2020年08月12日 12:59			3	https://weibo.com/2773293463/JfyHmzEC1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHmzEC1?uid=2773293463&rl=1
黄子韬为什么这么好看	5205320032	JfyHktp8c	#北京雨来了# 哈哈哈哈不容易终于🌧️了 ​	2020年08月12日 12:59		评论		https://weibo.com/5205320032/JfyHktp8c?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHktp8c?uid=5205320032&rl=1
蒋丞丞and兔飞飞	5678468611	JfyHjjD8f	#北京雨来了#坐标海淀区，不仅没下反而快晴了 ​	2020年08月12日 12:59		1	2	https://weibo.com/5678468611/JfyHjjD8f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHjjD8f?uid=5678468611&rl=1
灰姑娘和恶毒后母私奔了_	6612108557	JfyHgld2q	#北京雨来了#来了吗? ​	2020年08月12日 12:59		评论		https://weibo.com/6612108557/JfyHgld2q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHgld2q?uid=6612108557&rl=1
年满耳关	3807407282	JfyHeg4kb	#北京雨来了# 北京市气象台最新消息，代表“北京天气”的北京市南郊观象台已经出现降雨，目前风雨交加，大家请注意防雷防风防雨。与此同时，不少网友都表示所在地区已经开始下雨，如南四环、东五环、顺义李遂地区、朝阳传媒大学地区等均已出现降雨。身处北京的曾可妮知道了吗？@曾可妮Jenny-Z ​	2020年08月12日 12:58		评论		https://weibo.com/3807407282/JfyHeg4kb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHeg4kb?uid=3807407282&rl=1
潇家的呆子	7472183860	JfyHdnUHr	#北京雨来了#天津也下了，✌🏻 ✌🏻 ✌🏻 凉快喽！ ​	2020年08月12日 12:58		评论		https://weibo.com/7472183860/JfyHdnUHr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHdnUHr?uid=7472183860&rl=1
林中老虎花	3167344097	JfyHcaSS6	#北京雨来了#为啥北京下雨上了两个rs ？？ ​	2020年08月12日 12:58		2		https://weibo.com/3167344097/JfyHcaSS6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyHcaSS6?uid=3167344097&rl=1
平安天津滨海	5332219646	JfyH5FHZo	#晓晨姐姐微提示# 天津是不是也快了【#北京已开启降雨模式#】今天，北京将迎来今年入汛以来最强降雨。目前，#北京雨来了#，你那里开始下了吗？#北京发布暴雨预警#L北京新闻广播的微博视频 ​ L北京新闻广播的微博视频 ​	2020年08月12日 12:58		评论		https://weibo.com/5332219646/JfyH5FHZo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyH5FHZo?uid=5332219646&rl=1
张云龒	5974550036	JfyH10yrL	#北京雨来了#【#北京已开启降雨模式#】据说今天，北京将迎来今年入汛以来最强降雨。于是左等右等，盼来龙王爷一咳嗽，不过五分钟就停啦！你那里开始下了吗？#北京发布暴雨预警# L云龙-LEO的微博视频 ​	2020年08月12日 12:58		1	2	https://weibo.com/5974550036/JfyH10yrL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyH10yrL?uid=5974550036&rl=1
松米小晴	6154320167	JfyGYBmhC	#北京雨来了#开始下雨啦. ​	2020年08月12日 12:58			5	https://weibo.com/6154320167/JfyGYBmhC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGYBmhC?uid=6154320167&rl=1
卷球儿	1605158721	JfyGSmU6R	#北京雨来了#不知道有没有五分钟呢 ​	2020年08月12日 12:58		评论		https://weibo.com/1605158721/JfyGSmU6R?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGSmU6R?uid=1605158721&rl=1
林中老虎花	3167344097	JfyGO1xJT	#北京雨来了#下了半小时了 嘻嘻嘻好玩 ​	2020年08月12日 12:57		评论		https://weibo.com/3167344097/JfyGO1xJT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGO1xJT?uid=3167344097&rl=1
xiao故事Da道理	5894615204	JfyGJuXSj	#北京雨来了#在局内人的世界里做一个局外人 ​	2020年08月12日 12:57		评论		https://weibo.com/5894615204/JfyGJuXSj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGJuXSj?uid=5894615204&rl=1
北极小黄油	3671044495	JfyGIk8vz	#北京雨来了# 下了10分钟，已经放晴了，闷热毫无缓解…… ​	2020年08月12日 12:57			2	https://weibo.com/3671044495/JfyGIk8vz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGIk8vz?uid=3671044495&rl=1
G都想避风谁当港M	6087534266	JfyGHanWU	#北京雨来了#天津也快来，我等不及了 ​	2020年08月12日 12:57		2		https://weibo.com/6087534266/JfyGHanWU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGHanWU?uid=6087534266&rl=1
小衣摆摆	7383012321	JfyGxaSWe	#北京雨来了#真的好大这个雨坐标河北沧州 ​	2020年08月12日 12:57		评论		https://weibo.com/7383012321/JfyGxaSWe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGxaSWe?uid=7383012321&rl=1
猫咪他大爷	1099948904	JfyGsnNIy	#北京雨来了# 进京证办理中，快了快了 2北京·北京首都国际机场 ​	2020年08月12日 12:57	2	3	30	https://weibo.com/1099948904/JfyGsnNIy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGsnNIy?uid=1099948904&rl=1
王唯唯你不认识啊	1463555294	JfyGhbhzu	#北京雨来了#全市等雨🌧️真替气象局捏把汗 ​	2020年08月12日 12:56		评论		https://weibo.com/1463555294/JfyGhbhzu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGhbhzu?uid=1463555294&rl=1
文艺的吃货江小红	2656439245	JfyGd5lqd	#北京雨来了#北京的雨，意义非凡！下的非常讲原则，非常讲 ​	2020年08月12日 12:56		1	1	https://weibo.com/2656439245/JfyGd5lqd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGd5lqd?uid=2656439245&rl=1
叼根稻草看夕阳	1696260867	JfyGbyh2V	#北京雨来了##北京雨来了# 小小的雷阵雨，头发都没湿。 ​	2020年08月12日 12:56		评论		https://weibo.com/1696260867/JfyGbyh2V?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGbyh2V?uid=1696260867&rl=1
啊哦嘿呀小清儿	5442568175	JfyGa4Jcy	#北京暴雨##北京雨来了# 雨来了…雨走了 ​	2020年08月12日 12:56		评论		https://weibo.com/5442568175/JfyGa4Jcy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyGa4Jcy?uid=5442568175&rl=1
木易子旭	2403810863	JfyG78wyD	#北京已开启降雨模式# 不负众望，今天中午12点左右，北京迎来今年入汛以来最强降雨。目前，#北京雨来了#，经过核酸检测，它手持健康码来了。#北京发布暴雨预警# ​	2020年08月12日 12:56	1		6	https://weibo.com/2403810863/JfyG78wyD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyG78wyD?uid=2403810863&rl=1
_xxxx_的二十	1768441982	JfyG3ysZe	#北京雨来了# 终于还是来了吗 ​	2020年08月12日 12:56		评论		https://weibo.com/1768441982/JfyG3ysZe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyG3ysZe?uid=1768441982&rl=1
猫在你心里呀	5122141101	JfyG24VU2	#北京雨来了#下了5分钟，然后停了 LEnuu5的微博视频 ​	2020年08月12日 12:55		评论		https://weibo.com/5122141101/JfyG24VU2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyG24VU2?uid=5122141101&rl=1
邓如山	6320497409	JfyG049x6	（网友）经过40多年的改革开放，特别是近20年的高速发展，中国实力已经彰显，特别是国防力量高速发展，无论是空军的歼一20，还是海军的052大驱，以及辽宁舰和山东舰航母列装，这些都说明我海空力量今非昔比。东风糸列的“长剑”已经展示给世人，北斗导航系统全球启用，更是中国人手里的“望远镜”，中 ​  展开全文c	2020年08月12日 12:55		评论		https://weibo.com/6320497409/JfyG049x6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyG049x6?uid=6320497409&rl=1
哈尔滨共青团	2707524607	JfyFS5qkq	【#北京已开启降雨模式#】今天，北京将迎来今年入汛以来最强降雨。目前，#北京雨来了#，你那里开始下了吗？#北京发布暴雨预警#L北京新闻广播的微博视频 ​	2020年08月12日 12:55		1		https://weibo.com/2707524607/JfyFS5qkq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyFS5qkq?uid=2707524607&rl=1
不入熊洞焉得淇淇	6331484287	JfyFJeAGC	#北京雨来了#离北京那么近顺着连我们这儿也下点雨不得了吗太闷了！太潮了！ ​	2020年08月12日 12:55		2	1	https://weibo.com/6331484287/JfyFJeAGC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyFJeAGC?uid=6331484287&rl=1
修鞋的黄晓明	5658578350	JfyFICWwc	#北京雨来了#😂等我过几天去时候可别下了，求求老天爷了 2廊坊 ​	2020年08月12日 12:55			5	https://weibo.com/5658578350/JfyFICWwc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyFICWwc?uid=5658578350&rl=1
笙笙浅夏	6618185980	JfyFFCmh8	#北京雨来了#为了庆祝一下要来一瓶可口可乐吗#可口可乐花式龙虾局# ​	2020年08月12日 12:55		评论		https://weibo.com/6618185980/JfyFFCmh8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyFFCmh8?uid=6618185980&rl=1
Qswd_97	6247061536	JfyFF4dZP	似的，来了，真的来了#北京雨来了# LQswd_97的微博视频 ​	2020年08月12日 12:55		3	3	https://weibo.com/6247061536/JfyFF4dZP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfyFF4dZP?uid=6247061536&rl=1
