原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	长安和平	7428897391	长安和平:转发微博	赞[0]	2020-07-19 18:32:12	来自HUAWEI P30
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	繁昌防范	6507158911	繁昌防范:@安徽反邪教	赞[0]	2020-07-19 21:33:11	来自华为手机 畅享玩不停
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	义安防邪	2100096872	义安防邪:转发微博	赞[0]	2020-07-19 20:51:41	来自nova4自拍极点全面屏
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	池州反邪教	6311272256	池州反邪教:红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#	赞[2]	2020-07-19 20:46:32	来自微博 weibo.com
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	相山区政法委	5492734072	相山区政法委:转发微博	赞[1]	2020-07-19 20:37:40	来自iPhone客户端
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	烈山反邪教	lsqfxj	烈山反邪教:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】	赞[0]	2020-07-19 20:32:18	来自HUAWEI P20 Pro
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	休宁反邪教	xnfxj	休宁反邪教:转发微博	赞[0]	2020-07-19 20:22:27	来自荣耀20
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	铜官防邪	6625561434	铜官防邪:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】	赞[0]	2020-07-19 20:12:13	来自HUAWEI Mate 20 Pro
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	三山政法	6512251622	三山政法:转发微博	赞[0]	2020-07-19 19:44:25	来自HUAWEI P40 Pro 5G
安徽反邪教	:【红色预警！#南京启动防汛Ⅰ级应急响应#，#南京城区出现内涝#】受长江大流量来水影响，7月18日，江苏省水利厅将长江南京段洪水预警由橙色升级为红色。与此同时南京市防指决定，从7月18日10时起，启动全市防汛Ⅰ级应急响应，对此，央视记者在南京进行了实地探访。在南京的长江大桥，记者看到现在的长江江面和平时相比，宽幅宽出了三分之一左右，而且沿江的栈道已全部被江水淹没。这意味着，穿城而过的长江水位要高于城市的大部分路面，南京的江南和江北“头顶上”顶着一大盆水。同时，记者了解到，今早有很多靠近秦淮河边的居民区已经出现内涝。#南京八卦洲首批人员撤离# 详情，戳视频↓  央视财经的酷燃视频	2020-07-19 18:28:46    	南陵防范	6506855283	南陵防范:转发微博	赞[0]	2020-07-20 08:13:03	来自前置双摄vivo X9s
