原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	乌贼刘先生	1827996547	乌贼刘先生:转发微博	赞[0]	2020-07-17 19:53:06	来自小米8青春版 潮流旗舰
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	______书香门第______	2113157382	______书香门第______:转发微博	赞[0]	2020-07-17 19:42:03	来自iPhone客户端
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	难得糊涂_nan	573377869	难得糊涂_nan:转发微博	赞[0]	2020-07-17 19:39:37	来自小米6X 拍人更美
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	123123abc_66325	7040551988	123123abc_66325:你以为美国高价强卖给你的是优质产品吗？	赞[0]	2020-07-17 19:36:49	来自iPhone客户端
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	DoorKeeper_XC5768	1769277682	DoorKeeper_XC5768:转发微博	赞[0]	2020-07-17 19:17:31	来自iPhone客户端
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	小叶子863	3937271368	小叶子863:转发微博	赞[0]	2020-07-17 19:16:31	来自iPhone客户端
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	小羊角群群	1854339881	小羊角群群:转发微博	赞[0]	2020-07-17 19:15:33	来自华为畅享 10e
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	怪蜀黍福音	dannytung	怪蜀黍福音:台湾管这叫重着陆~~~ 那应该属于这是可控撞地~~~自杀~	赞[0]	2020-07-18 00:07:00	来自微博 weibo.com
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	创城专用文明小马甲	5198488788	创城专用文明小马甲://@文明大兴:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不	赞[0]	2020-07-17 22:57:20	来自iPhone客户端
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	芫荽其如予何	7185672482	芫荽其如予何:转发微博	赞[0]	2020-07-17 21:11:08	来自OPPO A5
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	灰正伊	3194411492	灰正伊://@灰正伊 :oh58d机龄至少四十年了吧	赞[0]	2020-07-17 20:54:04	来自微博国际版
新浪新闻	:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子。@这视频 这视频的秒拍视频	2020-07-17 19:06:19    	文明大兴	2646882747	文明大兴:【#台军直升机坠毁画面#曝光：垂直坠下冒烟起火】7月16日下午，一架参与“汉光演习”的台军OH-58D型战斗侦察直升机坠毁在新竹空军基地，造成机上2人死亡。17日，台媒发布直升机坠毁瞬间的视频，可以看到直升机高速垂直坠地，随后燃起火球。从台媒发布的现场图片看，失事直升机的残骸已看不出原来的样子	赞[4]	2020-07-17 20:12:35	来自前后2000万 OPPO R11
