用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
河北高速交警邢台支队	3217052405	JjEs1oQUR	【此刻，默哀！】一起#向新冠肺炎牺牲烈士和逝世同胞默哀#！愿逝者安息，生者奋发！#全国抗击新冠肺炎疫情表彰大会# L央视新闻的微博视频 ​	2020年09月08日 10:59		评论		https://weibo.com/3217052405/JjEs1oQUR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjEs1oQUR?uid=3217052405&rl=1
嘉人是我的新名字	1784874391	JjErM4crY	#向新冠肺炎牺牲烈士和逝世同胞默哀#2020是最特殊的一年，每一个普通的中国人的心路历程恐怕也是终身难忘。从一开始的焦虑恐慌到后面的淡定自信，这是所有抗疫英雄给我们带来的力量，与所有基层人员的努力息息相关。我比任何时刻都更热爱自己的祖国，并将永远热爱她。 ​	2020年09月08日 10:58			1	https://weibo.com/1784874391/JjErM4crY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjErM4crY?uid=1784874391&rl=1
天汉青年-汉中共青团	2309030981	JjErK1dgw	【此刻，默哀！】一起#向新冠肺炎牺牲烈士和逝世同胞默哀#！愿逝者安息，生者奋发！#全国抗击新冠肺炎疫情表彰大会# L央视新闻的微博视频 ​ ​​​	2020年09月08日 10:58	4	1	1	https://weibo.com/2309030981/JjErK1dgw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjErK1dgw?uid=2309030981&rl=1
夜里挑灯品茶	6296440474	JjErH1H0e	#向新冠肺炎牺牲烈士和逝世同胞默哀#愿逝者安息 ​	2020年09月08日 10:58		评论		https://weibo.com/6296440474/JjErH1H0e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjErH1H0e?uid=6296440474&rl=1
摯愛磊_嵐嵐	3143673724	JjErB8bS6	#向新冠肺炎牺牲烈士和逝世同胞默哀#哀悼，追思…… ​ 2广州 ​	2020年09月08日 10:58		评论		https://weibo.com/3143673724/JjErB8bS6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjErB8bS6?uid=3143673724&rl=1
湖对岸的蓝蓝	1867247532	JjErfxIxo	#向新冠肺炎牺牲烈士和逝世同胞默哀#哀悼，追思…… ​	2020年09月08日 10:57		评论		https://weibo.com/1867247532/JjErfxIxo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjErfxIxo?uid=1867247532&rl=1
哄哄原味肉骨茶	7392132385	JjEre7uCR	#向新冠肺炎牺牲烈士和逝世同胞默哀#向英雄致敬，铭记功勋，铭记烈士！ ​	2020年09月08日 10:57			1	https://weibo.com/7392132385/JjEre7uCR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjEre7uCR?uid=7392132385&rl=1
笑嘻嘻学习42732	5684065343	JjErd9QPX	#向新冠肺炎牺牲烈士和逝世同胞默哀#逝者安息，为你们默哀，向你们致敬，谢谢你们带给我们健康与光明 ​	2020年09月08日 10:57		评论		https://weibo.com/5684065343/JjErd9QPX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjErd9QPX?uid=5684065343&rl=1
祝我快乐吧w	5992850014	JjEr145Vm	#向新冠肺炎牺牲烈士和逝世同胞默哀# ​	2020年09月08日 10:56		评论		https://weibo.com/5992850014/JjEr145Vm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjEr145Vm?uid=5992850014&rl=1
河南法制报	1479040710	JjEqSfqOQ	【一起#向新冠肺炎牺牲烈士和逝世同胞默哀#！】正在人民大会堂举行的全国抗击新冠肺炎疫情表彰大会上，全场肃立，向新冠肺炎疫情牺牲烈士和逝世同胞默哀。愿逝者安息，生者奋发！ ​⑥ L央视新闻的微博视频 ​	2020年09月08日 10:56			1	https://weibo.com/1479040710/JjEqSfqOQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjEqSfqOQ?uid=1479040710&rl=1
