用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
足球话题	1911727250	JcQY7fVC1	以前，你可以凭借优雅的技术骗过对手！现在，你也一定可以潇洒的过掉新冠的！#哈维新冠检测呈阳性# L足球话题的微博视频 ​	2020年07月25日 17:59	5	9	14	https://weibo.com/1911727250/JcQY7fVC1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQY7fVC1?uid=1911727250&rl=1
烊光下滴乐子	6612643352	JcQY654MJ	#哈维新冠检测呈阳性# ​	2020年07月25日 17:59		评论		https://weibo.com/6612643352/JcQY654MJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQY654MJ?uid=6612643352&rl=1
爱德华春申大掌柜	5836660263	JcQXgmit8	#哈维新冠检测呈阳性#祝哈维球王早日康复！ ​	2020年07月25日 17:56			1	https://weibo.com/5836660263/JcQXgmit8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQXgmit8?uid=5836660263&rl=1
曼联	5411996339	JcQXeyH6f	#哈维新冠检测呈阳性# 巴萨传奇球星、目前执教阿尔萨德的西班牙名宿哈维通过ins宣布自己新冠检测呈阳性，在进行隔离，目前感觉还好。 ​	2020年07月25日 17:56	6	5	23	https://weibo.com/5411996339/JcQXeyH6f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQXeyH6f?uid=5411996339&rl=1
辽沈晚报	1801817195	JcQXe0BBO	#哈维新冠检测呈阳性#西班牙足球名宿，阿尔萨德主教练哈维称，自己在新冠检测中结果呈阳性，目前他感觉良好，在完全康复前他都会处在被隔离的状态。 ​	2020年07月25日 17:56	1	2	3	https://weibo.com/1801817195/JcQXe0BBO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQXe0BBO?uid=1801817195&rl=1
博格巴各种吹POGBA	6152244707	JcQWFEogG	#哈维新冠检测呈阳性# 巴萨传奇球星、目前执教阿尔萨德的西班牙名宿哈维在接受采访时确认，自己在几天前的新冠检测中呈阳性，他将接受自我隔离。 ​	2020年07月25日 17:55			2	https://weibo.com/6152244707/JcQWFEogG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQWFEogG?uid=6152244707&rl=1
巴萨美图	1743372361	JcQWcqmdZ	#哈维新冠检测呈阳性# 哈维宣布自己新冠检测呈阳性，目前状态很好，正遵循医嘱自我隔离。 ​	2020年07月25日 17:54	26	24	52	https://weibo.com/1743372361/JcQWcqmdZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQWcqmdZ?uid=1743372361&rl=1
鸿哥解说NBA	7382036112	JcQVJ9240	#哈维新冠检测呈阳性#官方：哈维宣布自己新冠检测呈阳性！ ​	2020年07月25日 17:53		评论		https://weibo.com/7382036112/JcQVJ9240?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQVJ9240?uid=7382036112&rl=1
阿至律师	2172792324	JcQVtyIJ5	#哈维新冠检测呈阳性#西班牙足球名宿，阿尔萨德主教练哈维称，自己在新冠检测中结果呈阳性，目前他感觉良好，在完全康复前他都会处在被隔离的状态。 ​	2020年07月25日 17:52			2	https://weibo.com/2172792324/JcQVtyIJ5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQVtyIJ5?uid=2172792324&rl=1
昕昕相西-	5726137372	JcQVskB8R	#哈维新冠检测呈阳性#早日康复 ​	2020年07月25日 17:52		评论		https://weibo.com/5726137372/JcQVskB8R?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcQVskB8R?uid=5726137372&rl=1
