用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
朝与同歌暮与酒2018	7441396093	JgNGXgsqr	#外交部再回应孟晚舟事件# ​	2020年08月20日 16:59		评论		https://weibo.com/7441396093/JgNGXgsqr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNGXgsqr?uid=7441396093&rl=1
颍上检察	5558584537	JgNGTr2zH	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美蓄意打压中 ​  展开全文c	2020年08月20日 16:59	1	7		https://weibo.com/5558584537/JgNGTr2zH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNGTr2zH?uid=5558584537&rl=1
独家网	5126675170	JgNFPyl7h	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美蓄意打压中 ​  展开全文c	2020年08月20日 16:57			2	https://weibo.com/5126675170/JgNFPyl7h?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNFPyl7h?uid=5126675170&rl=1
国是直通车	6115560351	JgNFIcnwF	#国是论坛#【#外交部再回应孟晚舟事件#：#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美 ​  展开全文c	2020年08月20日 16:56	1	1	4	https://weibo.com/6115560351/JgNFIcnwF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNFIcnwF?uid=6115560351&rl=1
辽宁共青团	2079751412	JgNF4hJLc	外交部：孟晚舟事件是彻头彻尾的政治事件，加拿大扮演了美方帮凶的角色！ #外交部再回应孟晚舟事件# L辽宁共青团的微博视频 ​	2020年08月20日 16:55	4	6	34	https://weibo.com/2079751412/JgNF4hJLc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNF4hJLc?uid=2079751412&rl=1
德兴发布	5296697367	JgNEY6D96	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美蓄意打压中 ​  展开全文c	2020年08月20日 16:54		评论		https://weibo.com/5296697367/JgNEY6D96?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNEY6D96?uid=5296697367&rl=1
中国侨网	5137261048	JgNEnt77t	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美蓄意打压中 ​  展开全文c	2020年08月20日 16:53		评论		https://weibo.com/5137261048/JgNEnt77t?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNEnt77t?uid=5137261048&rl=1
宿迁交警	1902383514	JgNDPaoiA	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。中国政府维护本国公民和企业正当权益的决心坚定不移。任何国家、任 ​  展开全文c	2020年08月20日 16:52		1	2	https://weibo.com/1902383514/JgNDPaoiA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNDPaoiA?uid=1902383514&rl=1
抚州临川发布	3567412270	JgNBNy5SL	【外交部：孟晚舟事件是彻头彻尾的政治事件 加拿大扮演了美方帮凶】#外交部再回应孟晚舟事件# 近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治 ​  展开全文c	2020年08月20日 16:47			1	https://weibo.com/3567412270/JgNBNy5SL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNBNy5SL?uid=3567412270&rl=1
红古区检察院	5549303477	JgNBp4YoQ	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美蓄意打压中 ​  展开全文c	2020年08月20日 16:46		评论		https://weibo.com/5549303477/JgNBp4YoQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNBp4YoQ?uid=5549303477&rl=1
合肥日报	2041117703	JgNBhmJlc	#外交部再回应孟晚舟事件# 【#外交部斥加拿大扮演了美方帮凶#】近日，CGTN制作的新闻调查节目《孟晚舟案背后隐情》还原了孟晚舟被捕缘由，引发广泛关注。对此，中国外交部发言人赵立坚表示，中方在孟晚舟事件上的立场是一贯、明确的。孟晚舟事件是一起彻头彻尾的严重政治事件，充分暴露了美蓄意打压中 ​  展开全文c	2020年08月20日 16:45	1	评论		https://weibo.com/2041117703/JgNBhmJlc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgNBhmJlc?uid=2041117703&rl=1
