用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
铜川检察	5117294211	JglNNzQb4	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。@人民日报 （人民日报记者王骁波）L人民视频的微博视频 ​​​	2020年08月17日 17:59		1	2	https://weibo.com/5117294211/JglNNzQb4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglNNzQb4?uid=5117294211&rl=1
重庆反邪教	5898618477	JglNIwhsY	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:59		评论		https://weibo.com/5898618477/JglNIwhsY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglNIwhsY?uid=5898618477&rl=1
参考消息	2375086267	JglMkvSn3	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？        赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美 ​  展开全文c	2020年08月17日 17:56	27	11	110	https://weibo.com/2375086267/JglMkvSn3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMkvSn3?uid=2375086267&rl=1
江北检察	2972503342	JglMgFjoA	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:55		10	12	https://weibo.com/2972503342/JglMgFjoA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMgFjoA?uid=2972503342&rl=1
WEMONEY研究室	7198360608	JglMeExYn	#外交部回应加拿大与FBI合谋搜查孟晚舟#8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿大滥 ​  展开全文c	2020年08月17日 17:55			5	https://weibo.com/7198360608/JglMeExYn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMeExYn?uid=7198360608&rl=1
安徽反邪教	5964184998	JglLUe3MX	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:55	67	52	77	https://weibo.com/5964184998/JglLUe3MX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglLUe3MX?uid=5964184998&rl=1
陇原政法	6892712944	JglL8Bebz	【特朗普针对TikTok再提无理要求 赵立坚毫不留情当场揭露美方险恶用心】#外交部回应特朗普再签涉TikTok行政令# 14日美国总统特朗普签署行政令，要求字节跳动公司在90天内剥离TikTok在美业务。特朗普称有可信证据表明该公司可能采取威胁美国家安全的行动。在8月17日外交部例行记者会上，发言人赵立坚对 ​  展开全文c	2020年08月17日 17:53	3	8	15	https://weibo.com/6892712944/JglL8Bebz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglL8Bebz?uid=6892712944&rl=1
达州应急	3930794463	JglKGjKLa	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:52		评论		https://weibo.com/3930794463/JglKGjKLa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglKGjKLa?uid=3930794463&rl=1
临泽检察	5357626984	JglKka7Vs	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:51		1	1	https://weibo.com/5357626984/JglKka7Vs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglKka7Vs?uid=5357626984&rl=1
山西青年报	1789594967	JglJhEpvt	#外交部回应加拿大与FBI合谋搜查孟晚舟#孟晚舟女士曾在采访中说道：我们的心永远和祖国在一起希望孟晚舟能早日归国🙏🙏（Cr：新京报） L咪咕头条资讯的微博视频 ​​​	2020年08月17日 17:48	3	2	13	https://weibo.com/1789594967/JglJhEpvt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglJhEpvt?uid=1789594967&rl=1
广汉融媒	3422616782	JglJ9o737	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:48		评论		https://weibo.com/3422616782/JglJ9o737?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglJ9o737?uid=3422616782&rl=1
集微网官方微博	1862172703	JglJ7BEen	#外交部回应加拿大与FBI合谋搜查孟晚舟#8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟。赵立坚表示，目前已披露的相关证据充分表明，美国和加拿大滥用双边引渡条约，对中国公民任意采取强制措施，严重侵犯了中国公 ​  展开全文c	2020年08月17日 17:48	5		7	https://weibo.com/1862172703/JglJ7BEen?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglJ7BEen?uid=1862172703&rl=1
南海之声	3858832626	JglHX0TM7	【#外交部回应加拿大与FBI合谋搜查孟晚舟#】8月17日，外交部发言人赵立坚主持例行记者会。有记者提问，目前已公开的信息显示，加拿大与FBI合谋，在机场故意拖延时间搜查孟晚舟，请问中方对此有何评论？赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿 ​  展开全文c	2020年08月17日 17:45		1	5	https://weibo.com/3858832626/JglHX0TM7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglHX0TM7?uid=3858832626&rl=1
湖北爱乐广播	2825068954	JglHSui0d	【#外交部回应加拿大与FBI合谋搜查孟晚舟# 】赵立坚表示，中方在孟晚舟事件上的立场是一贯和明确的。目前已披露的相关证据充分表明，美国和加拿大滥用双边引渡条约，对中国公民任意采取强制措施，严重侵犯了中国公民的合法权益。美方的目的是打压中国高技术企业和华为公司，加拿大扮演了美方帮凶的角 ​  展开全文c	2020年08月17日 17:45		评论		https://weibo.com/2825068954/JglHSui0d?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglHSui0d?uid=2825068954&rl=1
