用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
简图图简	5486327584	Jk6lrpYTT	#多地国庆酒店预订量翻倍#学校不放假我气死 ​	2020年09月11日 09:59			1	https://weibo.com/5486327584/Jk6lrpYTT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6lrpYTT?uid=5486327584&rl=1
南海网	2355965410	Jk6llh345	【#十一黄金周或迎报复性旅游#】#多地国庆酒店预订量翻倍#今年“十一”假期跟中秋节叠加形成8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。去哪儿平台数据显示，大理、丽江、西安、三亚、毕节等多个城市酒店预订量同比翻倍。为了“抢人”，携程、飞猪等 ​  展开全文c	2020年09月11日 09:59		1		https://weibo.com/2355965410/Jk6llh345?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6llh345?uid=2355965410&rl=1
文教艺在线	5592704247	Jk6lfyv8h	【#十一黄金周或迎报复性旅游#】#多地国庆酒店预订量翻倍#今年“十一”假期跟中秋节叠加形成8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。去哪儿平台数据显示，大理、丽江、西安、三亚、毕节等多个城市酒店预订量同比翻倍。为了“抢人”，携程、飞猪等 ​  展开全文c	2020年09月11日 09:59			1	https://weibo.com/5592704247/Jk6lfyv8h?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6lfyv8h?uid=5592704247&rl=1
大迪八斤多	6334772196	Jk6l8vfjM	#多地国庆酒店预订量翻倍#俺也订好了车票和酒店可出不出的去就又是一回事了 ​	2020年09月11日 09:59		8	3	https://weibo.com/6334772196/Jk6l8vfjM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6l8vfjM?uid=6334772196&rl=1
简简单单_愿	3402206704	Jk6kKwV6d	#多地国庆酒店预订量翻倍#我愿意躺在沙发一天，在朋友圈刷刷全国各地的景点 ​	2020年09月11日 09:58			1	https://weibo.com/3402206704/Jk6kKwV6d?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6kKwV6d?uid=3402206704&rl=1
陕西消防	3334142714	Jk6kC1e1Q	#多地国庆酒店预订量翻倍# 【入住酒店、宾馆 不能瘫倒就睡～一定要注意安全】我们入住酒店房间后，一定要认真查看疏散路线、安全标志、灭火设施，这样遇到突发情况时，逃生的几率会大大提升。快戳视频↓↓↓  L陕西消防的秒拍视频 ​	2020年09月11日 09:57	6		1	https://weibo.com/3334142714/Jk6kC1e1Q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6kC1e1Q?uid=3334142714&rl=1
百万庄通讯社官微	5654253203	Jk6kr7pnY	【 #十一黄金周或迎报复性旅游# 】#多地国庆酒店预订量翻倍# 今年“十一”假期跟中秋节叠加形成8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。去哪儿平台数据显示，大理、丽江、西安、三亚、毕节等多个城市酒店预订量同比翻倍。为了“抢人”，携程、飞猪 ​  展开全文c	2020年09月11日 09:57		评论		https://weibo.com/5654253203/Jk6kr7pnY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6kr7pnY?uid=5654253203&rl=1
长心愿	2622005154	Jk6jVpNdF	#多地国庆酒店预订量翻倍#注意一点，出去玩玩还是可以的，总不能因噎废食 ​	2020年09月11日 09:56			2	https://weibo.com/2622005154/Jk6jVpNdF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6jVpNdF?uid=2622005154&rl=1
吉林政法声音	5908184802	Jk6jJCJ1e	【#多地国庆酒店预订量翻倍#，你准备去哪？】即将到来的“十一”假期非常特别，不仅与中秋节叠加形成长达8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。为此，旅游行业铆足了劲“抢人”，线上旅游企业打起了补贴战，而线下多地掀起景区门票降价潮，一个 ​  展开全文c	2020年09月11日 09:55		1		https://weibo.com/5908184802/Jk6jJCJ1e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6jJCJ1e?uid=5908184802&rl=1
Amonologue0805	5048382993	Jk6jJk2oj	#多地国庆酒店预订量翻倍#大学生连校门都出不了，真可笑 ​	2020年09月11日 09:55			2	https://weibo.com/5048382993/Jk6jJk2oj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6jJk2oj?uid=5048382993&rl=1
华尔财经	6535105254	Jk6jGoTiq	中秋+国庆加长版假期来临#十一黄金周或迎报复性旅游#“由于今年春节及“五一”假期，受疫情影响，人们大多是在家里宅着，再加上今年国庆黄金周是加长版的8天，各地疫情已经得到有效控制，人们出游的热情被点燃，出游的愿望得到释放，旅游行业有望得到“报复性”反弹。哪儿平台数据显示，大理、丽江、西 ​  展开全文c	2020年09月11日 09:55	304	160	522	https://weibo.com/6535105254/Jk6jGoTiq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6jGoTiq?uid=6535105254&rl=1
少儿编程公益平台-天府星辰	7435165114	Jk6jqaZqD	#多地国庆酒店预订量翻倍#此次黄金周连同中秋节，又恰逢国内疫情平稳，憋了大半年的中国人，要出去玩耍啦。预计今年国庆黄金周各旅游景点人海将比往年更密集一些。中国少儿编程公益平台官网：O网页链接 ​	2020年09月11日 09:54		评论		https://weibo.com/7435165114/Jk6jqaZqD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6jqaZqD?uid=7435165114&rl=1
948交通广播	6859129925	Jk6jnbs1X	【#多地国庆酒店预订量翻倍#，你准备去哪？】即将到来的“十一”假期非常特别，不仅与中秋节叠加形成长达8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。为此，旅游行业铆足了劲“抢人”，线上旅游企业打起了补贴战，而线下多地掀起景区门票降价潮，一个 ​  展开全文c	2020年09月11日 09:54		评论		https://weibo.com/6859129925/Jk6jnbs1X?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6jnbs1X?uid=6859129925&rl=1
新浪湖南	2311694415	Jk6j59XQf	#多地国庆酒店预订量翻倍# #十一出游好去处# 今年“十一”假期跟中秋节叠加形成8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。今年国庆你会选择出去玩吗？ 今年国庆你会选择出去玩吗？ ​	2020年09月11日 09:54		1	140	https://weibo.com/2311694415/Jk6j59XQf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6j59XQf?uid=2311694415&rl=1
今年可太难了	5777757386	Jk6j2tayI	#多地国庆酒店预订量翻倍# 也想出去玩 ​	2020年09月11日 09:53		评论		https://weibo.com/5777757386/Jk6j2tayI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6j2tayI?uid=5777757386&rl=1
河北长安网	6155344804	Jk6iXcn3I	【#十一黄金周或迎报复性旅游#】#多地国庆酒店预订量翻倍#今年“十一”假期跟中秋节叠加形成8天的超级黄金周，而且是在疫情防控常态化下今年最后一个法定假期，憋坏了的民众出游热情高涨。去哪儿平台数据显示，大理、丽江、西安、三亚、毕节等多个城市酒店预订量同比翻倍。为了“抢人”，携程、飞猪等 ​  展开全文c	2020年09月11日 09:53		评论		https://weibo.com/6155344804/Jk6iXcn3I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6iXcn3I?uid=6155344804&rl=1
张家de小不点	6091036824	Jk6iM0XIo	#多地国庆酒店预订量翻倍#校门都出不去   谈什么旅游 ​	2020年09月11日 09:53		1	12	https://weibo.com/6091036824/Jk6iM0XIo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk6iM0XIo?uid=6091036824&rl=1
