用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
陇南成县法院	3937596775	Jc4EDdrDf	【火车被迫急刹！#大学生铁轨上摆拍逼停火车被处罚#】17日，3名大学生跑进铁路货场，站在铁轨上各种摆拍，一列正启动的货物列车紧急制动停车。因为影响列车运输安全，3名大学生被厦门铁路公安处依法予以行政处罚，并受到批评教育。民警表示，“运行的列车刹车距离长，稍有不慎，后果将不堪设想。”via ​  展开全文c	2020年07月20日 14:59		评论		https://weibo.com/3937596775/Jc4EDdrDf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4EDdrDf?uid=3937596775&rl=1
阿·琳哒哒	5656126163	Jc4Ep5QA3	#大学生铁轨上摆拍逼停火车被处罚#受过高等教育的你，这么没有安全意识么？居然逼停火车！！！！ ​	2020年07月20日 14:58		2	3	https://weibo.com/5656126163/Jc4Ep5QA3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4Ep5QA3?uid=5656126163&rl=1
甜甜的多巴胺Crazy	6360828407	Jc4EgsaFl	#大学生铁轨上摆拍逼停火车被处罚#还是大学生呢，怎么一点安全意识都没有？看看铁轨下的正能量吧！这个才是应该被学习的！看的都心惊肉跳 L萌萌哒bot的微博视频 ​	2020年07月20日 14:58	52	261	3732	https://weibo.com/6360828407/Jc4EgsaFl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4EgsaFl?uid=6360828407&rl=1
广州检察	3042569007	Jc4E9C6BO	【火车被迫急刹！#大学生铁轨上摆拍逼停火车被处罚#】17日，3名大学生跑进铁路货场，站在铁轨上各种摆拍，一列正启动的货物列车紧急制动停车。因为影响列车运输安全，3名大学生被厦门铁路公安处依法予以行政处罚，并受到批评教育。民警表示，“运行的列车刹车距离长，稍有不慎，后果将不堪设想。” ​	2020年07月20日 14:58	1	2		https://weibo.com/3042569007/Jc4E9C6BO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4E9C6BO?uid=3042569007&rl=1
内蒙古晨报	1844967414	Jc4E8tsTz	【火车被迫急刹！#大学生铁轨上摆拍逼停火车被处罚#】17日，3名大学生跑进铁路货场，站在铁轨上各种摆拍，一列正启动的货物列车紧急制动停车。因为影响列车运输安全，3名大学生被厦门铁路公安处依法予以行政处罚，并受到批评教育。民警表示，“运行的列车刹车距离长，稍有不慎，后果将不堪设想。” ​  展开全文c	2020年07月20日 14:58	1	1	2	https://weibo.com/1844967414/Jc4E8tsTz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4E8tsTz?uid=1844967414&rl=1
千万恒星的温暖	3173201822	Jc4DYpBoe	#大学生铁轨上摆拍逼停火车被处罚#是智障吧？ ​	2020年07月20日 14:57		评论		https://weibo.com/3173201822/Jc4DYpBoe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4DYpBoe?uid=3173201822&rl=1
城市晚报官方微博	1735221154	Jc4DKeDSP	【火车被迫急刹！#大学生铁轨上摆拍逼停火车被处罚#】17日，3名大学生跑进铁路货场，站在铁轨上各种摆拍，一列正启动的货物列车紧急制动停车。因为影响列车运输安全，3名大学生被厦门铁路公安处依法予以行政处罚，并受到批评教育。民警表示，“运行的列车刹车距离长，稍有不慎，后果将不堪设想。” ​	2020年07月20日 14:57		评论		https://weibo.com/1735221154/Jc4DKeDSP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4DKeDSP?uid=1735221154&rl=1
西南铁路	1919955065	Jc4DH1VQq	【火车被迫急刹！#大学生铁轨上摆拍逼停火车被处罚#】17日，3名大学生跑进铁路货场，站在铁轨上各种摆拍，一列正启动的货物列车紧急制动停车。因为影响列车运输安全，3名大学生被厦门铁路公安处依法予以行政处罚，并受到批评教育。民警表示，“运行的列车刹车距离长，稍有不慎，后果将不堪设想。” ​  展开全文c	2020年07月20日 14:56	3	1	3	https://weibo.com/1919955065/Jc4DH1VQq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4DH1VQq?uid=1919955065&rl=1
随县检察	5154690841	Jc4Du2VgU	【火车被迫急刹！#大学生铁轨上摆拍逼停火车被处罚#】17日，3名大学生跑进铁路货场，站在铁轨上各种摆拍，一列正启动的货物列车紧急制动停车。因为影响列车运输安全，3名大学生被厦门铁路公安处依法予以行政处罚，并受到批评教育。民警表示，“运行的列车刹车距离长，稍有不慎，后果将不堪设想。”（央 ​  展开全文c	2020年07月20日 14:56		6	3	https://weibo.com/5154690841/Jc4Du2VgU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4Du2VgU?uid=5154690841&rl=1
成都农业	3315135442	Jc4CxfMf2	#大学生铁轨上摆拍逼停火车被处罚#【“玩命”自拍要不得！】蜀黍提醒大家在拍照合影时，要留意周边环境，切勿在危险区域拍照，安全第一！ ​ ​​​​（四川消防） ​	2020年07月20日 14:54	2		1	https://weibo.com/3315135442/Jc4CxfMf2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jc4CxfMf2?uid=3315135442&rl=1
