用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
L-Priscilla	6256729396	Jeb4u9jvv	#大连新增本土确诊8例#快好起来吧！！！🙏 ​	2020年08月03日 11:00		评论		https://weibo.com/6256729396/Jeb4u9jvv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb4u9jvv?uid=6256729396&rl=1
央视财经	2258727970	Jeb4tkuc6	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。 ​	2020年08月03日 10:59	1		17	https://weibo.com/2258727970/Jeb4tkuc6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb4tkuc6?uid=2258727970&rl=1
月月鸟原忠实粉丝2w	6935352839	Jeb4tjmf4	#大连新增本土确诊8例#大连加油 ​	2020年08月03日 10:59			1	https://weibo.com/6935352839/Jeb4tjmf4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb4tjmf4?uid=6935352839&rl=1
青年之声	5892537259	Jeb4npQVo	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。（总台央视记者李承泽） ​	2020年08月03日 10:59		评论		https://weibo.com/5892537259/Jeb4npQVo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb4npQVo?uid=5892537259&rl=1
酸甜小幂果	6787474401	Jeb4hvdub	刺猬猫的小天地#大连新增本土确诊8例#美丽大连加油 早日清零！疫情真是持久战了🙏🙏希望国泰民安！ ​	2020年08月03日 10:59			1	https://weibo.com/6787474401/Jeb4hvdub?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb4hvdub?uid=6787474401&rl=1
川西监狱	6941790656	Jeb3VzRsq	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。（总台央视记者李承泽） ​@央视新闻 @法治四川 @四川监狱 ​	2020年08月03日 10:58			4	https://weibo.com/6941790656/Jeb3VzRsq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb3VzRsq?uid=6941790656&rl=1
新浪大连健康频道	3260108625	Jeb3NkFu1	#大连战疫# 【#大连新增本土确诊8例#】大连疫情防控新闻发布会通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。来源：@央视新闻 ​	2020年08月03日 10:58		评论		https://weibo.com/3260108625/Jeb3NkFu1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb3NkFu1?uid=3260108625&rl=1
正义南康	2414369130	Jeb3Ahiui	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。（总台央视记者李承泽） ​​​	2020年08月03日 10:57	3	8	12	https://weibo.com/2414369130/Jeb3Ahiui?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb3Ahiui?uid=2414369130&rl=1
天津地铁运营	2490830195	Jeb3bajIZ	#天津地铁全面启动疫情防控# 今日份安全感#大连新增本土确诊8例# ​	2020年08月03日 10:56			5	https://weibo.com/2490830195/Jeb3bajIZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb3bajIZ?uid=2490830195&rl=1
西安网	2618630987	Jeb3bbpS5	【大连市卫健委：#未发现本次大连疫情与近期北京新疆病例有关联#】本次疫情由境外输入引起的可能性不能排除，来自凯洋公司内外样本的病毒基因序列高度同源，表示本次大连疫情为同一个链条，未发现本次疫情与近期的北京、新疆的病例有相关关联的线索。   病例标本的基因测序结果，显示与我国本土流行 ​  展开全文c	2020年08月03日 10:56	1	1	1	https://weibo.com/2618630987/Jeb3bbpS5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb3bbpS5?uid=2618630987&rl=1
国民不得不看	6041830326	Jeb2W8l8T	#大连抗疫##大连新增本土确诊8例#女儿战斗在抗“疫”一线，爸爸带着满满的牵挂突然出现……谢谢默默工作的白衣天使跟所有工作人员还有她们的家属！加油大连！ L国民不得不看的微博视频 ​	2020年08月03日 10:56	3		7	https://weibo.com/6041830326/Jeb2W8l8T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2W8l8T?uid=6041830326&rl=1
营养医师王兴国	1421067881	Jeb2Ve11l	#大连新增本土确诊8例# 大连本轮疫情起源于凯洋海鲜公司加工车间（境外输入），与之前国内疫情（乌鲁木齐、新疆、北京新发地，舒兰、哈尔滨、绥芬河等）无关。 2大连 ​	2020年08月03日 10:56		1	9	https://weibo.com/1421067881/Jeb2Ve11l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2Ve11l?uid=1421067881&rl=1
六盘水市检察院	3920964508	Jeb2U4ftt	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。 ​	2020年08月03日 10:56		评论		https://weibo.com/3920964508/Jeb2U4ftt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2U4ftt?uid=3920964508&rl=1
资深肉包子	1361697115	Jeb2M3kQM	#大连新增本土确诊8例#总觉得全员核酸后，胜利在望了呢想7号出门抢秋膘 2大连 ​	2020年08月03日 10:55		9	12	https://weibo.com/1361697115/Jeb2M3kQM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2M3kQM?uid=1361697115&rl=1
小熊趴在被窝	7312666174	Jeb2LrHPl	#大连新增本土确诊8例#大连加油！ ​	2020年08月03日 10:55		评论		https://weibo.com/7312666174/Jeb2LrHPl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2LrHPl?uid=7312666174&rl=1
榨菜泡剧	1764147990	Jeb2ujte4	#大连新增本土确诊8例#有所下降了，大连加油🙏 ​	2020年08月03日 10:55			1	https://weibo.com/1764147990/Jeb2ujte4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2ujte4?uid=1764147990&rl=1
爱看头条	1892327960	Jeb2skS5A	#大连新增本土确诊8例#【大连卫健委：#大连疫情由境外输入引起可能性不能排除#】8月3日，大连市政府新闻办召开新闻发布会，大连市政府副秘书长、市卫健委主任赵作伟介绍新冠肺炎疫情防控工作最新情况。赵作伟介绍，本次疫情由境外输入引起的可能性不能排除，来自凯洋公司内外样本的病毒基因序列高度同 ​  展开全文c	2020年08月03日 10:55			3	https://weibo.com/1892327960/Jeb2skS5A?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2skS5A?uid=1892327960&rl=1
凌儿生活要开心	5437113589	Jeb2rrCOL	#大连新增本土确诊8例#大连加油…… ​	2020年08月03日 10:54			1	https://weibo.com/5437113589/Jeb2rrCOL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2rrCOL?uid=5437113589&rl=1
新之助与风间澈	6209918401	Jeb2nwG6N	#大连新增本土确诊8例#我有个朋友在大连上学，他想问什么时候可以开学 ​	2020年08月03日 10:54		评论		https://weibo.com/6209918401/Jeb2nwG6N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2nwG6N?uid=6209918401&rl=1
呼和浩特共青团	2574125182	Jeb2n0ML5	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。（总台央视记者李承泽） ​ ​​​​	2020年08月03日 10:54		评论		https://weibo.com/2574125182/Jeb2n0ML5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2n0ML5?uid=2574125182&rl=1
用户6966620592	6966620592	Jeb2joyii	#大连新增本土确诊8例# 2大连 ​	2020年08月03日 10:54			1	https://weibo.com/6966620592/Jeb2joyii?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2joyii?uid=6966620592&rl=1
最爱福州	5364020718	Jeb2j6VoE	#大连新增本土确诊8例#本次疫情是与冷链海鲜产品加工相关的聚集性暴发，通过初步流行病学调查发现，本次疫情最早于7月9日发病 ，凯洋海鲜公司的病例发病时间早于该公司之外的病例，提示本次疫情可能起始于凯洋公司海鲜加工车间！ ​	2020年08月03日 10:54	1		5	https://weibo.com/5364020718/Jeb2j6VoE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb2j6VoE?uid=5364020718&rl=1
小米大咖	2169306777	Jeb1ShUPK	#大连新增本土确诊8例#  ​8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。小米叙事精密防控，全员动员，坚决打赢疫情的健康保卫战，大连加油！ ​	2020年08月03日 10:53	47	19	49	https://weibo.com/2169306777/Jeb1ShUPK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb1ShUPK?uid=2169306777&rl=1
北方的南先森	5818506422	Jeb1JksqH	#大连新增本土确诊8例#希望疫情早日结束，一定要做好防控措施，早日战胜疫情 ​！ ​	2020年08月03日 10:53		2		https://weibo.com/5818506422/Jeb1JksqH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb1JksqH?uid=5818506422&rl=1
正安县检察院	6050894051	Jeb1k1ppi	【#大连新增本土确诊8例#】#大连疫情防控新闻发布会#通报：8月2日0时至24时，大连市新增8例本土新冠肺炎确诊病例。7月22日0时至8月2日24时，大连累计确诊87例本土病例。（来源：@央视新闻 ） ​	2020年08月03日 10:52		评论		https://weibo.com/6050894051/Jeb1k1ppi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb1k1ppi?uid=6050894051&rl=1
忆愆Hibiscus	2878958482	Jeb1j4QdY	#大连新增本土确诊8例#希望不再增加，祝好 ​	2020年08月03日 10:52		评论		https://weibo.com/2878958482/Jeb1j4QdY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeb1j4QdY?uid=2878958482&rl=1
