用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
空林抱霜归	6336148883	Jecfv7Q8k	#大连疫情可能始于海产品加工车间#那又是从哪里到大连的呢，还有全国其他地方嘞？真的好想有上帝视角啊 ​	2020年08月03日 13:59		2	1	https://weibo.com/6336148883/Jecfv7Q8k?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jecfv7Q8k?uid=6336148883&rl=1
满目寅河	3961997107	Jecfllx4R	#大连疫情可能始于海产品加工车间#啊，希望能加强食品安全管理，也希望尽快解决问题，工人们也要注意安全！谢可寅宝贝也要注意饮食！@THE9-谢可寅 ​	2020年08月03日 13:59		评论		https://weibo.com/3961997107/Jecfllx4R?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jecfllx4R?uid=3961997107&rl=1
937江苏新闻广播	1746067030	JecfjAaog	【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情主要是与冷冻海鲜产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月9日发病，凯洋海鲜公司病例的发病时间早于该公司 ​  展开全文c	2020年08月03日 13:59			1	https://weibo.com/1746067030/JecfjAaog?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JecfjAaog?uid=1746067030&rl=1
紧急呼叫	1951123110	JecfjCnZK	【#大连疫情可能始于海产品加工车间#】8月3日，大连市卫健委主任赵作伟表示，本次疫情最早于7月9日发病，凯洋海鲜公司的病例发病时间早于公司以外的病例，本次疫情可能起始于凯洋海鲜公司的海鲜加工车间，根据病例标本的基因测序结果，初步排除国内本地病例传播的可能。#聚焦新冠肺炎疫情#  ​  展开全文c	2020年08月03日 13:59	3	2	6	https://weibo.com/1951123110/JecfjCnZK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JecfjCnZK?uid=1951123110&rl=1
共青团广安市委	2703419987	JecfcwUBN	【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情主要是与冷冻海鲜产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月9日发病，凯洋海鲜公司病例的发病时间早于该公司 ​  展开全文c	2020年08月03日 13:59			3	https://weibo.com/2703419987/JecfcwUBN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JecfcwUBN?uid=2703419987&rl=1
深圳网警	1977889537	JecfabdS5	【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情主要是与冷冻海鲜产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月9日发病，凯洋海鲜公司病例的发病时间早于该公司 ​  展开全文c	2020年08月03日 13:59		1	4	https://weibo.com/1977889537/JecfabdS5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JecfabdS5?uid=1977889537&rl=1
最南充	1774114510	JeceJhMkR	【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍疫情防控最新工作情况。赵作伟介绍，本次疫情主要是与冷冻海鲜产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月9日发病，凯 ​  展开全文c	2020年08月03日 13:57		评论		https://weibo.com/1774114510/JeceJhMkR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeceJhMkR?uid=1774114510&rl=1
新浪山东头条	1870549587	JeceuvelK	【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情主要是与冷冻海鲜产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月9日发病，凯洋海鲜公司病例的发病时间早于该公司 ​  展开全文c	2020年08月03日 13:57		评论		https://weibo.com/1870549587/JeceuvelK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeceuvelK?uid=1870549587&rl=1
哈尔滨政法	7340786255	Jece8C5DN	【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情主要是与冷冻海鲜产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月9日发病，凯洋海鲜公司病例的发病时间早于该公司 ​  展开全文c	2020年08月03日 13:56		评论		https://weibo.com/7340786255/Jece8C5DN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jece8C5DN?uid=7340786255&rl=1
f南斋孤云	5566262138	JecdU9wgl	#大连疫情可能始于海产品加工车间# 是不是外国的病毒经过海产品带过来了 ​	2020年08月03日 13:55		评论		https://weibo.com/5566262138/JecdU9wgl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JecdU9wgl?uid=5566262138&rl=1
宋中清主任律师	2726417763	JecdRccDt	肺炎#疫情大连##海鲜肺炎# @人民日报 【大连卫健委：#大连疫情可能始于海产品加工车间#】8月3日，大连市政府新闻办召开新闻发布会，市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情主要是与#冷冻海鲜#产品加工处理场所相关的聚集性暴发。通过初步流行病学调查发现，本次疫情中病例最早于7月 ​  展开全文c	2020年08月03日 13:55		12	3	https://weibo.com/2726417763/JecdRccDt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JecdRccDt?uid=2726417763&rl=1
