用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
吒宝儿	2649691994	JfQLUzSYy	#女孩免费给农村女性化妆#好暖心啊其实每一个女孩子都很美在生活的辛劳之外都有着向往美的灵魂化妆师小姐姐真好这才用行动传递正能量曾可妮，你觉得呢@曾可妮Jenny-Z ​ ​​​	2020年08月14日 10:59			2	https://weibo.com/2649691994/JfQLUzSYy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLUzSYy?uid=2649691994&rl=1
新浪宁波	1767760462	JfQLUyNBP	#热门新闻#【#女孩免费给农村女性化妆# 变妆前后对比令人泪目】出生湖南农村的娟子发现农村里很多女性一辈子没化过妆，于是开始免费为她们化妆。这些农村姑姑婶婶从灶台边、田地里停下农活，穿上压箱底的新衣服，笑着拍照的样子让人泪目。娟子说，希望通过此举让大家多多关注留守妻子（大 ​  展开全文c	2020年08月14日 10:59			7	https://weibo.com/1767760462/JfQLUyNBP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLUyNBP?uid=1767760462&rl=1
财经早餐	1402901591	JfQLSc2oK	【你比想象中更美！#女孩免费给农村女性化妆#，变妆前后对比令人泪目】出生湖南农村的娟子发现农村里很多女性一辈子没化过妆，于是开始免费为她们化妆。这些农村姑姑婶婶从灶台边、田地里停下农活，穿上压箱底的新衣服，笑着拍照的样子让人泪目。娟子说，希望通过此举让大家多多关注留守妻子。 ​  展开全文c	2020年08月14日 10:59		1	9	https://weibo.com/1402901591/JfQLSc2oK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLSc2oK?uid=1402901591&rl=1
西安电视台官方微博	2183542485	JfQLQEXVn	【#统计局称粮食库存比较充足# 食品价格稳定有基础】#你好,我的城# 国家统计局新闻发言人付凌晖今天（14日）在新闻发布会上表示，中国已经连续5年粮食生产稳定在1.3万亿斤以上，目前看我们的粮食库存比较充足。今年的夏粮也实现了丰收，创历史新高，夏粮产量比上年增长0.9%。总的看，这些年农业投入逐 ​  展开全文c	2020年08月14日 10:59		1		https://weibo.com/2183542485/JfQLQEXVn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLQEXVn?uid=2183542485&rl=1
-红柚气泡酒	6384100332	JfQLMkIyX	#女孩免费给农村女性化妆#每个女人都爱美 只是因为生活的责任让她们没有太多的时间在乎自己的外貌 很喜欢 感动 爱了 ​	2020年08月14日 10:59		评论		https://weibo.com/6384100332/JfQLMkIyX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLMkIyX?uid=6384100332&rl=1
芝士鱼头泡饼	7432889856	JfQLKydbm	#女孩免费给农村女性化妆#自信的女性是最美的！化妆是为了取悦自己🥰 ​	2020年08月14日 10:59		评论		https://weibo.com/7432889856/JfQLKydbm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLKydbm?uid=7432889856&rl=1
在长沙	1935622204	JfQLGnQnn	【#女孩免费给农村女性化妆#，变妆前后对比令人泪目】出生湖南农村的娟子发现农村里很多女性一辈子没化过妆，于是开始免费为她们化妆。这些农村姑姑婶婶从灶台边、田地里停下农活，穿上压箱底的新衣服，笑着拍照的样子让人泪目。娟子说，希望通过此举让大家多多关注留守妻子。L大米Video的微博视频 ​	2020年08月14日 10:59		5	26	https://weibo.com/1935622204/JfQLGnQnn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLGnQnn?uid=1935622204&rl=1
橘子酒coconut	6010840866	JfQLqb3XP	#女孩免费给农村女性化妆#小姐姐好温暖  爱美之心人皆有之 每个人都有追求美的权利啊 ​	2020年08月14日 10:58		评论		https://weibo.com/6010840866/JfQLqb3XP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLqb3XP?uid=6010840866&rl=1
红袖依然是那个红袖	1031674904	JfQLllNpV	#女孩免费给农村女性化妆#人人都有追求美的权利，为这个善良的女孩的行动点赞！L大米Video的微博视频 ​	2020年08月14日 10:58			1	https://weibo.com/1031674904/JfQLllNpV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLllNpV?uid=1031674904&rl=1
因素造就芭蕾	5543405062	JfQLi6QFN	#女孩免费给农村女性化妆#你比想像中美，每个女孩都应该自信快乐，我们都是世界独一无二的那一个人，啊啊啊啊啊啊啊啊@硬糖少女303-赵粤 赵粤 ​	2020年08月14日 10:58		评论		https://weibo.com/5543405062/JfQLi6QFN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLi6QFN?uid=5543405062&rl=1
漫展网	1807555831	JfQLg2MO1	#女孩免费给农村女性化妆#多理解农村的运行方式？这样会产生什么影响，或者想想怎么创造条件为农村的女性创造一生都有的化妆可能性条件？renzhongerdaoyuan ​	2020年08月14日 10:58			1	https://weibo.com/1807555831/JfQLg2MO1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLg2MO1?uid=1807555831&rl=1
梅州日报	2292881562	JfQLdEDLE	【你比想象中更美！#女孩免费给农村女性化妆#，变妆前后对比令人泪目】出生湖南农村的娟子发现农村里很多女性一辈子没化过妆，于是开始免费为她们化妆。这些农村姑姑婶婶从灶台边、田地里停下农活，穿上压箱底的新衣服，笑着拍照的样子让人泪目。娟子说，希望通过此举让大家多多关注留守妻子。  ​  展开全文c	2020年08月14日 10:58		1	6	https://weibo.com/2292881562/JfQLdEDLE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLdEDLE?uid=2292881562&rl=1
婚姻与家庭杂志	1216388575	JfQLavfCB	【你比想象中更美！#女孩免费给农村女性化妆#，变妆前后对比令人泪目】出生湖南农村的娟子发现农村里很多女性一辈子没化过妆，于是开始免费为她们化妆。这些农村姑姑婶婶从灶台边、田地里停下农活，穿上压箱底的新衣服，笑着拍照的样子让人泪目。娟子说，希望通过此举让大家多多关注留守妻子。 ​  展开全文c	2020年08月14日 10:58		评论		https://weibo.com/1216388575/JfQLavfCB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQLavfCB?uid=1216388575&rl=1
娇100	1081611391	JfQL7spUY	#女孩免费给农村女性化妆#给这位善良的女孩儿点赞 ​	2020年08月14日 10:57		评论		https://weibo.com/1081611391/JfQL7spUY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQL7spUY?uid=1081611391&rl=1
美人娟娟隔秋水Juan	3911615877	JfQL7bULn	#女孩免费给农村女性化妆#好棒啊！ ​	2020年08月14日 10:57		评论		https://weibo.com/3911615877/JfQL7bULn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQL7bULn?uid=3911615877&rl=1
螺蛳粉熟了吗·	6071883749	JfQL6jMbT	#女孩免费给农村女性化妆#女孩也太美太心善了吧！也太好了吧 ​	2020年08月14日 10:57			1	https://weibo.com/6071883749/JfQL6jMbT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQL6jMbT?uid=6071883749&rl=1
股票价值投机-凡特牛	6359578980	JfQL6hBHV	最近准备把座驾卖掉，全仓投入股市希望最后回来的时候变成一辆保时捷大家觉得靠不靠谱？#女孩免费给农村女性化妆# 2成都·西南交大 ​	2020年08月14日 10:57		4	1	https://weibo.com/6359578980/JfQL6hBHV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQL6hBHV?uid=6359578980&rl=1
