用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
最滁州	6334154929	JhRGmhqYj	#学了五年动画的同学毕业了# 果然，动画片没有骗我们L爱拍视频的微博视频 ​	2020年08月27日 16:59			10	https://weibo.com/6334154929/JhRGmhqYj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRGmhqYj?uid=6334154929&rl=1
欧美流行音乐精选	6041830261	JhRGi9hKb	哈哈哈哈哈哈哈哈哈哈哈哈！你们知道这是哪部电视剧吗？这技术我学不来！#学了五年动画的同学毕业了# L欧美流行音乐精选的微博视频 ​	2020年08月27日 16:59	3	4	15	https://weibo.com/6041830261/JhRGi9hKb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRGi9hKb?uid=6041830261&rl=1
AdamDh	5238544200	JhRGhawYu	#学了五年动画的同学毕业了#哈哈哈哈哈 我现在搞模型了 2德阳 ​	2020年08月27日 16:59		评论		https://weibo.com/5238544200/JhRGhawYu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRGhawYu?uid=5238544200&rl=1
沐离子方程式	7387249202	JhRG8jH6a	#学了五年动画的同学毕业了#我记得几年前上过一次热搜了这个 ​	2020年08月27日 16:59		评论		https://weibo.com/7387249202/JhRG8jH6a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRG8jH6a?uid=7387249202&rl=1
成华残联	3243469590	JhRG3haN9	#学了五年动画的同学毕业了# 草稿流简约动画，很有感觉哦 L晚来风祐的微博视频 ​	2020年08月27日 16:58			4	https://weibo.com/3243469590/JhRG3haN9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRG3haN9?uid=3243469590&rl=1
津彩青春	3074181393	JhRFX9nIm	#学了五年动画的同学毕业了# 【厦门的一对#90后夫妻将动漫美食搬进现实#】据丈夫陈先生介绍，自己和妻子从小就喜欢动漫，尤其是动漫里的美食场景。陈先生说，拍一个视频一般需要三到四个小时，整个过程由他和妻子二人协作完成，二人分工明确。  L未来网的微博视频 ​	2020年08月27日 16:58	2		11	https://weibo.com/3074181393/JhRFX9nIm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRFX9nIm?uid=3074181393&rl=1
新津科协	3482611392	JhRFSDRmi	#学了五年动画的同学毕业了# 哈哈哈哈你为什么穿品如的衣服L大学生发言bot的微博视频 ​	2020年08月27日 16:58			1	https://weibo.com/3482611392/JhRFSDRmi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRFSDRmi?uid=3482611392&rl=1
地上人児	2138071263	JhRF98ECA	#学了五年动画的同学毕业了#现在微博好多热点都是某音🔥过的了是不是 ​	2020年08月27日 16:56		2		https://weibo.com/2138071263/JhRF98ECA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRF98ECA?uid=2138071263&rl=1
可爱又迷人的努力	6508848351	JhRF5lnXZ	#学了五年动画的同学毕业了#  要被这个话题笑死 ​	2020年08月27日 16:56		评论		https://weibo.com/6508848351/JhRF5lnXZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRF5lnXZ?uid=6508848351&rl=1
xxxxxxuly	5468937843	JhRF2kMPR	#学了五年动画的同学毕业了#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了@硬糖少女303-赵粤 赵粤，来看好笑的 ​	2020年08月27日 16:56			2	https://weibo.com/5468937843/JhRF2kMPR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRF2kMPR?uid=5468937843&rl=1
