原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	十里牌人	5864845461	十里牌人:转发微博	赞[1]	2020-08-06 11:42:21	来自荣耀Play3
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	杨春湛	519449678	杨春湛:转发微博	赞[1]	2020-08-06 11:42:15	来自荣耀V10 我AI的快
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	南诏江夏2012	747267842	南诏江夏2012:转发微博	赞[0]	2020-08-06 11:43:22	来自Redmi K30 5G先锋
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	你龙不扛揍	7280706410	你龙不扛揍:干	赞[0]	2020-08-06 11:43:09	来自OnePlus 7 Pro
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	横县镇龙发布	5559714485	横县镇龙发布:@横县发布	赞[0]	2020-08-06 11:42:59	来自360安全浏览器
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	四月天liang	5493565154	四月天liang:转发微博	赞[0]	2020-08-06 11:42:57	来自iPhone客户端
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	Ecnahc_love	3737974870	Ecnahc_love:来看！	赞[0]	2020-08-06 11:42:56	来自nova7你在焦点在
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	wwwenya	wwwenya	wwwenya:转发微博	赞[0]	2020-08-06 11:42:36	来自iPhone客户端
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	西安欧利网络传媒	3916539973	西安欧利网络传媒:#西安欧利发布[超话]# [围观]#六稳六保#	赞[0]	2020-08-06 11:42:23	来自iPhone客户端
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	我是一大颗椰子	2129847175	我是一大颗椰子:转发微博	赞[0]	2020-08-06 11:42:22	来自💕🥥的iPhone X
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	横琴检察	hqjcy	横琴检察:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？	赞[0]	2020-08-06 11:42:21	来自HUAWEI Mate 20 Pro
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	淋雨不了情5871	6331269610	淋雨不了情5871:转发微博	赞[1]	2020-08-06 11:45:05	来自荣耀V10 我AI的快
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	逆风6056887950	6056887950	逆风6056887950:转发微博	赞[0]	2020-08-06 11:44:59	来自微博原生直播
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	lingh0	lingh0	lingh0:转发微博	赞[0]	2020-08-06 11:44:57	来自iPad客户端
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	分手ba	5870335927	分手ba:@央视新闻 ... ...🤓 🤓🤓🤓...	赞[1]	2020-08-06 11:44:19	来自HUAWEI nova 3i
央视新闻	:【《相对论》正在播出！下半年，怎么干？】①#宁吉喆说下半年最大挑战是稳就业#，就业怎么稳？②北大国家发展研究院教授陈春花聊企业生存，什么是“必过之坎”？③#张文宏谈疫情曲线#，今后防疫有哪些关键节点？看↓转发直播，将有机会获得央视新闻定制礼品！央视新闻的微博视频 .  抽奖详情	2020-08-06 11:41:09    	梦君无泪	6042660321	梦君无泪:转发微博	赞[0]	2020-08-06 11:43:41	来自nova6SE好看拍出来看
