原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	悠然自动66	6623608697	悠然自动66:真的是非常喜欢呀	赞[0]	2020-07-18 13:49:18	来自小米手机5
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	看着余生的我	5677196033	看着余生的我:转发微博	赞[0]	2020-07-18 13:49:18	来自vivo智能手机
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	吮香煙的溫柔	fhuaxhong94	吮香煙的溫柔:太专心了	赞[0]	2020-07-18 13:49:29	来自OPPO R9 Plus
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	这个夏日的冰橙	6969586793	这个夏日的冰橙:转发微博	赞[0]	2020-07-18 13:49:40	来自iPad客户端
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	心口上撒点白糖	5590606383	心口上撒点白糖:太专心了吧	赞[0]	2020-07-18 13:49:45	来自iPhone客户端
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	薄荷糖的夏天R	3291136124	薄荷糖的夏天R:确实如此呢	赞[0]	2020-07-18 13:49:44	来自OPPO A8
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	李昭棠xA2	7436804487	李昭棠xA2:转发微博	赞[0]	2020-07-18 13:49:43	来自Android客户端
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	续写吃货	7455882340	续写吃货:转发微博	赞[0]	2020-07-18 13:49:44	来自小米手机
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	逆流忧伤	7455619731	逆流忧伤:转发微博	赞[0]	2020-07-18 13:49:42	来自Android客户端
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	倚楼听风雨叹吟三百首	7457939565	倚楼听风雨叹吟三百首:转发微博	赞[0]	2020-07-18 13:49:52	来自vivo X30专业影像
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	别让风雪染iii	7458153739	别让风雪染iii:转发微博	赞[0]	2020-07-18 13:49:53	来自OPPO Reno3 Pro 5G
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	c春素小哲	7458455350	c春素小哲:转发微博	赞[0]	2020-07-18 13:49:52	来自OPPO Reno3 Pro 5G
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	残梦依旧心还在	7458472551	残梦依旧心还在:转发微博	赞[0]	2020-07-18 13:49:53	来自OPPO Reno3 Pro 5G
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	超甜市民11	7458453573	超甜市民11:转发微博	赞[0]	2020-07-18 13:49:53	来自NEX 3
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	jason的梦想星空	1995771721	jason的梦想星空:真的是太美了吧	赞[0]	2020-07-18 13:49:54	来自OPPO超视野全面屏R15
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	寂若安年的你	7458245966	寂若安年的你:转发微博	赞[0]	2020-07-18 13:49:53	来自HUAWEI Mate 30
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	泪花浅含本家姑娘	7457937617	泪花浅含本家姑娘:转发微博	赞[0]	2020-07-18 13:49:52	来自nova5Pro人像超级夜景
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	心的港湾60023	5977640640	心的港湾60023:太有魅力了	赞[0]	2020-07-18 13:50:17	来自Android客户端
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	辣子酱o	5749232846	辣子酱o:哈哈哈哈太专心了	赞[0]	2020-07-18 13:50:14	来自OPPO随光而变R17
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	jk张铭露	7458228778	jk张铭露:转发微博	赞[0]	2020-07-18 13:50:10	来自HUAWEI Mate30 Pro 5G
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	雪小丫Snow丰	6685646132	雪小丫Snow丰:顶起来啊，很用心哦，给多个赞赞啦。	赞[0]	2020-07-18 14:09:55	来自vivo AI智慧拍照X21
娱乐圈小青年	:#宁静看张雨绮出神忘选手机# 宁静看张雨绮出神忘记选手机，手机都被拿走了，小雨太美了，静静子看美女也太专心了吧哈哈哈 	2020-07-18 13:48:21    	its_李奔孝	5834191194	its_李奔孝:不错啊宝贝，加油	赞[0]	2020-07-18 14:16:14	来自Android客户端
