原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	新浪台湾爆头条	1888725725	新浪台湾爆头条:转发微博	赞[0]	2020-08-29 10:00:03	来自tw.weibo.com
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	九嵕山下的御果	5707001522	九嵕山下的御果:转发微博	赞[0]	2020-08-29 10:15:10	来自华为手机
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	大帝始皇	6106629471	大帝始皇:转发微博	赞[0]	2020-08-29 10:11:08	来自HUAWEI Mate 10 Pro
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	狐狸糊涂567	5986438792	狐狸糊涂567:好样的！	赞[0]	2020-08-29 10:10:26	来自iPhone客户端
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	樱桃绝绝zi	6868686049	樱桃绝绝zi:呵呵，女人因为救人上新闻，男人因为杀妻上新闻	赞[1]	2020-08-29 10:08:00	来自微博小程序
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	大清一等超武公鳌拜	6249743761	大清一等超武公鳌拜://@耳朵总是被叫醒:好人好报，这位妈妈太英雄了，言传身教很重要，以后孩子也会是个优秀的孩子	赞[0]	2020-08-29 10:04:54	来自HUAWEI Mate 30
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	常丢笔的Zoes	changdiubidezoes	常丢笔的Zoes:转发微博	赞[0]	2020-08-29 10:04:51	来自HUAWEI nova 2s
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	江边yy	17md	江边yy:了不起。	赞[0]	2020-08-29 10:04:08	来自iPhone客户端
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	燕赵好网民	1276960853	燕赵好网民:转发微博	赞[0]	2020-08-29 10:29:24	来自OPPO智能手机
新浪新闻	:【#宝妈把婴儿放地上救心梗老人#：人没救回来很愧疚】陕西旬阳，一名6旬老人突发心梗倒在电梯内，一位宝妈情急之下将怀里6个月的婴儿放地上紧急施救。宝妈称，和人命比起来，娃在地上哭几下没什么，毕竟父母的行为会影响到孩子，但是人没救回来自己觉得很愧疚。一手Video的秒拍视频 	2020-08-29 09:59:43    	哭泣的刀1991	2499301271	哭泣的刀1991:转发微博	赞[0]	2020-08-29 10:28:09	来自iPhone客户端
