原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	maque13	2694259280	maque13:转发微博	赞[0]	2020-07-16 22:42:38	来自OPPO Reno 10倍变焦版
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	微看云南	3081903394	微看云南:转发微博	赞[0]	2020-07-16 22:42:35	来自vivo X23 AI非凡摄影
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	ershui129	ershui129	ershui129:转发微博	赞[0]	2020-07-16 22:42:05	来自荣耀 9X PRO
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	无敌小子追梦人	5445341369	无敌小子追梦人:转发微博	赞[0]	2020-07-16 22:41:57	来自红米Redmi
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	风自云中来	5196943493	风自云中来:我“大青岛”再一次“出名”了。	赞[0]	2020-07-16 22:47:00	来自荣耀V10 我AI的快
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	潭影山201109	6366128639	潭影山201109:千年文化之精华！//@四月的新梦想:最近山东老是在风口浪尖上#华夏五千年[超话]#	赞[1]	2020-07-16 22:46:35	来自华为手机 畅享玩不停
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	二哥17888	2638467285	二哥17888:转发微博	赞[0]	2020-07-16 22:46:15	来自vivo智能手机客户端
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	huaxia的天使	5347852785	huaxia的天使:转发微博	赞[0]	2020-07-16 22:46:12	来自前后2000万 OPPO R11
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	用户6532225698	6532225698	用户6532225698:转发微博	赞[0]	2020-07-16 22:45:15	来自荣耀20i
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	少儿君安	1661945251	少儿君安:转发微博	赞[0]	2020-07-16 22:44:56	来自荣耀8X Max
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	无聊的小信	1703355811	无聊的小信:山东基本承包今年的热搜，可见已经。。。	赞[0]	2020-07-16 23:00:02	来自HUAWEI Mate 20
澎湃新闻	:#山东即墨查处问题海参#【山东即墨组织联合执法查处315晚会曝光问题】针对#315晚会#曝光的山东即墨部分海参养殖户违规使用农药等问题，即墨区农业综合行政执法大队已对田横镇孙某经营的畜牧兽医水产养殖服务部进行执法检查，在该服务库房内查获其经营的土霉素原粉一宗，公安部门已对当事人采取了强制措施。关于海参养殖户违规使用敌敌畏问题，经查，是部分养殖户在清池时违规使用农药。将根据规定进行处罚。#养海参整箱放敌敌畏# 山东即墨查处315晚会曝光问题：有人已被公安采取强制措施 央视财经的酷燃视频	2020-07-16 22:40:05    	瑞瑞1954	5366716399	瑞瑞1954:转发微博	赞[0]	2020-07-16 22:56:26	来自OPPO智能手机
