原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	大巧之朴	1767223241	大巧之朴:转发微博	赞[0]	2020-09-13 12:21:57	来自HUAWEI Mate 30
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	幸福的傻憨憨	3953620342	幸福的傻憨憨:转发微博	赞[0]	2020-09-13 12:29:42	来自小米9
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	皮皮ty	3218105243	皮皮ty:。。。	赞[0]	2020-09-13 12:28:27	来自微博国际版
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	淡然若水落叶归根	5347934271	淡然若水落叶归根:转发微博	赞[0]	2020-09-13 12:26:10	来自iQOO Neo
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	白贲-无咎	century21xiaobai	白贲-无咎:太可恶了	赞[0]	2020-09-13 12:24:47	来自HUAWEI Mate 30 Pro
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	Boli晴朗Juzi辉煌	6349741226	Boli晴朗Juzi辉煌:	赞[0]	2020-09-13 12:24:41	来自微博国际版
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	菜地里的一颗菠萝	1952173562	菜地里的一颗菠萝:司机好大的本事，居然能自己决定把水泥倒进河里	赞[0]	2020-09-13 12:24:14	来自iPhone客户端
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	Moon_月之子	6413782408	Moon_月之子:开除就能解决了？	赞[0]	2020-09-13 12:24:10	来自iPhone
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	蹦迪中	6996577444	蹦迪中:转发微博	赞[0]	2020-09-13 12:50:26	来自微博国际版
三联生活周刊	:【#山西一施工罐车往河中倒水泥#，涉事司机开除，官方展开调查】山西寿阳，网友报料称，昔榆高速寿阳段施工方将水泥罐中的混凝土排入潇河支流。据了解，倾倒车辆为山西路桥集团所有，但它的管理由第三方公司负责，企业已发现此事，现涉事司机被公司开除。环保局回应，已展开调查。@一手Video 一手Video的秒拍视频	2020-09-13 12:21:18    	小虎吉	xiaohuji	小虎吉:	赞[0]	2020-09-13 12:45:40	来自坚果手机 Pro 2
