用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
西安日报	1891503444	JigOTm19Y	#关注# 【#山西临汾饭店坍塌事故救援结束#：救出57人，29人遇难】#山西临汾饭店坍塌致29人遇难# 8月30日记者从山西省临汾市襄县“8.29”重大坍塌事故现场抢险救援领导组获悉，救援工作于8月30日3时45分已全部结束，救出57人，其中29人遇难，7人重伤，21人轻伤。       8月29日9时40分左右，临汾市襄汾 ​  展开全文c	2020年08月30日 08:59		评论		https://weibo.com/1891503444/JigOTm19Y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigOTm19Y?uid=1891503444&rl=1
黄石广播电视台	2316271560	JigOL90DN	【#山西临汾饭店坍塌致29人遇难#】29日，#山西临汾一饭店坍塌#，事故造成多人被埋。截至目前，救援工作已全部结束，共救出57人，其中29人遇难，7人重伤，21人轻伤。事故原因正在进一步调查中。 ​​​​@央视新闻 L山西消防的微博视频 ​	2020年08月30日 08:58		评论		https://weibo.com/2316271560/JigOL90DN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigOL90DN?uid=2316271560&rl=1
淮安消防	1893204962	JigOA8zwp	#山西临汾饭店坍塌致29人遇难##山西临汾一饭店坍塌# 【建筑物坍塌，这些知识你要知道】建筑物坍塌，一旦发生有可能造成大面积人员伤亡。遇到建筑坍塌倒塌该怎么办？如何在坍塌倒塌的建筑物中自救？这些安全知识，你都知道吗？ ​	2020年08月30日 08:58	1	8	12	https://weibo.com/1893204962/JigOA8zwp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigOA8zwp?uid=1893204962&rl=1
成都商报	1700648435	JigOl4qp5	【#山西倒塌饭店过寿老人发声#：生日提前了一天，老伴不幸遇难】#山西临汾饭店坍塌致29人遇难# 8月29日，山西襄汾一饭店坍塌，截至目前，救援工作已全部结束，共救出57人，其中29人遇难，7人重伤，21人轻伤。事发时李大爷正过80大寿，李大爷称，本来是明天生日，为送孩子上学便将生日提前到一天 ​  展开全文c	2020年08月30日 08:57	4	15	51	https://weibo.com/1700648435/JigOl4qp5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigOl4qp5?uid=1700648435&rl=1
温江司法	2697578042	JigOd5GZr	【#山西倒塌饭店过寿老人发声#：生日提前了一天，老伴不幸遇难#山西临汾饭店坍塌致29人遇难# 】29日，#山西临汾一饭店坍塌#，事故造成多人被埋。截至目前，救援工作已全部结束，共救出57人，其中29人遇难，7人重伤，21人轻伤。事故原因正在进一步调查中。L山西消防的微博视频 ​	2020年08月30日 08:57		1	2	https://weibo.com/2697578042/JigOd5GZr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigOd5GZr?uid=2697578042&rl=1
热带播报	2100000110	JigO3C6Fp	【#山西临汾饭店坍塌致29人遇难#】29日，#山西临汾一饭店坍塌#，事故造成多人被埋。截至目前，救援工作已全部结束，共救出57人，其中29人遇难，7人重伤，21人轻伤。事故原因正在进一步调查中。 ​​​L山西消防的微博视频 ​​​ 2海口 ​	2020年08月30日 08:57	1	评论		https://weibo.com/2100000110/JigO3C6Fp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigO3C6Fp?uid=2100000110&rl=1
大丰老季	5263283075	JigNArpKe	【#山西临汾饭店坍塌事故救援结束#：救出57人，29人遇难】#山西临汾饭店坍塌致29人遇难# 记者从山西省临汾市襄县“8.29”重大坍塌事故现场抢险救援领导组获悉，救援工作于8月30日3时45分已全部结束，救出57人，其中29人遇难，7人重伤，21人轻伤。8月29日9时40分左右，临汾市襄汾县陶寺乡陈庄村聚仙饭 ​  展开全文c	2020年08月30日 08:56	1	3	1	https://weibo.com/5263283075/JigNArpKe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigNArpKe?uid=5263283075&rl=1
兰州宣官	3566176357	JigNriXnz	【#山西临汾饭店坍塌事故救援结束#：救出57人，29人遇难】#山西临汾饭店坍塌致29人遇难# 记者从山西省临汾市襄县“8.29”重大坍塌事故现场抢险救援领导组获悉，救援工作于8月30日3时45分已全部结束，救出57人，其中29人遇难，7人重伤，21人轻伤。8月29日9时40分左右，临汾市襄汾县陶寺乡陈庄村聚仙饭 ​  展开全文c	2020年08月30日 08:55		4	2	https://weibo.com/3566176357/JigNriXnz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigNriXnz?uid=3566176357&rl=1
四川工人日报	1132428807	JigNcviuf	【#山西临汾饭店坍塌事故救援结束#：29人遇难】#山西临汾饭店坍塌致29人遇难#记者从山西省临汾市襄汾县“8·29”重大坍塌事故现场抢险救援领导组获悉，救援工作于8月30日3时45分已全部结束，救出57人，其中29人遇难，7人重伤，21人轻伤。8月29日9时40分左右，临汾市襄汾县陶寺乡陈庄村聚仙饭店发生坍塌 ​  展开全文c	2020年08月30日 08:55	2	1		https://weibo.com/1132428807/JigNcviuf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigNcviuf?uid=1132428807&rl=1
四川省德阳监狱	5842620857	JigMKr0TA	【#山西临汾饭店坍塌致29人遇难#】29日，#山西临汾一饭店坍塌#，事故造成多人被埋。截至目前，救援工作已全部结束，共救出57人，其中29人遇难，7人重伤，21人轻伤。事故原因正在进一步调查中。 ​​​（央视） ​	2020年08月30日 08:54		1	1	https://weibo.com/5842620857/JigMKr0TA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JigMKr0TA?uid=5842620857&rl=1
