用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
世海独狼	1165783210	JhOVZ2wXB	#巴威登陆朝鲜平安北道#为东北人民祈祷祝福现在北方正是收早花生🥜的时候，好些地方在水里捞花生🥜 ​	2020年08月27日 09:59		评论		https://weibo.com/1165783210/JhOVZ2wXB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOVZ2wXB?uid=1165783210&rl=1
CUTV城市联合网络电视台	2110254375	JhOUGzqEi	#台风巴威# 今年第8号台风“巴威”的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆。#巴威登陆朝鲜平安北道# 详见O网页链接 ​	2020年08月27日 09:56			1	https://weibo.com/2110254375/JhOUGzqEi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOUGzqEi?uid=2110254375&rl=1
米奇萌萌的君君-lucky發	5050329731	JhOTpEwpD	#巴威登陆朝鲜平安北道#天辽地宁就是我大连 ​	2020年08月27日 09:53			1	https://weibo.com/5050329731/JhOTpEwpD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOTpEwpD?uid=5050329731&rl=1
末日生存守则	6067221347	JhOSFh8lB	#巴威登陆朝鲜平安北道#登陆！台风“巴威”中心已到朝鲜平安北道沿海，没事不要外出了，在家里躲风吧 L末日生存守则的微博视频 ​	2020年08月27日 09:51	1	1	1	https://weibo.com/6067221347/JhOSFh8lB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOSFh8lB?uid=6067221347&rl=1
文明大兴	2646882747	JhORtbvNh	【台风#巴威登陆朝鲜平安北道# ​​​#今年首个台风红色预警发布#】今年第8号台风“巴威”的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒）。小新在大连、沈阳两地，连线专家，为您带来关于“巴威”的解读。 L中国新闻网的微博视频 ​	2020年08月27日 09:48	1	评论		https://weibo.com/2646882747/JhORtbvNh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhORtbvNh?uid=2646882747&rl=1
机智的大肥鸟	2998876705	JhORqwTny	#巴威登陆朝鲜平安北道# 最终还是让朝鲜人民扛下了所有，让本不富裕的家庭，又雪上加霜！ ​	2020年08月27日 09:48		6	7	https://weibo.com/2998876705/JhORqwTny?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhORqwTny?uid=2998876705&rl=1
今晚报	1960785875	JhOPYByML	【#巴威登陆朝鲜平安北道# ​​​】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。@中央气象台 ​​​​	2020年08月27日 09:45			1	https://weibo.com/1960785875/JhOPYByML?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOPYByML?uid=1960785875&rl=1
新京报动新闻	5463794433	JhOPUxMle	【#2020年首个台风红色预警#发布：#台风在东北登陆罕见吗#？】8月26日18时，中央气象台发布今年首个台风红色预警。8月27日早6时，#中央气象台继续发布台风红色预警#。2020年第8号#台风巴威# 将于8月27日上午在辽宁东部到朝鲜西部一带沿海地区登陆。如果登陆辽宁，“巴威”可能会成为1949年以来登陆辽宁 ​  展开全文c	2020年08月27日 09:44	122	521	2380	https://weibo.com/5463794433/JhOPUxMle?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOPUxMle?uid=5463794433&rl=1
大连突发	1936009242	JhOPJgTn9	【#巴威登陆朝鲜平安北道#】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。东北地区开启强风雨模式   O网页链接 ​​​ 2大连 ​	2020年08月27日 09:44	8	30	60	https://weibo.com/1936009242/JhOPJgTn9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOPJgTn9?uid=1936009242&rl=1
CGTN	3173633817	JhOPanCcf	【#台风巴威# 登陆】今年第8号#台风巴威# 的中心已于今天上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。Typhoon Bavi, the eighth typhoon of this year, made landfall on the coast of North Pyongan province in the Dem ​  展开全文c	2020年08月27日 09:43	9	3	21	https://weibo.com/3173633817/JhOPanCcf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOPanCcf?uid=3173633817&rl=1
扬子晚报	1653603955	JhOOTBogR	【#巴威登陆朝鲜平安北道# ​​​】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。@中央气象台 ​​​​	2020年08月27日 09:42	3	1	6	https://weibo.com/1653603955/JhOOTBogR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOOTBogR?uid=1653603955&rl=1
羊城晚报金羊网	2131593523	JhOOur75e	【#巴威登陆朝鲜平安北道# ​​​】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。 ​	2020年08月27日 09:41		评论		https://weibo.com/2131593523/JhOOur75e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOOur75e?uid=2131593523&rl=1
南川法院	3947430121	JhOOrb88G	【#大连受台风影响停工停业停市#，沈阳铁路108列火车停运】据@中国天气 ，8月27日8时30分前后，台风#巴威登陆朝鲜平安北道# 。8月26日，大连防汛抗旱指挥发布通告，全市各机关、企事业单位、公共服务场所实行停工、停业、停市、停学。沈阳铁路部门启动防台风应急响应，决定于8月26日至29日临时停 ​  展开全文c	2020年08月27日 09:41		5	2	https://weibo.com/3947430121/JhOOrb88G?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOOrb88G?uid=3947430121&rl=1
网红先走我段后	1728885872	JhONZtVQD	#巴威登陆朝鲜平安北道# 今天上午，“巴威”将在朝鲜平安北道到辽宁东港一带沿海登陆,  O今天上午，“巴威”将在朝鲜平安北道到辽宁东港一带沿海登陆 ​	2020年08月27日 09:40		评论		https://weibo.com/1728885872/JhONZtVQD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhONZtVQD?uid=1728885872&rl=1
信息日报	1685336690	JhONYj4vQ	【台风#巴威登陆朝鲜平安北道# ​​​#今年首个台风红色预警发布#】今年第8号台风“巴威”的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒）。小新在大连、沈阳两地，连线专家，为您带来关于“巴威”的解读。L中国新闻网的微博视频（中国新 ​  展开全文c	2020年08月27日 09:40	2	1	2	https://weibo.com/1685336690/JhONYj4vQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhONYj4vQ?uid=1685336690&rl=1
无边落木萧萧下2020	6986061538	JhON8ekvw	#巴威登陆朝鲜平安北道#天辽地宁，安东（丹东以前的名称）(ღ˘⌣˘ღ)愿平安 ​	2020年08月27日 09:38		评论		https://weibo.com/6986061538/JhON8ekvw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhON8ekvw?uid=6986061538&rl=1
沈阳沈河公安	1905837201	JhON7psIA	【#大连受台风影响停工停业停市#，沈阳铁路108列火车停运】据@中国天气 ，8月27日8时30分前后，台风#巴威登陆朝鲜平安北道# 。8月26日，大连防汛抗旱指挥发布通告，全市各机关、企事业单位、公共服务场所实行停工、停业、停市、停学。沈阳铁路部门启动防台风应急响应，决定于8月26日至29日临时停 ​  展开全文c	2020年08月27日 09:38			1	https://weibo.com/1905837201/JhON7psIA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhON7psIA?uid=1905837201&rl=1
百万庄通讯社官微	5654253203	JhOMPBcAb	#台风巴威# #今年第8号台风巴威# #巴威登陆朝鲜平安北道# 【直播：追风小队带你直击台风“巴威“】台风“巴威“已于今天（27日）上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，它将带来怎样的风雨影响？中国气象报社追风小队将持续跟踪报道。敬请关注！#1949年来登陆辽宁最强台风#  ​  展开全文c	2020年08月27日 09:37		1	1	https://weibo.com/5654253203/JhOMPBcAb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOMPBcAb?uid=5654253203&rl=1
桦川检察	5674842729	JhOLD9y2l	【#大连受台风影响停工停业停市#，沈阳铁路108列火车停运】据@中国天气 ，8月27日8时30分前后，台风#巴威登陆朝鲜平安北道# 。8月26日，大连防汛抗旱指挥发布通告，全市各机关、企事业单位、公共服务场所实行停工、停业、停市、停学。沈阳铁路部门启动防台风应急响应，决定于8月26日至29日临时停 ​  展开全文c	2020年08月27日 09:34	1	28	11	https://weibo.com/5674842729/JhOLD9y2l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOLD9y2l?uid=5674842729&rl=1
平安永宁	2279983814	JhOKzj5qt	#巴威登陆朝鲜平安北道# 【台风来袭 怎样做才安全？】#警网现场#【你说巧不巧，黑教练车停在了交警旁边…】L安徽公安在线的微博视频 ​	2020年08月27日 09:31		评论		https://weibo.com/2279983814/JhOKzj5qt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOKzj5qt?uid=2279983814&rl=1
中国新闻网	1784473157	JhOJWiNoD	【台风#巴威登陆朝鲜平安北道# ​​​#今年首个台风红色预警发布#】今年第8号台风“巴威”的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒）。小新在大连、沈阳两地，连线专家，为您带来关于“巴威”的解读。 L中国新闻网的微博视频 ​	2020年08月27日 09:30	67	280	2936	https://weibo.com/1784473157/JhOJWiNoD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOJWiNoD?uid=1784473157&rl=1
宁波镇海检察	3702523900	JhOJTyHSW	【#巴威登陆朝鲜平安北道# ​​​】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。 ​	2020年08月27日 09:30		1		https://weibo.com/3702523900/JhOJTyHSW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOJTyHSW?uid=3702523900&rl=1
江苏大学京江学院团委	3034532515	JhOJe0DOV	#京日新闻# 【#巴威登陆朝鲜平安北道# ​​​】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。 ​	2020年08月27日 09:28		评论		https://weibo.com/3034532515/JhOJe0DOV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOJe0DOV?uid=3034532515&rl=1
岳阳网警巡查执法	5926394072	JhOJbAhXH	#巴威登陆朝鲜平安北道# 【台风来袭 怎样做才安全？】台风来袭，大家一定记得少出门，注意做好防护工作。台风来袭，到底怎样做才安全？ ​戳视频，了解详情↓ L触电新闻的微博视频 ​	2020年08月27日 09:28		评论		https://weibo.com/5926394072/JhOJbAhXH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOJbAhXH?uid=5926394072&rl=1
小瑶七分甜	5087770940	JhOJaa3xh	#巴威登陆朝鲜平安北道#我们辽宁真是风水宝地 ​	2020年08月27日 09:28		2	3	https://weibo.com/5087770940/JhOJaa3xh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOJaa3xh?uid=5087770940&rl=1
神奇八卦在哪里	1919155483	JhOJ01ORC	#巴威登陆朝鲜平安北道# “巴威”将于上午登陆朝鲜平安北道到我国辽宁省东港市一带沿海,  O“巴威”将于上午登陆朝鲜平安北道到我国辽宁省东港市一带沿海 ​	2020年08月27日 09:27		评论		https://weibo.com/1919155483/JhOJ01ORC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOJ01ORC?uid=1919155483&rl=1
汕头政法	6092082113	JhOIc6yc5	【“巴威”登陆】据@中央气象台  ，#台风巴威# 已于今天（27日）8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。 #巴威登陆朝鲜平安北道# ​​​​	2020年08月27日 09:25		评论		https://weibo.com/6092082113/JhOIc6yc5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOIc6yc5?uid=6092082113&rl=1
Amyrayer	1345643023	JhOGUnTVN	#巴威登陆朝鲜平安北道#大连现在无风无雨，但是已经通知全市放假啦 ​	2020年08月27日 09:22			3	https://weibo.com/1345643023/JhOGUnTVN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOGUnTVN?uid=1345643023&rl=1
指尖潍坊	5312723808	JhOGn0EMI	【#巴威登陆朝鲜平安北道# ​​​】今年第8号#台风巴威# 的中心已于27日上午8时30分前后在中朝交界附近的朝鲜平安北道沿海登陆，登陆时中心附近最大风力有12级（35米/秒），中心最低气压为970百帕。@中央气象台 ​	2020年08月27日 09:21		评论		https://weibo.com/5312723808/JhOGn0EMI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhOGn0EMI?uid=5312723808&rl=1
